"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","infraspecificEpithet","class","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00917356","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Gelasine","coerulea","Gelasine coerulea","(Vell.) Ravenna","P. Goldblatt","H. S. Irwin","13876","1966","03","11","South America","Brazil","Distrito Federal","Brasília","West margin of Lagoa Paranoá","-47.83","-15.78","975","975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995906' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917356","NY00917356_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00917380","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Gelasine","coerulea","Gelasine coerulea","(Vell.) Ravenna","P. Goldblatt","H. S. Irwin","14182","1966","03","28","South America","Brazil","Goiás","Formosa","Serra Geral de Goiás, Rio Paraná, ca. 35 km N. of Formosa on road to São Gabriel","-47.38","-15.33","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995907' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917380","NY00917380_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00917355","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Gelasine","coerulea","Gelasine coerulea","(Vell.) Ravenna","P. Goldblatt","H. S. Irwin","12551","1966","02","11","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 20 km W. of Alto Paraíso de Goiás (formerly Veadeiros).","-47.70192","-14.1167","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995904' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917355","NY00917355_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","886278","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Gelasine","coerulea","Gelasine coerulea","(Vell.) Ravenna","P. Goldblatt","H. Sick","s.n.","1965","04","18","South America","Brazil","Rio de Janeiro",NA,"Planalto do Itatiaia","-44.617038","-22.371537","2400","2400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015496' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886278","NY00886278_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00917382","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Gelasine","coerulea","Gelasine coerulea","(Vell.) Ravenna","P. Goldblatt","H. S. Irwin","26134","1970","02","05","South America","Brazil","Minas Gerais","Paracatú","Serra da Anta, summit of chapada, ca. 2 km N. of Paracatú","-46.8727","-17.22555","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995913' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917382","NY00917382_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00917358","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Gelasine","coerulea","Gelasine coerulea","(Vell.) Ravenna","P. Goldblatt","J. E. B. Warming","886","1867","02",NA,"South America","Brazil","Minas Gerais","Lagoa Santa","Brasil. Prov. Minas Geraes. Lagoa Sta.","-43.8894","-19.6272",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995917' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917358","NY00917358_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00917376","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Gelasine","coerulea","Gelasine coerulea","(Vell.) Ravenna","P. Goldblatt","E. P. Heringer","8202","1961","04","11","South America","Brazil","Distrito Federal","Brasília","Horto de Guará","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995894' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917376","NY00917376_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","886279","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Gelasine","coerulea","Gelasine coerulea","(Vell.) Ravenna","P. Goldblatt","H. Sick","s.n.","1965","04","18","South America","Brazil","Rio de Janeiro",NA,"Planalto do Itatiaia","-44.617038","-22.371537","2400","2400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015499' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886279","NY00886279_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","527619","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Gelasine","coerulea","Gelasine coerulea","(Vell.) Ravenna",NA,"E. P. dos Santos","357","1997","10","15","South America","Brazil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.58","-25.88","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=408404' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527619","NY00527619_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00917379","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Gelasine","coerulea","Gelasine coerulea","(Vell.) Ravenna","P. Goldblatt","H. S. Irwin","12201","1966","02","02","South America","Brazil","Distrito Federal","Brasília",NA,"-47.9167","-15.7833","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995901' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917379","NY00917379_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
