"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","day","continentOcean","locality","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem"
"1","2019-06-10 10:10:56-03","FZB-BH","CVJBFZB","2548","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","Morren","Eduardo G. Gonçalves","2011","Rubens Mota ;","Brasil","Minas Gerais","Salto da Divisa","-39.9468994140625","-16.002799987793","38813","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","822687","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","Morren","J. H. A. Dutilh",NA,"A. Euponino","Brazil","Bahia","Porto Seguro","-39.1851076","-16.3961466",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920476' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"366","1978","11","03","South America","Rod. BR-367, a 16 km a W de Porto Seguro. Folha SE-24 (16-39c). Próx. à Estação Ecológica do Pau-brasil.","sheet","NY00822687","NY00822687_01",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","298256","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","Morren","J. H. A. Dutilh",NA,"W. W. Thomas","Brazil","Bahia","Jussari","-39.5717","-15.1383",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=164679' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"11950","1999","02","02","South America","Ca. 2.5 km N of Palmira on road connecting Palmira to the Itaju do Colônia-Itapé road, Fazenda Sao Roque (owner Luis Fernando Verde)","sheet","NY00298256","NY00298256_01 NY00298256_02","300","450",NA,NA,NA,NA,NA
"4","2019-10-09 11:27:21-03","UFBA","ALCB","041162","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","E.Morren","Campos-Rocha, A","2014","Lima, SS dos; Guedes, ML; Pereira, PA de; Oliveira, H","Brasil","Bahia","Santa Cruz Cabrália","-39.016667","-16.266667",NA,NA,"0,20 m. Folhas crassas. Inflorescência terminal, flores brancas com tons lilases.; Mata em estádio secundário de regeneração. Substrato argilo-arenoso.",NA,"32","1999","03","30","Southern America","Extremo Sul, Mata cara-branca, projeto CEDRO",NA,"ALCB006540","ALCB006540",NA,NA,"10","24","-39.016667","-16.266667",NA
"5","2021-03-22 17:44:22-03","UFPI","TEPB","21334","PreservedSpecimen","Plantae",NA,NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","Lim",NA,NA,"G. P. Silva","Brasil","Goiás","Colinas do Sul","-48.128611","-13.741111",NA,NA,"Erva, flor branca, solo areno-argiloso, relevo ondulado. Área de influência indireta da futura Hidrelétrica Cana Brava. Ambiente: Mata de Galeria perturbada com alta presença de Babaçu",NA,"5718","2001","10","20",NA,"Estrada da Fazenda Vale das Araras",NA,NA,NA,NA,NA,NA,NA,"48°7'43W","13°44'28S",NA
"6","2015-07-02 14:00:12-03","JBP","HPL","13181","S","Plantae",NA,NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana",NA,NA,NA,"A. Campos-Rocha","Brasil","SP","Nova Odessa","-47.29","-22.77","8440",NA,NA,"auto","1155","2013","03","24",NA,"Coletado em cultivo no JBP.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-07-02 14:00:12-03","JBP","HPL","12117","S","Plantae",NA,NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","Morren","A. Campos-Rocha","2013","V.C. Souza, H. Lorenzi & A. Fernandes","Brasil","CE","Maranguape","-38.6856","-3.89083","40608",NA,NA,"auto","28805","2002","03","22",NA,"Coletado na Serra de Maranguape.",NA,NA,NA,NA,NA,"09","20",NA,NA,NA
"8","2015-07-02 14:00:12-03","JBP","HPL","13182","S","Plantae",NA,NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana",NA,NA,NA,"A. Campos-Rocha, M.N. Saka, G.H. Shimizu","Brasil","ES","Jaguaré","-40.0761","-18.9056","43085",NA,NA,"auto","1367","2013","12","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:18:54-03","UNICAMP","UEC","185749","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","E.Morren","Campos-Rocha, A","2014","Campos-Rocha, A","Brazil",NA,NA,NA,NA,NA,NA,"herbácea bulbosa, ca. 20 cm de altura, flores alvas na base e lilases no ápice",NA,"1404","2014","01","24",NA,"em cultivo no Jardim Botânico Plantarum, procedência desconhecida",NA,"UEC109138","UEC109138",NA,NA,"01","24",NA,NA,NA
"10","2021-03-01 16:18:54-03","UNICAMP","UEC","185747","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","E.Morren","Campos-Rocha, A","2013","Campos-Rocha, A; Shimizu, GH; Saka, MN","Brazil","Espírito Santo","São Mateus","-40.354706","-19.257175",NA,NA,"herbácea bulbosa, ca. 20 cm de altura, flores alvas na base e lilases no ápice, frutos imaturos verdes; mussununga",NA,"1371","2013","12","17",NA,"bairro Liberdade, sentido São Mateus/Guriri",NA,"UEC109136","UEC109136","69","69","12","17","-40.354706","-19.257175",NA
"11","2021-03-01 16:18:54-03","UNICAMP","UEC","163713","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","E.Morren","Dutilh, JHA","2014","Costa, J; Nunes, TS; Jardim, JG; Conceição, AS; Silva, BM","Brazil","Minas Gerais","Jacinto","-40.380833","-17.213889",NA,NA,"Erva ca. 20 cm alt., terrestre. Folhas membranáceas, variegadas na face superior. Escapo floral verde. flores com tépalas externas verdes e as internas brancas na base e lilás no ápice, filetes e estiletes brancos.",NA,"455","2004","01","23",NA,"Estrada Almenara-Jacinto, ca 50 Km de Almenara. Lado esquerdo da estrada.&nf;Mata seca. Solo com húmus. coletado subbosque.",NA,"UEC092132","UEC092132","190","190","03",NA,"-40.380833","-17.213889",NA
"12","2021-03-01 16:18:54-03","UNICAMP","UEC","185664","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","E.Morren","Campos-Rocha, A","2013","Campos-Rocha, A; Shimizu, GH; Saka, MN","Brazil","Espírito Santo","Jaguaré","-40.429861","-19.031636",NA,NA,"herbácea bulbosa, ca. 20-35 cm de altura, flores alvas na base e lilases no ápice, frutos esverdeados; floração em cultivo (08-XI-2014); mussununga",NA,"1363","2013","12","15",NA,"Fazenda Marinho, próximo à Estação da Petrobrás",NA,"UEC109171","UEC109171","193","193","12","15","-40.429861","-19.031636",NA
"13","2021-03-01 16:18:54-03","UNICAMP","UEC","185660","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","E.Morren","Campos-Rocha, A","2013","Campos-Rocha, A","Brazil",NA,NA,NA,NA,NA,NA,"herbácea bulbosa, ca. 40-45 cm de altura, folhas com máculas róseas adaxialmente, flores alvas na base e lilases no ápice",NA,"1155","2013","03","24",NA,"em cultivo no Jardim Botânico Plantarum, procedência desconhecida",NA,"UEC109167","UEC109167",NA,NA,"03","24",NA,NA,NA
