"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","397546","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Guettarda","platyphylla","Guettarda platyphylla","Müll.Arg.","B. M. Boom","F. Souza Santos","485","1984","12","29","South America","Brazil","Bahia","Santa Cruz Cabrália","Area da Estaçao Ecológica do Pau-brasil (ESPAB), cerca de 16 km a W de Porto Seguro, Rod. BR 367 (Porto Seguro/Eunápolis). Regiao de Mata Higrófila Sul Baiana. Ramal que da acesso a Reserva","-39.13","-16.38","40","40","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=750373' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397546","NY00397546_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","397543","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Guettarda","platyphylla","Guettarda platyphylla","Müll.Arg.","M. T. V. do A. Campos; B. M. Boom","F. Souza Santos","831","1988","03","28","South America","Brazil","Bahia","Santa Cruz Cabrália","Area da Estaçao Ecológica do Pau-brasil (ESPAB), cerca de 16 km a W de Porto Seguro, Rod. BR 367 (Porto Seguro/Eunápolis). Regiao de Mata Higrófila Sul Baiana.","-39.13","-16.38",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=750368' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397543","NY00397543_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","397542","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Guettarda","platyphylla","Guettarda platyphylla","Müll.Arg.","B. M. Boom","F. Souza Santos","235","1984","01","25","South America","Brazil","Bahia","Santa Cruz Cabrália","Area da Estaçao Ecológica do Pau-brasil (ESPAB), cerca de 16 km a W de Porto Seguro, Rod. BR 367 (Porto Seguro/Eunápolis). Regiao de Mata Higrófila Sul Baiana. Coletadas na área do Arboreto","-39.0244","-16.2783",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=750372' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397542","NY00397542_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","397544","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Guettarda","platyphylla","Guettarda platyphylla","Müll.Arg.","M. T. V. do A. Campos; B. M. Boom","F. Souza Santos","927","1989","02","10","South America","Brazil","Bahia","Santa Cruz Cabrália","Area da Estaçao Ecológica do Pau-brasil (ESPAB), cerca de 16 km a W de Porto Seguro, Rod. BR 367 (Porto Seguro/Eunápolis). Regiao de Mata Higrófila Sul Baiana.","-39.13","-16.38",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=750369' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397544","NY00397544_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","397545","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Guettarda","platyphylla","Guettarda platyphylla","Müll.Arg.","A. M. V. de Carvalho","A. M. V. de Carvalho","4326","1993","10","05","South America","Brazil","Sergipe","Santa Luzia do Itanhi","Crasto. Ca. 2 km na estrada Castro para Sta. Luzia do Itanhi","-37.4481","-11.3508",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=750371' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397545","NY00397545_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","397541","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Guettarda","platyphylla","Guettarda platyphylla","Müll.Arg.",NA,"E. Pereira","9643","1965","01","23","South America","Brazil","Bahia",NA,"Próximo Turuçú",NA,NA,"700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=750376' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397541","NY00397541_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","397548","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Guettarda","platyphylla","Guettarda platyphylla","Müll.Arg.","M. T. V. do A. Campos; B. M. Boom","M. H. Nee","33336","1986","12","27","South America","Bolivia","Santa Cruz","Ñuflo de Chávez","Quebrada Perotosal (?), 30 km S of San Javier","-62.67","-16.67","250","250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=750370' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397548",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-27 12:59:00-03","NY","NYBG","397547","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Guettarda","platyphylla","Guettarda platyphylla",NA,"J. D. Dwyer","B. A. Stein","3097","1985","06","26","South America","Ecuador","Pichincha",NA,"Centinela ridge, 12 km E of Patricia Pilar on road to 24 de Mayo",NA,NA,"600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=750375' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397547",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","397540","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Guettarda","platyphylla","Guettarda platyphylla","Müll.Arg.","M. R. de V. Barbosa","J. S. Blanchet","3723",NA,NA,NA,"South America","Brazil","Bahia","Jacobina","Jacobina","-40.5181","-11.1808",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=750374' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397540","NY00397540_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-18 09:30:38-03","UNESP-IBB","BOTU","12041","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Guettarda","platyphylla","Guettarda platyphylla","Müll.Arg.","Gemtchújnicov, I.D.","Gemtchújnicov, I.D.",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTU012041",NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
