"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","occurrenceRemarks","phylum","order","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","infraspecificEpithet","typeStatus"
"1","2021-04-05 14:25:02-03","UNESC","CRI","6622","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","albus","Handroanthus albus","(Cham.) Mattos","N. Y. Sandwith","1964","01","01","R. Reitz; R. M. Klein","5512","1957","10","27","Brasil","Santa Catarina","Bom Retiro","Serra do Quebra Dente.","-49.489444","-27.797778","49º29'22''W","27º47'52''S","CRI001679","CRI001679",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:02-03","UNESC","CRI","6892","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","albus","Handroanthus albus","(Cham.) Mattos","N. Y. Sandwith",NA,NA,NA,"Reitz; Klein","5512","1957","10","27","Brasil","Santa Catarina","Bom Retiro","Serra do quebra dente.","-49.489444","-27.797778","49º29'22''W","27º47'52''S","CRI001639","CRI001639","Habitat: pastagem Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 22:12:00-03","NY","NYBG","886414","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","albus","Handroanthus albus",NA,"S. O. Grose",NA,NA,NA,"R. Reitz","3974","1956","11","18","Brazil","Santa Catarina","Bom Retiro","Ipê da serra. Riosinho, Bom Retiro.","-49.4892","-27.7972",NA,NA,"NY00886414","NY00886414_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023840' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales","South America","1100","1100","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 17:04:00-03","NY","NYBG","402764","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","albus","Handroanthus albus",NA,NA,NA,NA,NA,"R. Reitz","7037","1958","08","23","Brazil","Santa Catarina","Lauro Muller","Lauro Müller.","-49.4515","-28.385071",NA,NA,"NY00402764","NY00402764_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672765' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales","South America","300","300","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 17:04:00-03","NY","NYBG","402762","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","albus","Handroanthus albus",NA,NA,NA,NA,NA,"L. B. Smith","7947","1956","11","25","Brazil","Santa Catarina","Bom Retiro","Pinheiral. Riozinho","-49.4892","-27.7972",NA,NA,"NY00402762","NY00402762_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672769' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales","South America","1000","1000","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 17:04:00-03","NY","NYBG","402761","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","albus","Handroanthus albus",NA,NA,NA,NA,NA,"L. B. Smith","7947","1956","11","25","Brazil","Santa Catarina","Bom Retiro","Pinheiral. Riozinho","-49.4892","-27.7972",NA,NA,"NY00402761","NY00402761_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672768' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales","South America","1000","1000","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 22:12:00-03","NY","NYBG","886415","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","albus","Handroanthus albus",NA,"S. O. Grose",NA,NA,NA,"R. Reitz","7520","1958","10","25","Brazil","Santa Catarina","Lauro Muller",NA,"-49.3967","-28.3931",NA,NA,"NY00886415","NY00886415_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023842' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales","South America","300","300","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 17:04:00-03","NY","NYBG","402767","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","albus","Handroanthus albus",NA,NA,NA,NA,NA,"R. Reitz","12814","1962","04","22","Brazil","Santa Catarina","Pôrto Uniao","Pôrto Uniao","-51.0781","-26.2383",NA,NA,"NY00402767","NY00402767_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672767' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales","South America","800","800","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 17:04:00-03","NY","NYBG","402765","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","albus","Handroanthus albus",NA,NA,NA,NA,NA,"R. Reitz","7037","1958","08","23","Brazil","Santa Catarina","Lauro Muller","Lauro Müller.","-49.4515","-28.385071",NA,NA,"NY00402765","NY00402765_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672766' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales","South America","300","300","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","402769","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","albus","Handroanthus albus","(Cham.) Mattos",NA,NA,NA,NA,"P. K. H. Dusén","8548","1909","10","14","Brazil","Paraná","Lapa","Serrinha.","-49.57","-25.68",NA,NA,"NY00402769","NY00402769_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672762' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","886413","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","albus","Handroanthus albus","(Cham.) Mattos","S. O. Grose",NA,NA,NA,"P. K. H. Dusén",NA,NA,NA,NA,"Brazil","Paraná","Curitiba",NA,"-49.2731","-25.4281",NA,NA,"NY00886413","NY00886413_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023839' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","402771","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","albus","Handroanthus albus","(Cham.) Mattos",NA,NA,NA,NA,"P. K. H. Dusén","15611","1914","10","14","Brazil","Paraná","Curitiba","Curityba","-49.2731","-25.4281",NA,NA,"NY00402771","NY00402771_01 NY00402771_02","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672770' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-29 17:04:00-03","NY","NYBG","402760","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","albus","Handroanthus albus",NA,NA,NA,NA,NA,"A. H. Gentry","49862","1985","01","25","Brazil","Paraná","Campina Grande do Sul","Pedreira do Rio Pinhal, NE of Curitiba.","-48.83","-25.17",NA,NA,"NY00402760","NY00402760_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672773' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales","South America","900","900","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
