"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","locality","occurrenceRemarks","phylum","order","coordinatePrecision","individualCount","geoFlag","continentOcean","preparationType","infraspecificEpithet","typeStatus","class","relatedCatalogItem","relationshipType","maximumDepthInMeters","fieldNumber","sex"
"1","2021-04-05 14:34:00-03","UNESC","CRI","6914","PreservedSpecimen","Plantae","Pontederiaceae","Eichornia","azurea","Eichornia azurea","(Swartz) Kunth.","Renata Texeira","1999","10","10","Brasil","Rio Grande do Sul","Torres","-49.793056","-29.356667","49º47'35''W","29º21'24''S","5","5","CRI008932","CRI008932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:56-03","UNESC","CRI","6569","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","Renata Texeira","1999","10","10","Brasil","Rio Grande do Sul","Torres","-49.727222","-29.335833","49º43'38''W","29º20'9''S","5","5","CRI008931","CRI008931","Renata Texeira","1999","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:56-03","UNESC","CRI","13797","PreservedSpecimen","Plantae","Pontederiaceae","Heteranthera","reniformis","Heteranthera reniformis","Ruiz & Pav.","Alexandre Medeiros","2018","02","10","Brasil","Santa Catarina","Balneário Camboriú","-48.595556","-27.006111","48º35'44''W","27º0'22''S",NA,NA,"CRI012408",NA,"Marcos Pellegrini","2018","02","10","1040","Barra APA Costa Brava","Flor branca Habitat: Aquática Habito: Herbácea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","793","S","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","Maria Gaudalupe Carvalho Fernandes;",NA,NA,NA,"Brasil","Minas Gerais","Belo Horizonte","-43.937801361084","-19.9207992553711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lagoa da Pampulha","254","Magnoliophyta","Commelinales","17082","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","790","S","Plantae","Pontederiaceae","Heteranthera","reniformis","Heteranthera reniformis","Ruiz & Pav.","Flávia Maria Lélis Magalhães;",NA,NA,NA,"Brasil","Minas Gerais","Belo Horizonte","-43.937801361084","-19.9207992553711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fundação Zoo-Botância de Belo Horizonte","254","Magnoliophyta","Commelinales","17082","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","872947","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","J. S. Blanchet","1839",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NY00872947","NY00872947_01","C. N. Horn",NA,NA,NA,"2738","Fazenda de Utinga, in Certao del Rio de J. Francisco","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950389' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Commelinales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","872935","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","S. A. Mori","1984","07","13","Brazil","Mato Grosso","Poconé","-56.6228","-16.2569",NA,NA,"100","100","NY00872935","NY00872935_01","D. J. L. de Sousa",NA,NA,NA,"16774","Poconé-Pirizal H'wy. By bridge on Rio Pedro Gomez. Ca. 6 km E of Poconé.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950342' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Commelinales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02230597","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","B. A. Krukoff","1934","10","19","Brazil","Amazonas","Humaitá","-63.0208","-7.50611",NA,NA,NA,NA,"NY02230597","NY02230597_01",NA,NA,NA,NA,"6723","Near Livramento, on Rio Livramento.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2765160' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Commelinales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02230604","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","J. M. Pires","1962","08","10","Brazil","Amapá",NA,"-50.97","1.75",NA,NA,NA,NA,"NY02230604","NY02230604_01",NA,NA,NA,NA,"52462","Coastal Region. Lago Cujubim.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2393129' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Commelinales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","424144","PreservedSpecimen","Plantae","Pontederiaceae","Eichhornia","azurea","Eichhornia azurea","(Sw.) Kunth","J. M. Pires","1964","07","04","Brazil","Bahia","Santa Maria da Vitória","-44.1978","-13.3981",NA,NA,NA,NA,"NY00424144","NY00424144_01","S. Barrett",NA,NA,NA,"58159","Col. Mad. Rodovia Brasília-Fortaleza, entre o rio Corrente e Sta. Maria","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675385' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Commelinales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
