"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2016-09-29 10:12:00-03","NY","NYBG","376768","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Hohenbergia","ridleyi","Hohenbergia ridleyi","L. B. Smith","A. Lima","552064","1955","05","29","South America","Brazil","Pernambuco","Igarassu","Igaracu, Campina dos Marcos","-34.9064","-7.8344","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276853' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376768","NY00376768_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:44:51-03","EAO","IAN","34391","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Hohenbergia","pickelii","Hohenbergia pickelii",NA,"Pickel, BJ","1921",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN034391","IAN034391_f","Harms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:51:42-03","EAO","IAN","92997","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Hohenbergia","ridleyi","Hohenbergia ridleyi","Smith, LB","Andrade-Lima, D de","2062","1955","05","29","Southern America","Brasil","Pernambuco",NA,"Igaraçu. Campina dos Marcos.",NA,NA,NA,"Fl. roxo-claro.","IAN092997",NA,"(Baker) Mez","1955","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:51:42-03","EAO","IAN","92997","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Hohenbergia","ridleyi","Hohenbergia ridleyi","Smith, LB","Andrade-Lima, D de","2062","1955","05","29","Southern America","Brasil","Pernambuco",NA,"Igaraçu. Campina dos Marcos.",NA,NA,NA,"Fl. roxo-claro.","IAN092997",NA,"(Baker) Mez","1955","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:51:42-03","EAO","IAN","125072","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Hohenbergia","ridleyi","Hohenbergia ridleyi","Souza, GM","Belém, RP","3493","1968","05","03","Southern America","Brasil","Bahia","Maraú","Mata litorânea, margem de igarapé.","-39.0147018432617","-14.103099822998",NA,"Panta epífita; flores azuis, estames brancos, anteras esverdeadas; brácteas vermelhas, inflorescência de 1m cortada em pedaços.","IAN125072",NA,"(Baker) Mez","2001","12","47076","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:51:42-03","EAO","IAN","125072","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Hohenbergia","ridleyi","Hohenbergia ridleyi","Souza, GM","Belém, RP","3494","1968","05","03","Southern America","Brasil","Bahia","Maraú","Mata litorânea, margem de igarapé.","-39.0147018432617","-14.103099822998",NA,"Planta terrestre, flores azuis, estames brancos, brácteas vermelhas.","IAN125072",NA,"(Baker) Mez","2001","12","47076","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:27:36-03","UFBA","ALCB","07712","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Hohenbergia","ridleyi","Hohenbergia ridleyi","Oliveira, RCG de","Grupo Pedra do Cavalo","496","1980","08",NA,"Southern America","Brasil","Bahia","Cachoeira","Recôncavo Sul, Vale dos rios Paraguaçu e Jacuípe. Morro Belo","-39.083333","-12.533333",NA,"terrestre. Folhas de 2 m. Inflorescências grandes com flores alvo-esverdeadas. Crescendo em touceiras.","ALCB011625","ALCB011625","(Baker) Mez","2012","05",NA,NA,"10","-39.083333","-12.533333","100","100",NA,NA,NA,NA,NA
"8","2020-11-04 11:03:56-03","ESALQ","ESA","61208","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Hohenbergia","ridleyi","Hohenbergia ridleyi","Souza, G.M.","Souza, V.C.; Souza, J.P.; Elias, S.I.; Forster, W.; Oliveira, A.C.P.","22703.0","1999","05","18",NA,"Brasil","Bahia","Barra da Estiva","BLOQUEADO","-41.3269004821777","-13.6260995864868",NA,"Erva; escapo rosa-forte; frutos imaturos amarelados.","ESA061208","ESA061208","(Baker) Mez",NA,NA,"61861","auto",NA,NA,NA,"1020","1020",NA,NA,NA,NA,NA
"9","2020-11-04 11:03:56-03","ESALQ","ESA","74544","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Hohenbergia","ridleyi","Hohenbergia ridleyi","Souza, G.M.","Souza, V.C.; Souza, J.P.; Romão, G.O.; Elias, S.I.","26293.0","2001","07","17",NA,"Brasil","Bahia","Ibicoara","BLOQUEADO","-41.2846984863281","-13.4105997085571",NA,"Erva; raque da inflorescência vermelha; flores violeta.","ESA074544","ESA074544","(Baker) Mez",NA,NA,"34188","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:25:53-03","MN","R","223848","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Hohenbergia","ridleyi","Hohenbergia ridleyi",NA,"Uribbe, F.P.","148","2013","05","20",NA,"Brasil","Paraíba","Mamanguape",NA,"-35.136917","-6.736306",NA,NA,"R010005598","R010005598 R010005598_1","(Baker) Mez",NA,NA,NA,NA,NA,"035°08'12.9''W","06°44'10.7''S",NA,NA,NA,NA,NA,NA,NA
"11","2021-01-14 15:25:53-03","MN","R","223849","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Hohenbergia","ridleyi","Hohenbergia ridleyi",NA,"Uribbe, F.P.","145","2013","05","19",NA,"Brasil","Paraíba","Mamanguape",NA,"-35.197972","-6.719083",NA,NA,"R010005597","R010005597 R010005597_1","(Baker) Mez",NA,NA,NA,NA,NA,"035°11'52.7''W","06°43'08.7''S",NA,NA,NA,NA,NA,NA,NA
"12","2021-01-14 15:25:53-03","MN","R","223850","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Hohenbergia","ridleyi","Hohenbergia ridleyi",NA,"Uribbe, F.P.","149","2013","05","20",NA,"Brasil","Paraíba","Mamanguape",NA,"-35.193694","-6.708722",NA,NA,"R010005599","R010005599 R010005599_1","(Baker) Mez",NA,NA,NA,NA,NA,"035°11'37.3''W","06°42'31.4''S",NA,NA,NA,NA,NA,NA,NA
"13","2021-01-14 15:25:53-03","MN","R","24257","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Hohenbergia","ridleyi","Hohenbergia ridleyi","Smith, L.B.","Pickel, D.B.",NA,"1929","12",NA,NA,"Brasil","Pernambuco","Tapera",NA,NA,NA,NA,NA,"R010005596",NA,"(Baker) Mez","1952","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-02-02 14:37:51-02","BGBM","B","B 10 0242798","S","Plantae",NA,NA,"Bromeliaceae","Hohenbergia","ridleyi","Hohenbergia ridleyi",NA,"B. J. Pickel","1921","1929","02",NA,"Middle and South America","Brazil",NA,NA,"Pernambuco, Tapéra.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100242798 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100242798","B100242798 B100242798_1","Mez",NA,NA,NA,NA,NA,NA,NA,NA,NA,"holotype",NA,NA,NA,NA
"15","2019-02-15 11:35:37-02","IPA","IPA","7941","S","Plantae","Plantae",NA,"Bromeliaceae","Hohenbergia","ridleyi","Hohenbergia ridleyi","Smith, L.B.","Andrade-Lima","552062","1955","05","29","Southern America","Brasil","Pernambuco","Igarassu","Campina dos Marcos.","-34.9063987731934","-7.83416986465454",NA,"Fl. roxo-claro.","IPA0007941",NA,"(Baker) Mez","1955","08","24709","auto","02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-02-15 11:35:37-02","IPA","IPA","6321","S","Plantae","Plantae",NA,"Bromeliaceae","Hohenbergia","ridleyi","Hohenbergia ridleyi","Smith, L.B.","Pickel, B.","3428","1933","09","18","Southern America","Brasil","Paraíba","João Pessoa","Taboleiro de També. Terrestre.","-34.8630981445312","-7.11499977111816",NA,NA,"IPA0006321",NA,"(Baker) Mez","1953","09","15975","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-02-15 11:35:37-02","IPA","IPA","3499","S","Plantae","Plantae",NA,"Bromeliaceae","Hohenbergia","ridleyi","Hohenbergia ridleyi","Andrade-Lima","Pickel, B.","1921","1929","02",NA,"Southern America","Brasil","Pernambuco","São Lourenço da Mata","Tapera, S. Bento. Epífita e terrestre.","-35.0182991027832","-8.00222015380859",NA,"Fl. Roxas.","IPA0003499","IPA0003499","(Baker) Mez","1963","10","21764","auto","22",NA,NA,NA,NA,"ISOTYPE",NA,NA,NA,NA
