"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","sex"
"1","2020-09-23 10:44:21-03","E","E","326807","PreservedSpecimen","Plantae","Violaceae","Hybanthus","leptopus","Hybanthus leptopus","unspecified kind of","Rusby, Henry H.","846","E. Tropical South America","BR","Falls of Madeira","herbarium specimen of unspecif","BGBASE:398793","<a href=http://data.rbge.org.uk/herb/E00326807 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00326807",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1016156","PreservedSpecimen","Plantae","Violaceae","Hybanthus","albus","Hybanthus albus",NA,"V. C. Souza","5253","South America","Brazil","Ca. 6 km da cidade em direção a Livramento de Brumado.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142219' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016156","Magnoliophyta","Malpighiales","(A.St.-Hil.) Baill.","J. d. Paula-Souza","1994","03","06","Bahia","Rio de Contas","-41.8114","-13.5792","800","800","NY01016156_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02714798","PreservedSpecimen","Plantae","Violaceae","Hybanthus","albus","Hybanthus albus",NA,"J. G. Jardim","2037","South America","Brazil","Livramento do Brumado. Nosa Senhora na Rod. para Rio de Contas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=694163' target='other'> <mi>dwc_moreinfo</mi></a>","NY02714798","Magnoliophyta","Malpighiales","(A.St.-Hil.) Baill.","J. d. Paula-Souza","1999","02","25","Bahia",NA,"-41.8131","-13.6311",NA,NA,"NY02714798_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1043240","PreservedSpecimen","Plantae","Violaceae","Hybanthus","leptopus","Hybanthus leptopus","isotype","H. H. Rusby","846","South America","Brazil","Falls of Madeira","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192971' target='other'> <mi>dwc_moreinfo</mi></a>","NY01043240","Magnoliophyta","Malpighiales","Schulze-Menz",NA,"1886","10",NA,"Rondônia",NA,"-65.3465375","-10.7798649",NA,NA,"NY01043240_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1043239","PreservedSpecimen","Plantae","Violaceae","Hybanthus","leptopus","Hybanthus leptopus","isotype","H. H. Rusby","846","South America","Brazil","Falls of Madeira","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192970' target='other'> <mi>dwc_moreinfo</mi></a>","NY01043239","Magnoliophyta","Malpighiales","Schulze-Menz",NA,"1886","10",NA,"Rondônia",NA,"-65.3465375","-10.7798649",NA,NA,"NY01043239_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1043238","PreservedSpecimen","Plantae","Violaceae","Hybanthus","leptopus","Hybanthus leptopus","isotype","H. H. Rusby","846","South America","Brazil","Falls of Madeira","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192966' target='other'> <mi>dwc_moreinfo</mi></a>","NY01043238","Magnoliophyta","Malpighiales","Schulze-Menz",NA,"1886","10",NA,"Rondônia",NA,"-65.3465375","-10.7798649",NA,NA,"NY01043238_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","660886","PreservedSpecimen","Plantae","Violaceae","Hybanthus","tarapotinus","Hybanthus tarapotinus",NA,"M. H. Nee","48666","South America","Bolivia","Along road to San Joaquín, 1.3 km E of turnoff at La Mora from highway from Santa Cruz to Abapó.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=285896' target='other'> <mi>dwc_moreinfo</mi></a>","NY00660886","Magnoliophyta","Malpighiales","Ule","M. H. Nee","1998","03","14","Santa Cruz","Cordillera","-63.2","-18.4583","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","660889","PreservedSpecimen","Plantae","Violaceae","Hybanthus","tarapotinus","Hybanthus tarapotinus",NA,"M. H. Nee","48815","South America","Bolivia","Jardín Botánico de Santa Cruz, 12 km E of center of Santa Cruz on road to Cotoca.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=285897' target='other'> <mi>dwc_moreinfo</mi></a>","NY00660889","Magnoliophyta","Malpighiales","Ule","M. H. Nee","1998","04","03","Santa Cruz","Andrés Ibáñez","-63.07","-17.77","375","375","NY00660889_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:50:22-03","EAO","IAN","24169","PreservedSpecimen","Plantae","Violaceae","Ionidium","album","Ionidium album",NA,"Saint-Hilaire","s.n.","Southern America","Brasil",NA,NA,NA,NA,"IAN024169","Dicotiledônea",NA,"A.St.-Hil.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:57:47-03","NBC","NL-BOTANY","U.1754308","PreservedSpecimen","Plantae","Violaceae","Hybanthus","albus","Hybanthus albus",NA,"Herter",NA,"Southern America","Uruguay","Ballaco/young.?",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1754308 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1754308",NA,"Malpighiales","(A.St.-Hil.) Baill.",NA,"1933","11","01",NA,NA,NA,NA,NA,NA,"NL-U1754308","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 09:57:52-03","NBC","NL-BOTANY","U.1754378","PreservedSpecimen","Plantae","Violaceae","Hybanthus","leptopus","Hybanthus leptopus",NA,"Steyermark JA",NA,"Southern America","Venezuela",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1754378 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1754378",NA,"Malpighiales","Schulze-Menz","Hekking WHAM","1967","07","18","Falcón",NA,NA,NA,NA,NA,"NL-U1754378","Magnoliopsidae","1968","07","01","U 0111776",NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 09:57:52-03","NBC","NL-BOTANY","U.1754379","PreservedSpecimen","Plantae","Violaceae","Hybanthus","leptopus","Hybanthus leptopus",NA,"Steyermark JA",NA,"Southern America","Venezuela",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1754379 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1754379",NA,"Malpighiales","Schulze-Menz","Hekking WHAM","1967","07","23","Falcón",NA,NA,NA,NA,NA,"NL-U1754379","Magnoliopsidae","1968","08","01","U 0111777",NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 09:57:53-03","NBC","NL-BOTANY","U.1754306","PreservedSpecimen","Plantae","Violaceae","Hybanthus","tarapotinus","Hybanthus tarapotinus",NA,"Klug G",NA,"Southern America","Peru","Department of San Marti: Juan Jui, Alto Rio Huallaga.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1754306 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1754306",NA,"Malpighiales","Ule",NA,"1936","06","01",NA,NA,NA,NA,NA,NA,"NL-U1754306","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:20:37-03","ESALQ","ESA","24509","PreservedSpecimen","Plantae","Violaceae","Hybanthus","albus","Hybanthus albus",NA,"Souza, V.C. et al.","5253.0",NA,"Brasil","Ca. 6km da cidade em direção a Livramento de Brumado. Caatinga arbórea",NA,NA,NA,"ESA024509","Magnoliophyta",NA,"(A.St.-Hil.) Baill.","Paula-Souza, J.","1994","03","06","Bahia","Rio de Contas","-41.8114013671875","-13.5789003372192","800","800","ESA024509",NA,"2002","01","01",NA,"49773","auto",NA,NA,NA,NA,NA
"15","2020-11-04 11:20:37-03","ESALQ","ESA","132463","PreservedSpecimen","Plantae","Violaceae","Hybanthus","albus","Hybanthus albus",NA,"Harley, R.M.","55102.0",NA,"Brasil","Base da Serra do Tombador, a esquerda da estrada para Livramento. Mata seca, na sombra",NA,NA,"Erva com até 20cm alt., caule ramificado a partir da base. Folhas membranáceas, verdes. Flor com sépalas verde claras, pétalas brancas, o lábio com uma pequena mancha amarela na base. Frutos creme-amarelado","ESA132463","Magnoliophyta",NA,NA,"Paula-Souza, J.","2004","03","10","Bahia","Rio de Contas","-41.8114013671875","-13.5789003372192","974","974","ESA132463",NA,"2014","11","01",NA,"49773","auto",NA,NA,NA,NA,NA
