"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","1171065","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","parvifolia","Hymenaea parvifolia","Huber","P. L. B. Lisboa","1247","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1371898' target='other'> <mi>dwc_moreinfo</mi></a>","NY01171065","NY01171065_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","755167","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","parvifolia","Hymenaea parvifolia","Huber","D. C. Daly","6744","South America","Brazil","Acre","separate fruit","Inv. no. 378 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=908902' target='other'> <mi>dwc_moreinfo</mi></a>","NY00755167",NA,"R. C. Barneby","1991","05","27","Brasiléia","Seringal Porongaba, Colocaçào Sào José","-68.8","-10.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1171082","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","parvifolia","Hymenaea parvifolia","Huber","M. Kuhlmann","308","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1371900' target='other'> <mi>dwc_moreinfo</mi></a>","NY01171082","NY01171082_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01405748","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","parvifolia","Hymenaea parvifolia","Huber","C. A. Cid Ferreira","9492","South America","Brazil","Pará","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1383668' target='other'> <mi>dwc_moreinfo</mi></a>","NY01405748","NY01405748_01","R. D. Ribeiro","1987","11","06","Monte Alegre","Campos gerais próximos da Serra da Lua, 25 Km de Monte Alegre.","-54.25","-1.916667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00979504","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","parvifolia","Hymenaea parvifolia","Huber","R. de Lemos Fróes","11955","South America","Brazil","Maranhão","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1082837' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979504","NY00979504_01","Y.- T. Lee; J. H. Langenheim","1940","09",NA,NA,"Assutina-Carutapera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1171071","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","parvifolia","Hymenaea parvifolia","Huber","M. G. da Silva","2563","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1371903' target='other'> <mi>dwc_moreinfo</mi></a>","NY01171071","NY01171071_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1183489","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","parvifolia","Hymenaea parvifolia","Huber","A. A. de Oliveira","104","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1446893' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183489",NA,"R. C. Barneby","1991","09","13",NA,"Distrito Agropecuário, 90 km. NNE de Manaus. Reserva 1501 (Km. 41). Projeto Dinamica Biológica de Fragmentos Florestais.","-59.6854736","-2.3153702","50","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1171064","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","parvifolia","Hymenaea parvifolia","Huber","N. T. da Silva","1843","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1371893' target='other'> <mi>dwc_moreinfo</mi></a>","NY01171064","NY01171064_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1171121","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","parvifolia","Hymenaea parvifolia","Huber","C. A. Cid Ferreira","9492","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1373197' target='other'> <mi>dwc_moreinfo</mi></a>","NY01171121","NY01171121_01","R. D. Ribeiro","1987","11","06","Monte Alegre","Campos gerais próximos da Serra da Lua, 25 Km de Monte Alegre.","-54.25","-1.916667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1171086","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Hymenaea","parvifolia","Hymenaea parvifolia","Huber","C. R. Sperling","5941","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1371859' target='other'> <mi>dwc_moreinfo</mi></a>","NY01171086","NY01171086_01",NA,"1982","06","07",NA,"Serra dos Carajás; AMZA camp 3-Alfa","-50.55","-5.8","475","525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
