"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","typeStatus","class","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","monthIdentified","dayIdentified","fieldNumber","individualCount","infraspecificEpithet","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","807816","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","brasilianum","Hymenophyllum brasilianum","(Fée) Rosenst.","A. C. Brade","A. C. Brade","16528","1940","07","31","South America","Brazil","Rio de Janeiro","Flora da Serra dos Orgaãos. Pedra Assú.","-43.064087","-22.487169","2100","2100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801539' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","807815","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","brasilianum","Hymenophyllum brasilianum","(Fée) Rosenst.","A. C. Brade","A. C. Brade","16528","1940","07","31","South America","Brazil","Rio de Janeiro","Flora da Serra dos Orgaãos. Pedra Assú.","-43.064087","-22.487169","2100","2100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807815",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","807848","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth",NA,"C. Jürgens","s.n.","1905",NA,NA,"South America","Brazil","Rio Grande do Sul","S. Cruz, Serra João Rodriguez.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801774' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807848","NY00807848_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3955581","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth",NA,"A. D. A. Fay","2998","1990","08","13","South America","Bolivia","La Paz","Downhill from Cotapata, on La Paz-Yolosa Road","-67.8417","-16.275","2800",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4243383' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955581","NY03955581_01","Nor Yungas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2063329","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth",NA,"J. B. S. Pereira","43","2007","09","29","South America","Brazil","Paraná","Parque Estadual Pico Paraná.","-48.83","-25.23","1300",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2463536' target='other'> <mi>dwc_moreinfo</mi></a>","NY02063329","NY02063329_01","Campina Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3955582","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth",NA,"J. C. Solomon","10711","1983","08","27","South America","Bolivia","La Paz",NA,"-67.82","-16.3","3000",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4243384' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955582","NY03955582_01","Nor Yungas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3955575","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth",NA,"I. Jiménez-Pérez","2375","2004","06","09","South America","Bolivia","Tarija","Reserva Natural de Flora y Fauna Tariquía, campamento Alisos; río Escalera, al inicio de la senda al Nogal","-64.57","-22","1860",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4243377' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955575",NA,"Aniceto Arce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","807844","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth","C. V. Morton","C. Spannagel","123","1905","10",NA,"South America","Brazil","Santa Catarina",NA,"-50.3258","-27.8161",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801766' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807844","NY00807844_01","Lages",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3955570","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth",NA,"R. Núñez C.","718","2004","04","22","South America","Bolivia","Santa Cruz","Ceja de Monte","-64.7183","-17.2897","2169",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4243372' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955570","NY03955570_01","Manuel María Caballero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3955580","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth",NA,"A. D. A. Fay","2998","1990","08","13","South America","Bolivia","La Paz","Downhill from Cotapata, on La Paz-Yolosa Road","-67.8417","-16.275","2800",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4243382' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955580","NY03955580_01","Nor Yungas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","807845","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth",NA,"A. C. Brade","6432","1913","06",NA,"South America","Brazil","Rio de Janeiro",NA,"-44.5631","-22.4961","2300","2300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801770' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807845","NY00807845_01","Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","807847","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth","C. V. Morton","C. Jürgens","s.n.","1906",NA,NA,"South America","Brazil","Rio Grande do Sul","Serrinha.","-52.5103","-28.8183",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801773' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807847","NY00807847_01","Soledade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","3955573","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth",NA,"H. Huaylla Limachi","1538","2004","11","11","South America","Bolivia","Tarija","Municipio Padcaya. Reserva Nacional de Flora y Fauna Tariquía. Bosque Boliviano Tucumano.","-64.5372","-22.0431","1495",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4243375' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955573","NY03955573_01","Aniceto Arce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","3955572","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth",NA,"O. G. Martínez","1780","2009","03","17","South America","Argentina","Jujuy","Dpto. Ledesma. Pque. Nac. Calilegua, RP 83","-64.8783","-23.6917","1365",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4243374' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955572","NY03955572_01","Ledesma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","3955583","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth",NA,"J. J. Wurdack","1510","1962","07","23","South America","Peru","Amazonas","Scrub forest along Rio Ventilla 1-2 km. west of Molinopampa",NA,NA,"2350","2400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4243385' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955583",NA,"Chachapoyas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","3955571","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth",NA,"M. Kessler","9149","1996","10","18","South America","Bolivia","Cochabamba","3 km de Siberia hacia Karahuasi","-64.68","-17.8","2400",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4243373' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955571","NY03955571_01","Carrasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","3955578","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth",NA,"R. C. Moran","7546","2005","02","24","South America","Ecuador","Napo","Baeza, along road leading to radio towers behind town, near radio towers, just within gated entrance.","-77.8997","-1.4833","2500",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4243380' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955578",NA,"Quijos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","3955569","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth",NA,"G. Calatayud","2176","2004","04","15","South America","Peru","Cusco","Dist. Huayopata, Balconpata.","-72.5461","-12.8669","2200",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4243371' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955569",NA,"La Convención",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","02576644","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth","R. C. Moran","N. Y. Paniagua Zambrana","8741","2012","11","04","South America","Peru","La Libertad","Dist. Uchumarca. Polylepis - Axinaea forest east of Laguna Huayllabamba.","-77.7228","-6.9861","3040",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2828576' target='other'> <mi>dwc_moreinfo</mi></a>","NY02576644",NA,"Bolívar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","3955579","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth",NA,"W. D. Rodríguez-Duque","4552","2004","11","04","South America","Colombia","Antioquia","Mpio. Betania. Confluencia de la quebrada Bramadora y quebrada El Pedral.","-76.042867","5.749461","1700","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4243381' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955579",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","807846","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth",NA,"C. Jürgens","135","1903","12",NA,"South America","Brazil","Rio Grande do Sul","Serra João Rodriguez.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801771' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807846","NY00807846_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","807849","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth","A. R. Smith","L. Arroyo P.","940","1995","05","15","South America","Bolivia","Chuquisaca","Sud Cinti Province. Base nororiental del Cerro Bufete, aproximadamente 200m al E del campamento Rinconada del Bufete.",NA,NA,"2000","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801776' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807849","NY00807849_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","03955568","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth",NA,"J. Chambi","221","2006","04","04","South America","Peru","Cusco","Waiquichas","-71.6","-13.19","2600",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4243363' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955568","NY03955568_01","Paucartambo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","3955576","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth",NA,"W. D. Rodríguez-Duque","3550","2002","07","25","South America","Colombia","Antioquia","MPIO. San José de la Montana. Vereda El Caribe, sector El Calvario, arriba de la finca La Fuente.","-75.68164","6.77647","2930",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4243378' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955576",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","3955574","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth",NA,"I. Jiménez-Pérez","2376","2004","06","09","South America","Bolivia","Tarija","Reserva Natural de Flora y Fauna Tariquía, campamento Alisos; río Escalera, al inicio de la senda al Nogal","-64.57","-22","1860",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4243376' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955574",NA,"Aniceto Arce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","3955577","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth",NA,"R. Núñez C.","438","2003","11","28","South America","Bolivia","Santa Cruz","Pinar Yungueño. Colecta a 27 km de la Comarapa","-64.6883","-17.8269","2499",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4243379' target='other'> <mi>dwc_moreinfo</mi></a>","NY03955577","NY03955577_01","Manuel María Caballero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","807978","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","sampaioanum","Hymenophyllum sampaioanum","Brade & Rosenst.","A. C. Brade","A. C. Brade","16340","1940","07","11","South America","Brazil","Rio de Janeiro","Serra dos Orgaos, Toca dos Cacadares.",NA,NA,"1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=802862' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807978","NY00807978_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","144687","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","sampaioanum","Hymenophyllum sampaioanum","Brade & Rosenst.",NA,"A. C. Brade","9881","1929","11","03","South America","Brazil","Rio de Janeiro","Theresopolis",NA,NA,"1450","1450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=153560' target='other'> <mi>dwc_moreinfo</mi></a>","NY00144687","NY00144687_01",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","807979","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","sampaioanum","Hymenophyllum sampaioanum","Brade & Rosenst.","A. C. Brade","A. C. Brade","16340","1940","07","11","South America","Brazil","Rio de Janeiro","Serra dos Orgaos, Toca dos Cacadares.",NA,NA,"1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=802861' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807979","NY00807979_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-04-05 09:58:42-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","16293","S","Plantae","Tracheophyta","Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth",NA,"Windisch, P.G.","8751","1997","04","27","América do Sul","Brasil","Rio Grande do Sul","Distrito Silveiras, Pico Montenegro, coxilhas com campo e formações de araucária, limite do planalto","-50.0657997131348","-28.7483005523682",NA,NA,NA,"GEOGRAFIA: Mata nebular, na borda do cannyon, sobre rocha.;",NA,NA,"São José dos Ausentes",NA,"Polypodiopsida","42598","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-30 12:50:55-03","EAO","IAN","110274","PreservedSpecimen","Plantae","Fern",NA,"Hymenophyllaceae","Hymenophyllum","brasilianum","Hymenophyllum brasilianum","(Fée) Rosenst.","Brade, AC","Brade, AC","16528","1940","07","31","Southern America","Brasil","Rio de Janeiro","Flora da Serra dos Orgãos. Pedra Assú. Nos rochedos na mata.",NA,NA,"2100","2100",NA,NA,"IAN110274",NA,NA,NA,NA,NA,NA,"1941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-30 12:50:55-03","EAO","IAN","112471","PreservedSpecimen","Plantae","Fern",NA,"Hymenophyllaceae","Hymenophyllum","brasilianum","Hymenophyllum brasilianum","(Fée) Rosenst.","Brade, AC","Brade, AC","9798","1929","10","28","Southern America","Brasil","Rio de Janeiro","Pedras Beija-Flor.","-42.9655990600586","-22.4122009277344","1400","1400",NA,NA,"IAN112471",NA,"Teresópolis",NA,NA,"38539","auto","1932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-02-08 10:41:36-03","NBC","NL-BOTANY","U.1025882","PreservedSpecimen","Plantae",NA,"Hymenophyllales","Hymenophyllaceae","Hymenophyllum","brasilianum","Hymenophyllum brasilianum","Rosenst.",NA,"Jürgens LC",NA,"1906","01","01","Southern America","Brazil",NA,"Austrobrasilienses. Est. Rio Gr. do Sul, Munic, Soledade, Sarinha.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1025882 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1025882","NL-U1025882",NA,NA,"Pteropsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-02-08 10:41:36-03","NBC","NL-BOTANY","L.3549651","PreservedSpecimen","Plantae",NA,"Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth",NA,"Ule EHG",NA,"1910","01","01","Southern America","Guyana",NA,"An vermodertem Boumstamm im unteron Walde 1800m. Roraima.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3549651 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3549651","NL-L3549651",NA,NA,"Pteropsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-02-08 10:41:36-03","NBC","NL-BOTANY","U.1025763","PreservedSpecimen","Plantae",NA,"Hymenophyllales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth",NA,"Solomon JC",NA,"1983","08","27","Southern America","Bolivia",NA,"Dpto. La Paz. Prov. Nor Yungas. 1.4 km SE of Chuspipata, on road to Chulumani.","-67.816667","-16.3",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1025763 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1025763","NL-U1025763",NA,NA,"Pteropsida",NA,NA,NA,"-67.816667","-16.3",NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-02-08 10:41:42-03","NBC","NL-BOTANY","U.1025743","PreservedSpecimen","Plantae",NA,"Hymenophyllales","Hymenophyllaceae","Hymenophyllum","sampaioanum","Hymenophyllum sampaioanum","Brade & Rosenst.","Brade AC","Brade AC",NA,"1940","01","01","Southern America","Brazil","Rio de Janeiro","Estado do Rio, Serra dos Orgaos.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1025743 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1025743","NL-U1025743",NA,NA,"Pteropsida",NA,NA,NA,NA,NA,"U 0043309",NA,NA,NA,NA,NA,NA,NA
"37","2020-11-04 11:21:14-03","ESALQ","ESA","55060","PreservedSpecimen","Plantae","Pteridophyta",NA,"Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Humb. & Bonpl. ex Willd.","Salino, A.","Salino, A.","11991.0","2007","04","05",NA,"Brasil","Santa Catarina","Fazenda Farofa, trilha do rio Caveira. Vegetação Secundária de Floresta Ombrófila Mista Aluvial",NA,NA,"1360","1360",NA,"Rupícola. Margem do rio.","ESA055060",NA,"Limite de município Painel / Urupema",NA,NA,NA,NA,"2007",NA,NA,NA,"04","20",NA,NA,NA,NA,NA
"38","2021-01-14 15:31:11-03","MN","R","232892","PreservedSpecimen","Plantae",NA,NA,"Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth",NA,"Damasceno, E.R. 837; Campos, I.C.G.",NA,"2014","06","20",NA,"Brasil","Rio de Janeiro","Parque Estadual dos Três Picos","-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,"R010043936",NA,"Nova Friburgo",NA,NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-08-27 13:35:32-03","IAP","PACA-AGP","99194","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Hymenophyllaceae","Hymenophyllum","brasilianum","Hymenophyllum brasilianum","(Fée) Rosenst.","A. Sehnem & A. C. Brade","Sehnem, A.","953","1942","01","16",NA,"Brasil","RS","Aparados da Serra, Arroio das Capoeiras",NA,NA,"900","1000",NA,"Habitat: ad rupem","PACA099194",NA,NA,NA,"Filicopsida",NA,NA,"1942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-08-27 13:35:33-03","IAP","PACA-AGP","114650","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth","M. Bernardes","J. L. Schmitt","17","2008","07","12",NA,"Brasil","RS","Parque nacional da Ronda","-50.548389","-29.447361",NA,NA,NA,"Habitat: Florestal","PACA114650",NA,"São Francisco de Paula",NA,"Filicopsida",NA,NA,"2009","50°32'54.2W","29°26'50.5S",NA,"04","09",NA,NA,NA,NA,NA
"41","2019-08-27 13:35:33-03","IAP","PACA-AGP","50805","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Hymenophyllaceae","Hymenophyllum","crispum","Hymenophyllum crispum","Kunth","Larsen, C.","Reitz, R.","3749","1948","12","20",NA,"Brasil","RS","Campo dos Padres",NA,NA,"1900","1900",NA,"Habitat: na mata Hábito: epífita","PACA050805",NA,"Bom Retiro",NA,"Filicopsida",NA,NA,"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
