"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","day","locality","decimalLongitude","decimalLatitude","county","class","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","fieldNumber","dayIdentified","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","492002","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Jacobinia","polita","Jacobinia polita","(Nees) Hiern","G. Lindau","P. K. H. Dusén","10880A","1910","11","South America","Brazil","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=693446' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492002","NY00492002_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","492003","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Jacobinia","polita","Jacobinia polita pulchra","Nees","C. T. Rizzini","S. Araujo","519","1946","05","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290422' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492003","NY00492003_01","pulchra","28","Serra dos Orgaos, Barreira","-43","-22.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","492001","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Jacobinia","polita","Jacobinia polita","(Nees) Hiern","D. C. Wasshausen","G. G. Hatschbach","14232","1966","04","South America","Brazil","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=693445' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492001","NY00492001_01",NA,"26","Serra do Leao","-50.9492","-24.2083","Ortigueira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","492004","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Jacobinia","polita","Jacobinia polita","(Nees) Hiern",NA,"G. Gardner","588","1838",NA,"South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=693443' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492004","NY00492004_01",NA,NA,"In Brasilia ad montes Serra dos Orgaos","-43.073169","-22.496706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","492005","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Jacobinia","polita","Jacobinia polita","(Nees) Hiern",NA,"G. Gardner","588","1837","02","South America","Brazil","Rio de Janeiro","sheet","Comm. am. Shuttleworth 1838 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=693444' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492005","NY00492005_01",NA,NA,"Serra dos Orgaos, Brasil.trop.","-43.073169","-22.496706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:29:19-03","NBC","NL-BOTANY","U.1047685","PreservedSpecimen","Plantae",NA,"Lamiales","Acanthaceae","Jacobinia","polita","Jacobinia polita","Hiern",NA,"Plowman TC; Martinelli G",NA,"1980","04","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1047685 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1047685","NL-U1047685",NA,"22","Plants of Brazil, State of Rio de Janeiro, Municipio de Petrópolis: Estrada Fazenda Inglesa - Pati do Alferes. Floresta sob Regime de Preservação Permanente do IBDF.",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:18:47-03","MN","R","11224","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Sericographis","polita","Sericographis polita","Nees",NA,"Glaziou, A.F.M.","13080","1881","06",NA,"Brasil","Rio de Janeiro",NA,"Plantas do Brasil Central","R000011224","R000011224_001",NA,"07",NA,"-42.5311012268066","-22.2819004058838","Nova Friburgo",NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:21:04-03","UNICAMP","UEC","170814","S","Plantae","Magnoliopsida",NA,"Acanthaceae","Justicia","polita","Justicia polita","(Nees) Profice",NA,"Rapini, A; Costa, CB; Kirizawa, M","101","1996","03",NA,"Brazil","São Paulo",NA,"Subarbusto, cerca de 70 cm de altura. Corola vermelha.; Mata Tropical Pluvial de Altitude em fase de regeneração. Capoeira baixa, fechada.","UEC095737","UEC095737",NA,"20","Parque Estadual da Serra do Mar. Núcleo Cunha. Trilha para cabeceira do Rio Bonito.","-45.048056","-23.224444","Cunha",NA,NA,NA,"2020","-45.048056","-23.224444","1100","1100",NA,NA,NA,NA,NA
"9","2021-03-01 16:21:04-03","UNICAMP","UEC","64150","S","Plantae","Magnoliopsida",NA,"Acanthaceae","Justicia","polita","Justicia polita","(Nees) Profice",NA,"Buzato, S","31714","1994","04",NA,"Brazil","São Paulo",NA,"Herbácea, ca. 1m. Beira de riacho, área sombreada, flores vermelhas.","UEC097777","UEC097777",NA,"18","Parque estadual da Serra do Mar, Núcleo Cunha.","-44.9599990844727","-23.0699996948242","Cunha",NA,"38855","auto","2020",NA,NA,NA,NA,"04",NA,NA,NA,NA
"10","2019-11-01 15:27:43-03","PUC-RIO","FCAB","5310","PreservedSpecimen","Plantae",NA,"Angiospermae","Acanthaceae","Justicia","polita","Justicia polita","(Nees) Profice",NA,"M. Peron","803","1989","07",NA,"Brasil","Rio de Janeiro",NA,"Arbusto cerca 2,0m, umbrofilo, calice verde-vinoso, corola vermelha, anteras amarelas.","005310",NA,NA,"21","Reserva Ecológica Municipal de Macaé de Cima, Siti","-42.5311012268066","-22.2819004058838","Nova Friburgo",NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2015-09-04 08:26:10-03","MNHN","RECOLNAT_MNHN_P","P02901503","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Jacobinia","polita","Jacobinia polita","Benth. & Hook.f.",NA,"Gardner",NA,NA,NA,NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02901503' target='other'> <mi>dwc_moreinfo</mi></a>","P02901503","P02901503_01",NA,NA,"Serra dos Órgãos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"588",NA,NA,NA
