"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","order","typeStatus","continentOcean","verbatimLongitude","verbatimLatitude","individualCount","preparationType"
"1","2020-11-04 11:02:28-03","ESALQ","ESA","91359","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Vernonia","constricta","Vernonia constricta","Hatzenbacher & Mafroleti","Dematteis, M.","Souza, V.C. ; Kinupp, V.F.","30570.0","2005","01","22","Brasil","Rio Grande do Sul","Torres","Estrada do Mar, em frente à Barraca do Gaúcho. Restinga com dominância de Butia","-49.7268981933594","-29.3353004455566","20837","Subarbusto, ca. 80 cm alt.; flores róseo-arroxeadas.","ESA091359","ESA091359","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:42:11-03","JBP","HPL","9794","S","Plantae",NA,"Asteraceae","Lessingianthus","constrictus","Lessingianthus constrictus","(Matzenb. & Mafiol.)Dematt.","V.C.Souza","Souza, V. C. & Kinupp, V. F.","30570","2005","01","22","Brasil","RS","Torres","Coletado na Estrada do Mar, em frente à Barraca do Gaúcho; em área de restinga com dominância de Butia.","-49.7269","-29.3353","20837",NA,NA,NA,"auto","2011","02","16",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:28:05-03","IAP","PACA-AGP","108520","PreservedSpecimen","Plantae","Magnoliophyta","Compositae","Vernonia","constricta","Vernonia constricta","Matzenbacher & Mafioleti","N.I. Matzembacher","N.I. Matzembacher",NA,"2011","01","24","Brasil","RS","Capão da Canoa","R. Arroio do Meio, 1120","-50.0097007751465","-29.7455997467041","15808","subarbusto perene Habitat: Vegetação litorânea","PACA108520",NA,"auto",NA,NA,NA,"Magnoliatae","Asterales",NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:28:05-03","IAP","PACA-AGP","31745","PreservedSpecimen","Plantae","Magnoliophyta","Compositae","Vernonia","constricta","Vernonia constricta","Matzenbacher & Mafioleti","M. Dematteis","Rambo, B.",NA,"1946","02","07","Brasil","SC","Araranguá","Sombrio","-49.4858016967773","-28.934700012207","19353","EM PERIGO Habitat: in arenosis dumetosis litus Fenofase: flor","PACA031745",NA,"auto","2006","11","08","Magnoliatae","Asterales",NA,NA,NA,NA,NA,NA
"5","2019-01-17 11:24:45-02","PUCRS","MPUC","5525","S","Plantae",NA,"Asteraceae","Vernonia","constricta","Vernonia constricta","Matzenb. & Mafioleti","N.I. Matzenbacher",NA,NA,"1982","01","10","Brasil","RS","Capão da Canoa",".","-50.0094444","-29.7458333",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","Asterales","ISOTYPUS","South America","-50.0094444000","-29.7458333000","1",NA
"6","2019-01-17 11:24:45-02","PUCRS","MPUC","18269","S","Plantae",NA,"Asteraceae","Vernonia","constricta","Vernonia constricta","Matzenb. & Mafioleti","N.I. Matzenbacher",NA,NA,"1994","10","13","Brasil","RS","Capão da Canoa","Capão Novo","-50.0094444","-29.7458333",NA,NA,NA,NA,NA,"1994","01","01","Magnoliopsida","Asterales",NA,"South America","-50.0094444000","-29.7458333000","1",NA
"7","2019-01-17 11:24:45-02","PUCRS","MPUC","12436","S","Plantae",NA,"Asteraceae","Vernonia","constricta","Vernonia constricta","Matzenb. & Mafioleti","N.I. Matzenbacher",NA,NA,"2011","02","06","Brasil","RS","Capão da Canoa",".","-50.0094444","-29.7458333",NA,"Ocorre na região litorânea, na vegetação psamófila.",NA,NA,NA,"2011","01","01","Magnoliopsida","Asterales",NA,"South America","-50.0094444000","-29.7458333000","1",NA
"8","2019-01-17 11:24:45-02","PUCRS","MPUC","13284","S","Plantae",NA,"Asteraceae","Vernonia","constricta","Vernonia constricta","Matzenb. & Mafioleti","N.I. Matzenbacher","I.A. dos Santos",NA,"1991","11","22","Brasil","RS","Capão da Canoa",".","-50.0094444","-29.7458333",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","Asterales",NA,"South America","-50.0094444000","-29.7458333000","1",NA
"9","2019-01-17 11:24:45-02","PUCRS","MPUC","5526","S","Plantae",NA,"Asteraceae","Vernonia","constricta","Vernonia constricta","Matzenb. & Mafioleti","N.I. Matzenbacher",NA,NA,"1991","12","24","Brasil","RS","Capão da Canoa",".","-50.0094444","-29.7458333",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","Asterales",NA,"South America","-50.0094444000","-29.7458333000","1",NA
"10","2019-01-17 11:24:45-02","PUCRS","MPUC","13283","S","Plantae",NA,"Asteraceae","Vernonia","constricta","Vernonia constricta","Matzenb. & Mafioleti","N.I. Matzenbacher",NA,NA,"1990","12","14","Brasil","RS","Capão da Canoa",".","-50.0094444","-29.7458333",NA,"Dunas á beira mar (F: 70)",NA,NA,NA,NA,NA,NA,"Magnoliopsida","Asterales",NA,"South America","-50.0094444000","-29.7458333000","1",NA
"11","2019-01-17 11:24:45-02","PUCRS","MPUC","5527","S","Plantae",NA,"Asteraceae","Vernonia","constricta","Vernonia constricta","Matzenb. & Mafioleti","N.I. Matzenbacher",NA,NA,"1991","12","28","Brasil","RS","Capão da Canoa",".","-50.0094444","-29.7458333",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","Asterales",NA,"South America","-50.0094444000","-29.7458333000","1",NA
"12","2019-01-17 11:24:45-02","PUCRS","MPUC","19314","S","Plantae",NA,"Asteraceae","Vernonia","constricta","Vernonia constricta","Matzenb. & Mafioleti","N.I. Matzenbacher",NA,NA,"1991","12","22","Brasil","RS","Capão da Canoa",".","-50.0097007751465","-29.7455997467041","15808",NA,NA,NA,"auto",NA,NA,NA,"Magnoliopsida","Asterales",NA,"South America",NA,NA,"9",NA
"13","2012-09-13 06:54:00-03","MO","MOBOT","2453073","PreservedSpecimen","Plantae",NA,"Asteraceae","Vernonia","constricta","Vernonia constricta","Matzenb. & Mafioleti",NA,"Nélson I. Matzenbacher","Matzenbacher 823","1982","1","10","Brazil","Rio Grande do Sul",NA,"Capão da Canoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA
"14","2021-03-01 11:53:24-03","UFPE","UFP",NA,"PreservedSpecimen","Plantae",NA,"Asteraceae","Vernonia","constricta","Vernonia constricta","Matzenb. & Mafioleti","Nelson I.Matzenbacher","Santos, IV dos","UFP23343","1991","12","14","Brasil","Rio Grande do Sul","Capão da Canoa",NA,"-50.0097007751465","-29.7455997467041","15808",NA,NA,NA,"auto",NA,NA,NA,NA,"Asterales",NA,NA,NA,NA,NA,NA
"15","2021-03-01 11:53:24-03","UFPE","UFP","23343","PreservedSpecimen","Plantae",NA,"Asteraceae","Vernonia","constricta","Vernonia constricta","Matzenb. & Mafioleti","Nelson I.Matzenbacher","Santos, IV dos","UFP23343","1991","12","14","Brasil","Rio Grande do Sul","Capão da Canoa",NA,"-50.0097007751465","-29.7455997467041","15808",NA,"UFP023343",NA,"auto",NA,NA,NA,NA,"Asterales",NA,NA,NA,NA,NA,NA
"16","2020-09-02 16:21:24-03","Cenargen","CEN","33141","PreservedSpecimen","Plantae",NA,"Asteraceae","Lessingianthus","constrictus","Lessingianthus constrictus","(Matzenb. & Mafiol.) Dematt.","B. M. T. Walter","Nélson Ivo Matzenbacher","33141","1994","01","08","Brasil","RS","CAPAO DA CANOA",NA,"-50.0097007751465","-29.7455997467041","15808",NA,"CEN00033141","CEN00033141","auto","2016","09",NA,NA,NA,NA,NA,NA,NA,"1","Exsicatas"
