"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","county","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","class","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","650565","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Lithachne","horizontalis","Lithachne horizontalis","Chase","T. R. Soderstrom","1947","1972","04","19","South America","Brazil","Rio de Janeiro","Serra da Mendanha","-43.53","-22.85","400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32164' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650565","NY00650565_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","381291","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Lithachne","horizontalis","Lithachne horizontalis","Chase","M. A. Chase","9057","1925","03","25","South America","Brazil","Minas Gerais","Southwest of Bello Horizonte: about 0.5 km. beyond end of Calafote car line",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32165' target='other'> <mi>dwc_moreinfo</mi></a>","NY00381291","NY00381291_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:53:35-03","EAO","IAN","67146","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Lithachne","horizontalis","Lithachne horizontalis","Chase","Chase, A","9057","1925","03","25","Southern America","Brasil","Minas Gerais",NA,"-43.937801361084","-19.9207992553711",NA,NA,NA,NA,"IAN067146",NA,NA,"Belo Horizonte","17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:53:35-03","EAO","IAN","63561","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Lithachne","horizontalis","Lithachne horizontalis","Chase","Pires, JM; Black, GA","3008","1951","01","13","Southern America","Brasil","Minas Gerais",NA,"-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,"IAN063561",NA,NA,"Viçosa","13937","auto","Soderstrom, TR","1985","09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:18:12-03","NBC","NL-BOTANY","L.1273949","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Lithachne","horizontalis","Lithachne horizontalis","Chase","Soderstrom TR; Sucre Benjamin D",NA,"1972","04","19","Southern America","Brazil",NA,"GUANABARA.","-43.533333","-22.85",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1273949 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1273949","NL-L1273949",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","-43.533333","-22.85",NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:18:12-03","NBC","NL-BOTANY","L.1273950","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Lithachne","horizontalis","Lithachne horizontalis","Chase","Soderstrom TR; Sucre Benjamin D",NA,"1972","04","19","Southern America","Brazil",NA,"GUANABARA.","-43.533333","-22.85",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1273950 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1273950","NL-L1273950",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","-43.533333","-22.85",NA,NA,NA,NA,NA,NA
"7","2016-02-02 14:38:16-02","BGBM","B","B 10 0249129","S","Plantae",NA,NA,"Gramineae","Lithachne","horizontalis","Lithachne horizontalis","Chase","A. Chase","9057","1925","03","25","Middle and South America","Brazil",NA,"Minas Geraes; Bello Horizonte; gentle slope above streamlet, about 0.5 km beyond end of Calafate car line.",NA,NA,"800","800",NA,"Plants of Brazil <a href=http://herbarium.bgbm.org/object/B100249129 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100249129","B100249129","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:42:40-03","UFJF","CESJ","46570","PreservedSpecimen","Plantae","Angiosperma",NA,"Poaceae","Lithachne","horizontalis","Lithachne horizontalis","Chase","F.S. Souza; C.N. Matozinhos; K. Antunes; A.E.R.Nascimento; N.L. Abreu; P.L. Viana","108","2005","11","11","América do Sul","Brasil","Minas Gerais","Serra Negra, Cambuí.","-43.8278007507324","-22.0891990661621",NA,NA,NA,"Planta estolonífera, formando densas populações. Espiguetas masculinas com anteras amarelas. Espiguetas femininas solitárias, eventualmente alojadas nas bainhas das folhas mais basais, estigma plumoso branco.","CESJ046570",NA,NA,"Rio Preto","20815","auto","P.L. Viana","2005","12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:42:40-03","UFJF","CESJ","46129","PreservedSpecimen","Plantae","Angiosperma",NA,"Poaceae","Lithachne","horizontalis","Lithachne horizontalis","Chase","C.N. Matozinhos; K. Antunes; N.L. Abreu; F.S. Souza; P.L. Viana","243","2005","11","09","América do Sul","Brasil","Minas Gerais","Serra Negra, Trilha para o Ninho da Égua.","-43.8278007507324","-22.0891990661621",NA,NA,NA,"Bambu herbáceo em interior de mata de cambuí (Myrciaria tennela). Anteras amarelas; estigmas brancos. Estolões presentes.","CESJ046129",NA,NA,"Rio Preto","20815","auto","F.M. Ferreira","2007","02",NA,NA,NA,"12",NA,NA,NA,NA,NA
"10","2015-09-24 20:23:01-03","MNHN","RECOLNAT_MNHN_P","P00642209","PreservedSpecimen",NA,NA,NA,"Poaceae","Lithachne","horizontalis","Lithachne horizontalis","Chase","Chase, A.",NA,"1925","3","25",NA,"Brésil",NA,"Near bello Horizonte, Minas Gerais",NA,NA,"800",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00642209' target='other'> <mi>dwc_moreinfo</mi></a>","P00642209","P00642209_01","isotype",NA,NA,NA,"Oliveira & Dorea",NA,NA,NA,NA,NA,NA,"9057",NA,NA,NA,NA
