"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","eventTime","fieldNumber","individualCount","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1843383","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","villosissima","Lychnophora villosissima","Mart.","J. Semir","G. Gardner","4825","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2050122' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843383","NY01843383_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1843387","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","villosissima","Lychnophora villosissima","Mart.","J. Semir","W. R. Anderson","8413","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2050228' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843387","NY01843387_01","1973","04","09","12 km by road W of Diamantina on road to Curvelo. Serra do Espinhaço.","-43.68024","-18.32666","1450","1450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1843385","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","villosissima","Lychnophora villosissima","Mart.","J. Semir","G. Gardner","4825","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2050226' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843385","NY01843385_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1843386","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","villosissima","Lychnophora villosissima","Mart.","J. Semir","G. Gardner","4825","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2050227' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843386","NY01843386_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-01-28 13:11:03-03","MCN-PUC-MINAS","HPUC-MG","ANG4349","S","Plantae",NA,NA,"Asteraceae","Lychnophora","villosissima","Lychnophora villosissima",NA,NA,"JLPR","83",NA,"Brasil","Minas Gerais",NA,"Folhas verticiladas simples, bordas simples, textura coriácea, com pelos brancos abaxiais. Flores roxas. Possui algodão para fazer travesseiro.",NA,NA,NA,NA,NA,"Fazenda Santa Cruz","-43.3793983459473","-18.604700088501","850","850","Serro","37754","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-01-28 13:11:04-03","MCN-PUC-MINAS","HPUC-MG","ANG2175","S","Plantae",NA,NA,"Asteraceae","Lychnophora","villosissima","Lychnophora villosissima",NA,NA,"Juliana Lima Passos Rezende",NA,NA,"Brasil","Minas Gerais",NA,"18. Área de vegetação rasteira, entre pedras, em ponto alto. Arbusto +- 1m. Folhas miúdas sem flor e furto. Usado para dores, coloca as folhas em álcool.",NA,NA,"2013","12","13","Ausente","-43.3793983459473","-18.604700088501",NA,NA,"Serro","37754","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 17:37:05-03","EAO","IAN","36659","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Lychnophora","villosissima","Lychnophora villosissima","Mart.",NA,"Martins-da-Silva, RCV","s.n.","Southern America","Brasil",NA,NA,NA,"IAN036659","IAN036659_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:24:27-03","MN","R","15563","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","villosissima","Lychnophora villosissima","Mart.","Semir, J.","Glaziou, A.F.M.","19475",NA,"Brasil","Minas Gerais",NA,"Plantas do Brasil Central","R000015563","R000015563_001","1892","03","28",NA,NA,NA,NA,NA,NA,NA,NA,"1992","11",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:24:38-03","UNICAMP","UEC","111652","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","villosissima","Lychnophora villosissima","Mart.","Semir, J; Monge, M","Lopes, NP","217",NA,"Brazil","Minas Gerais",NA,"Planta com aproximadamente 1,0m de altura com flores e com aquênios.","UEC128339","UEC128339","1999","09","11","Km 501-502 da Rodovia MG-BR 259 margem direita, perto dos moinhos heólicos.",NA,NA,NA,NA,NA,NA,NA,"2012","04",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:24:38-03","UNICAMP","UEC","111654","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","villosissima","Lychnophora villosissima","Mart.",NA,"Lopes, NP","211",NA,"Brazil","Minas Gerais",NA,"Planta com aproximadamente 1,5m de altura,com aquênios e sem flores.","UEC128347","UEC128347","1999","09","11","Km 187-188. Rodovia Diamantina-Conselheiro da Mata, estrada de terra (+/- 4Km depois que entra).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
