"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","138762","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.","type","G. Gardner","1370","South America","Brazil","Alagoas","In provinica Dos Alagoas","sheet","Comm. am. Shuttleworth 1839 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651402' target='other'> <mi>dwc_moreinfo</mi></a>","NY00138762","NY00138762_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","476559","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sandwith",NA,"M. H. Nee","47681","South America","Bolivia","Santa Cruz","Northern outskirts of Mairana.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=218570' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476559",NA,"M. H. Nee","1997","12","31","Florida","-63.97","-18.12","1325","1325",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","138763","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.","type","G. Gardner","1370","South America","Brazil","Alagoas","In provinica Dos Alagoas","sheet","Comm. am. Shuttleworth 1839 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651403' target='other'> <mi>dwc_moreinfo</mi></a>","NY00138763","NY00138763_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:21:01-03","UFRJ","RFA","19735","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"G.G. Hatschbach","39852",NA,"Brasil","Paraná","Porto Verde, margem do rio Paraná",NA,"Pequena árvore 5 m de altura; flores alvescentes","RFA49189",NA,"A.T. Huntziker & Bernardello","1977","03","26","Santa Helena","-54.3328018188477","-24.8603000640869",NA,NA,"1978","23937","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:49:53-03","EAO","IAN","59215","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Morel, I","4627","Southern America","Argentina","Gob. Formosa","Ruta 86 al km 55.",NA,NA,"IAN059215",NA,NA,"1948","02","10","Pilcomayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:35:25-03","NBC","NL-BOTANY","L.2881832","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Hatschbach GG",NA,"Southern America","Brazil",NA,"Est Parana (Brasil). Mun. Guaira. Rio Piquiry, Porto Baiton.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2881832 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2881832","NL-L2881832",NA,"1961","04","09",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:35:25-03","NBC","NL-BOTANY","L.4320431","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Nee MH; Linneo I",NA,"Southern America","Bolivia",NA,"10.8 km N of Villa Montes on highway to Camiri, then ca. 6 km SE on dirt roads, and E of railroad from Argentina to Santa Cruz de la Sierrra.",NA,"Chaco forest, flat, with Anadenanthera macrocarpa, Achatocarpus praecox, Castela coccinea, Caesalpinia paraguariensis, Saccellium lanceolatum, Petiveria alliacea, Acacia aroma, Siolmatra brasiliensis.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4320431 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4320431","NL-L4320431","Nee MH","2006","02","12",NA,"-63.391389","-21.213056",NA,NA,NA,NA,NA,"Magnoliopsidae","-63.391389","-21.213056",NA,NA,NA,NA,NA
"8","2020-02-08 10:35:25-03","NBC","NL-BOTANY","L.4320432","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Nee MH; Linneo I",NA,"Southern America","Bolivia",NA,"10.8 km N of Villa Montes on highway to Camiri, then ca. 6 km SE on dirt roads, and E of railroad from Argentina to Santa Cruz de la Sierrra.",NA,"Chaco forest, flat, with Anadenanthera macrocarpa, Achatocarpus praecox, Castela coccinea, Caesalpinia paraguariensis, Saccellium lanceolatum, Petiveria alliacea, Acacia aroma, Siolmatra brasiliensis.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4320432 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4320432","NL-L4320432","Nee MH","2006","02","12",NA,"-63.391389","-21.213056",NA,NA,NA,NA,NA,"Magnoliopsidae","-63.391389","-21.213056",NA,NA,NA,NA,NA
"9","2021-01-14 15:33:40-03","MN","R","212403","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"Freire Allemão, F.; Cysneiros, M.","1226",NA,"Brasil","Ceará",NA,NA,NA,"R010046946","R010046946_001","Stehmann, J.R.","1859",NA,NA,NA,NA,NA,NA,NA,"2017",NA,NA,NA,NA,NA,"05","09",NA,NA,NA
"10","2021-04-07 11:48:54-03","UFMS","CGMS","70275","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Lycium","glomeratum","Lycium glomeratum","Sendtn.",NA,"A. Pott; V.J. Pott; R. Tsuji","12696",NA,"Brasil","Mato Grosso do Sul","Estrada vicinal MS-454, 13 Km W da rodovia BR-262 (Km 744), próximo à Lagoa do Jacadigo, Pantanal.",NA,NA,"CGMS1069659",NA,"R. Stehmann","2005","03","11","Corumbá","-57.6605556","-19.4008333","100","100","2005",NA,NA,NA,"-57,6605556","-19,4008333","06","16",NA,NA,NA
