"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","448498","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Lymania","azurea","Lymania azurea","Leme","H. E. Luther","A. M. Amorim","2419","1998","05","10","South America","Brazil","Bahia","Santa Luzia","Entrada a 11,3 km a E da Sede do município Serra da Onça, ca. 4,5 km da estrada","-39.2569077","-15.3417536","510","510","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246235' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448498","NY00448498_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:29:40-03","UFRJ","RFA","28197","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea","Leme","L. O. F. de Sousa","T. Wendt; G. K. Brown; J. L. da Paixão","468","2003","04","02",NA,"Brasil","Bahia","Una","Reserva Biológica de Una","-39.059444","-15.193889",NA,NA,NA,"Erva epífita (trepadeira), muito frequente, folhas na face dorsal acinzentadas, raque vermelha, frutos imaturos verdes","RFA52209",NA,"2003","04","02","39º3'34''W","15º11'38''S",NA,NA,NA,NA
"3","2020-06-29 11:29:40-03","UFRJ","RFA","30870","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea","Leme","L. O. F. de Sousa","L. O. F. Sousa; T. Wendt; A. P. G. de Faria; G. K. Brown; J. L. da Paixão","406","2002","10","08",NA,"Brasil","Bahia","Una","Reserva Biológica de Una","-39.0752983093262","-15.2932996749878",NA,NA,NA,"Erva epífita ca. 30 cm com a inflorescência, ciófila, folhas coriáceas verdes, escapo vinosa, cálice verde claro, corola alva com ápices das pétalas ligeiramente azulados, flores passadas recentes vermelhas","RFA52204",NA,"2002","10","08",NA,NA,"36070","auto",NA,NA
"4","2020-06-29 11:29:40-03","UFRJ","RFA","30901","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea","Leme","A. Costa","A. P. G. de Faria; A. Costa","44","2001","07",NA,NA,"Brasil","Bahia","Una","Reserva de Una. Floresceu na Casa de Vegetação do Museu Nacional, UFRJ","-39.0752983093262","-15.2932996749878",NA,NA,NA,"Folhas verdes sem bandas de tricomas. Brácteas escapais paleáceas. Escapo e raque vinosos. Ovário sulcado verde, sépalas verdes, pétalas brancas em direção a base e azuis em direção ao ápice. Estigmas e anteras brancos","RFA52206",NA,NA,NA,NA,NA,NA,"36070","auto",NA,NA
"5","2019-06-27 10:24:21-03","UFES","VIES","1154","S","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea","Leme","Sousa, L.O.F. de","Santos, T.S. dos","4202","1986","03","08",NA,"Brasil","Bahia","Buerarema","Rodovia Vila Brasil.","-39.2997016906738","-14.959400177002",NA,NA,NA,NA,"VIES001154","VIES001154","2005",NA,NA,NA,NA,"14251","auto",NA,NA
"6","2020-12-21 16:19:25-03","MBM","MBM","187132","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea","Leme","Leme, E.M.C.","Amorim, A.M.; et al.; et al.","1077","1993","03","08","Southern America","Brazil","Bahia","Una","Reserva Biológica do Mico-leão","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,"MBM187132","MBM187132",NA,NA,NA,NA,NA,"36070","auto",NA,NA
"7","2019-08-15 09:04:27-03","UESC","UESC","4129","S","Plantae","Angiospermae","Florideophycidae","Bromeliaceae","Lymania","azurea","Lymania azurea","Leme",NA,"Miranda, A.S. de,","41","1999","04","30",NA,"Brasil","Bahia","Una",NA,"-39.0752983093262","-15.2932996749878",NA,NA,NA,"Vegetação de Mata Higrófila Sul Baiana (Mata Atlântica) Solo argilo-silicoso.; Epífita.","UESC0004129",NA,"2006","12",NA,NA,NA,"36070","auto","Monocotyledoneae",NA
"8","2019-08-15 09:04:27-03","UESC","UESC","5143","S","Plantae","Angiospermae","Florideophycidae","Bromeliaceae","Lymania","azurea","Lymania azurea","Leme",NA,"Fontoura, T.","441","1999","04","18",NA,"Brasil","Bahia","Una",NA,"-39.0752983093262","-15.2932996749878",NA,NA,NA,"Mata Higrófila Sul Bahiana em bom estado de conservação.; Planta epífita a mais ou menos 1,3 m de altura.","UESC0005143",NA,NA,NA,NA,NA,NA,"36070","auto","Monocotyledoneae",NA
"9","2019-08-15 09:04:27-03","UESC","UESC","11842","S","Plantae","Angiospermae","Florideophycidae","Bromeliaceae","Lymania","azurea","Lymania azurea","Leme",NA,"Fontoura, T.","472","2005","11","02",NA,"Brasil","Bahia","Una",NA,"-39.0752983093262","-15.2932996749878",NA,NA,NA,"Mata higrófila.; Erva epífita em ramo caído no sub-bosque.","UESC0011842",NA,NA,NA,NA,NA,NA,"36070","auto","Monocotyledoneae",NA
"10","2019-08-15 09:04:27-03","UESC","UESC","11881","S","Plantae","Angiospermae","Florideophycidae","Bromeliaceae","Lymania","azurea","Lymania azurea","Leme",NA,"Fontoura, T.","504","2006","10","24",NA,"Brasil","Bahia","Una",NA,"-39.148889","-15.144167",NA,NA,NA,"Mata de restinga degradada.; Planta terrestre pouco frequente.","UESC0011881",NA,NA,NA,NA,"39W8'56''","15S8'39''",NA,NA,"Monocotyledoneae",NA
"11","2021-03-04 11:04:41-03","UFRB","HURB","18873","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea","Leme",NA,"Souza, E.H.; Cavalcante, B. P.","700","2018","11","28",NA,"Brasil","Bahia","Una","Reserva Biologia de Una - BA 001; Entrada no Km 046","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,"HURB000018873",NA,NA,NA,NA,NA,NA,"36070","auto",NA,NA
"12","2020-07-23 12:00:56-03","CEPLAC","CEPEC","137767","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea",NA,"E.H.Souza","R.F.Monteiro","501","2012","01","12",NA,"Brasil","Bahia","UNA","Reserva Biológica de Una. Trilha do Príncipe.","-39.666667","-15.183611",NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,"39W40'0","15S11'1",NA,NA,NA,NA
"13","2020-07-23 12:00:56-03","CEPLAC","CEPEC","123472","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea",NA,"Sem Informação","Jardim, J. G.","5316","2008","07","02",NA,"Brasil","Bahia","arataca","RPPN do IESB, Serra do Peito de Moça, Rodovia Arataca/Una, entrada a 9,5km da cidade, mais 8,9km da entrada. Trilha da Serra, entrada ca. 1,5km NE da sede.","-39.343611","-15.161944","700","700",NA,"UNICATA.",NA,NA,NA,NA,NA,"39W20'37","15S9'43",NA,NA,NA,NA
"14","2020-07-23 12:00:56-03","CEPLAC","CEPEC","135659","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea",NA,"E.H.Souza","Moraes, A. O.","924","2011","10","25",NA,"Brasil","Bahia","UNA","Fazenda Conjunto Boa Sorte. Próxima a Reserva Biológica de Una","-39.074167","-15.153056",NA,NA,NA,"Planta coletada em fragmento florestal ( interior a 100 m)adjacente a pastagem. Unicata.",NA,NA,NA,NA,NA,"39W4'27","15S9'11",NA,NA,NA,NA
"15","2020-07-23 12:00:56-03","CEPLAC","CEPEC","135663","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea",NA,"Moraes, A. O.","Moraes, A. O.","928","2011","10","25",NA,"Brasil","Bahia","UNA","Fazenda Conjunto Boa Sorte. Próxima a Reserva Biológica de Una","-39.074167","-15.153056",NA,NA,NA,"Planta coletada em fragmento florestal ( interior a 100 m)adjacente a pastagem.",NA,NA,NA,NA,NA,"39W4'27","15S9'11",NA,NA,NA,NA
"16","2020-07-23 12:00:56-03","CEPLAC","CEPEC","39502","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea",NA,"L. O. F. de Sousa","T. S. dos Santos","4202","1986","03","08",NA,"Brasil","Bahia","BUERAREMA","16Km ao SE Buerarema, Rod. a Vila Brasil.","-38.25","-15.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,"38W15'0","15S3'0",NA,NA,NA,"14/10/2002"
