"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","00995381","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.","J. R. Pirani","A. M. Giulietti","CFCR2419","1981","10","30","South America","Brazil","Minas Gerais","Diamantina","Estr. Diamantina-Conselheiro Mata, a [blank] km de Diamantina.","-43.6003","-18.2494","1402","1402","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092261' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995381","NY00995381_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","448325","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.",NA,"A. F. M. Glaziou","13413",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258390' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448325","NY00448325_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","720088","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.",NA,"A. Löfgren","10450","1897","01","03","South America","Brazil","São Paulo",NA,"Corrego Alegre.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2528426' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720088","NY00720088_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00995384","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.","P. Acevedo-Rodríguez","N. Hensold","CFCR2798","1982","01","10","South America","Brazil","Minas Gerais",NA,"Serra do Caraça. Trilha p/Cascatinha.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092286' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995384","NY00995384_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00995379","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.","P. Acevedo-Rodríguez","A. Furlan","CFCR2553","1981","10","31","South America","Brazil","Minas Gerais",NA,"Estr. Diamantina-Biribiri, a 4 km de Diamantina.",NA,NA,"1135","1135","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092241' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995379","NY00995379_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00995380","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.","J. R. Pirani","A. M. Giulietti","CFCR2348","1981","10","30","South America","Brazil","Minas Gerais","Diamantina","Estr. Diamantina - Sopa, a 25 km de Diamantina. Caminho para S. João da Chapada.","-43.6003","-18.2494",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092253' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995380","NY00995380_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00995377","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.","P. Acevedo-Rodríguez","D. Alvarenga","982","1997","10","16","South America","Brazil","Minas Gerais","Formoso","Parque Nacional Grande Sertão Veredas; nacente do Rio Preto; Vereda do Veado.","-45.9206","-15.4056","830","830","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1091517' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995377","NY00995377_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1181422","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.","D. C. Zappi","B. R. Silva","1347","2004","10","26","South America","Brazil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca. Trilha para Cachoeira dos Macacos, alto do penhasco.","-43.8936","-21.7106","1359","1359","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1369988' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181422","NY01181422_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00995378","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.","T. D. Pennington","P. Clausen","s.n.",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092235' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995378","NY00995378_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00995389","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.","P. Acevedo-Rodríguez","R. de Mello-Silva","CFCR8716","1985","11","24","South America","Brazil","Minas Gerais","Datas","Estrada Curvelo-Diamantina, km 108, em estrada vicinal.","-43.6556","-18.4458",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092326' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995389","NY00995389_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00995386","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.","J. A. Kallunki","H. S. Irwin","29644","1971","02","02","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 3 km N. of Mariana, road to Santa Bárbara","-43.41805556","-20.37495","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092305' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995386","NY00995386_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00995388","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.","P. Acevedo-Rodríguez","G. G. Hatschbach","41625","1978","10","21","South America","Brazil","Minas Gerais","Grão Mogol","Corrego do Posto. Junto a afloramento rochoso no alto da Serra Geral.","-42.8894","-16.5594",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092315' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995388","NY00995388_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00995385","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.","T. D. Pennington","H. S. Irwin","22477","1969","01","23","South America","Brazil","Minas Gerais",NA,"Ca. 12 km SW of Diamantina. Serra do Espinhaço.","-43.7","-18.27","1350","1350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092293' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995385","NY00995385_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00995390","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.","P. Acevedo-Rodríguez","W. W. Thomas","4852","1985","11","23","South America","Brazil","Minas Gerais","Diamantina","Near Sopa on rd. to São João da Chapada, 5 km NW of jct. with rd. from Curvelo to Diamantina.","-43.7","-18.2","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092330' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995390","NY00995390_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00995382","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.","J. R. Pirani","R. M. Harley","25140","1988","10","16","South America","Brazil","Minas Gerais","Grão Mogol","Ca. 5-15 km ao norte da cidade.","-42.78","-16.53","1050","1050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092270' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995382","NY00995382_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00995383","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.","P. Acevedo-Rodríguez","N. Hensold","CFCR2706","1981","12","04","South America","Brazil","Minas Gerais",NA,"Diamantina-Gouveia, a 73 km, em direção a Sete Lagoas.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092281' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995383","NY00995383_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","448327","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.","P. Acevedo-Rodríguez","L. G. Viollati","74","1989","10","17","South America","Brazil","Bahia","Correntina","Fazenda do Sr. Edgar.","-44.63","-13.34",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258389' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448327","NY00448327_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","448328","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.","P. Acevedo-Rodríguez","D. C. Daly","D726","1980","10","20","South America","Brazil","Maranhão","Codó","Approx. 60 km W of Caxias on BR 135 near km 490.","-43.78","-4.7",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258388' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448328","NY00448328_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00995387","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.","J. R. Pirani","M. L. Kawasaki","CFCR6621","1984","11","29","South America","Brazil","Minas Gerais","Itacambira","5 km de Itacambira, a leste da cidade, na estrada para Montes Claros.","-43.3089","-17.0647",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092309' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995387","NY00995387_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","448326","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.",NA,"B. M. T. Walter","502","1989","10","15","South America","Brazil","Bahia","Sao Desidério","31 km de Estiva em direçao a Roda Velha.","-44.9731","-12.3633","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258391' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448326","NY00448326_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1039152","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.","J. R. Pirani","R. C. Forzza","4876","2007","11","17","South America","Brazil","Minas Gerais","Carbonita","Chapada dos Columbis, estrada Diamantina - Virgem da Lapa (BR 367), 76 km NE da ponte sobre o rio Jequitinhonha em Menhanha (Diamantina).","-43.2508","-17.6383","965","965","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1482056' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039152","NY01039152_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-30 12:48:54-03","EAO","IAN","63715","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.",NA,"Pires, JM; Black, GA","3269","1951","01","12","Southern America","Brasil","Minas Gerais","Ouro Preto",NA,"-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"IAN063715","IAN063715 IAN063715_e","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-02-08 10:32:35-03","NBC","NL-BOTANY","U.1589419","PreservedSpecimen","Plantae",NA,"Sapindales","Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.",NA,"Irwin HS; Harley RM; Onishi E",NA,"1971","01","18","Southern America","Brazil",NA,NA,"Plants of the Planalto do Brasil. Estado de Minas Gerais. Serra do Espinahco. Ca. 35 km S. of Belo Horizonte, near BR-31.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1589419 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1589419","NL-U1589419",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-11-04 11:19:28-03","ESALQ","ESA","114667","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","marginata","Matayba marginata",NA,"Coelho, R.L.G.","Leitão Filho, H.F.",NA,"1985","06","04",NA,"Brasil","Minas Gerais","Guinda",NA,NA,NA,NA,NA,NA,NA,"ESA114667","ESA114667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-11-04 11:19:28-03","ESALQ","ESA","107542","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","marginata","Matayba marginata",NA,"Coelho, R.L.G.","Harley, R.M.","55232.0","1970","07","31",NA,"Brasil","Minas Gerais","Santa Rita da Jacutinga",NA,NA,NA,NA,NA,NA,NA,"ESA107542","ESA107542",NA,NA,NA,"2006","03","17",NA,NA,NA,NA,NA,NA
"26","2020-11-04 11:19:28-03","ESALQ","ESA","114515","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","marginata","Matayba marginata",NA,"Coelho, R.L.G.","Coelho, R.","422.0","2011","03","01",NA,"Brasil","Minas Gerais","Diamantina",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"ESA114515","ESA114515","101169","auto",NA,"2014",NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-11-04 11:19:28-03","ESALQ","ESA","107405","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","marginata","Matayba marginata",NA,"Zappi","Silva, B.R.","1347.0","2004","10","26",NA,"Brasil","Minas Gerais","Lima Duarte",NA,"-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"ESA107405","ESA107405","30417","auto",NA,"2004",NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-11-04 11:19:28-03","ESALQ","ESA","108212","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","marginata","Matayba marginata",NA,"Coelho, R.L.G.","Fontes, M.A.L.","167.0","1996","05","23",NA,"Brasil","Minas Gerais","Lima Duarte",NA,"-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"ESA108212","ESA108212","30417","auto",NA,"2009","09","23",NA,NA,NA,NA,NA,NA
"29","2020-11-04 11:19:28-03","ESALQ","ESA","107540","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","marginata","Matayba marginata",NA,"Coelho, R.L.G.","Pires, F.R.S.","749.0","1987","10","13",NA,"Brasil","Minas Gerais","Rio Preto",NA,"-43.8278007507324","-22.0891990661621",NA,NA,NA,NA,"ESA107540","ESA107540","20815","auto",NA,"2006","03","20",NA,NA,NA,NA,NA,NA
"30","2020-11-04 11:19:28-03","ESALQ","ESA","106504","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","marginata","Matayba marginata",NA,"Coelho, R.L.G.","Vasco","73.0","1939","11","16",NA,"Brasil","Minas Gerais","Coronel Machado",NA,NA,NA,NA,NA,NA,NA,"ESA106504","ESA106504",NA,NA,NA,"2010","04","20",NA,NA,NA,NA,NA,NA
"31","2020-11-04 11:19:28-03","ESALQ","ESA","110226","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.","Coelho, R.L.G.","Ferrucci, M.S.","2885.0","2009","05","06",NA,"Brasil","Minas Gerais","Ouro Preto",NA,"-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"ESA110226","ESA110226","44599","auto",NA,"2015","08","04",NA,NA,NA,NA,NA,NA
"32","2020-11-04 12:16:08-03","ESALQ","ESA","143269","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.","Souza, V.C.","Souza, V.C. & Colletta, G.D.","42204.0","2017","10","13",NA,"Brasil","Minas Gerais","Diamantina","12 km de Diamantina em direção a Mendanha. Cerrado pedregoso adjacente a campo rupestre.","-43.6002998352051","-18.2493991851807","1250","1250",NA,"Arbusto, ca. 1,2 m alt.; flores creme.","ESA143269",NA,"101169","auto",NA,"2017","10","20","-43,548,028","-18,183,694",NA,NA,NA,NA
"33","2020-11-04 11:19:28-03","ESALQ","ESA","114666","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","marginata","Matayba marginata",NA,"Coelho, R.L.G.","Leitão Filho, H.F.",NA,"1992","12","10",NA,"Brasil","Minas Gerais","Diamantina",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"ESA114666","ESA114666","101169","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-11-04 11:19:28-03","ESALQ","ESA","107546","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","marginata","Matayba marginata",NA,"Coelho, R.L.G.","Eiterer, M.","106.0","1992","02","26",NA,"Brasil","Minas Gerais","Lima Duarte",NA,"-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"ESA107546","ESA107546","30417","auto",NA,"2006","03","17",NA,NA,NA,NA,NA,NA
"35","2020-11-04 11:19:28-03","ESALQ","ESA","88417","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","marginata","Matayba marginata",NA,"Ferrucci, M.S.","Udulutsch, R.G. ; Temponi, L.G.","1275.0","2002","11","27",NA,"Brasil","Minas Gerais","Biriri","Estrada Diamantina-Biriri, Cachoeira da Sentinela.",NA,NA,NA,NA,NA,"Frutos com base vermelha e ápice amarelado.","ESA088417","ESA088417",NA,NA,NA,"2009",NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-11-04 11:19:28-03","ESALQ","ESA","52229","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.","Ferrucci, M.S.","Hatschbach, G. et al.","67320.0","1997","11","20",NA,"Brasil","Minas Gerais","Diamantina",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"ESA052229","ESA052229","101169","auto",NA,"2004","01","01",NA,NA,NA,NA,NA,NA
"37","2020-11-04 11:19:28-03","ESALQ","ESA","110307","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.","Coelho. R.L.G.","Ferrucci, M.S.","2898.0","2009","05","07",NA,"Brasil","Minas Gerais","Ouro Preto",NA,"-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"ESA110307","ESA110307","44599","auto",NA,"2015","08","04",NA,NA,NA,NA,NA,NA
"38","2020-11-04 11:19:28-03","ESALQ","ESA","87292","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","marginata","Matayba marginata",NA,"Ferrucci, M.S.","Souza, V.C.; Lorenzi, H.; Romão, G.O.","29660.0","2003","12","18",NA,"Brasil","Minas Gerais","Diamantina","Cerca de 12 km de Diamantina em direçâo a Curvelo. Campo rupestre.","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Arbusto, ca. 1,5 m alt.; frutos vermelhos.","ESA087292","ESA087292","101169","auto",NA,"2009",NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-11-04 11:19:28-03","ESALQ","ESA","108219","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","marginata","Matayba marginata",NA,"Coelho, R.L.G.","Baitello, J.B.","400.0","1989","11","22",NA,"Brasil","São Paulo","Cunha",NA,"-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,"ESA108219","ESA108219","38855","auto",NA,"2009","09","23",NA,NA,NA,NA,NA,NA
"40","2020-11-04 11:19:28-03","ESALQ","ESA","82606","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.","Sommer, G.V.","Salimena, F.R.G. et al.","27551.0","1994","09","08",NA,"Brasil","Minas Gerais","Lima Duarte","Parque Florestal Estadual do Ibitipoca","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"ESA082606","ESA082606","30417","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-11-04 11:19:28-03","ESALQ","ESA","127442","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","marginata","Matayba marginata","Radlk.","Coelho, R.L.G.","Aona, L.Y.S. et al.","2058.0","2013","01","03",NA,"Brasil","Bahia","Boa Nova","Parque Nacional de Boa Nova","-40.2075004577637","-14.3625001907349",NA,NA,NA,NA,"ESA127442","ESA127442","31265","auto",NA,"2015","08","04",NA,NA,NA,NA,NA,NA
