"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","year","locality","minimumElevationInMeters","maximumElevationInMeters","month","day","stateProvince","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","infraspecificEpithet","class","typeStatus","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00720302","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Cinchona","pubescens","Cinchona pubescens","Vahl","L. Andersson","M. Bang","2229","South America","Bolivia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=947641' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720302","NY00720302_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00720303","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Cinchona","pubescens","Cinchona pubescens","Vahl","L. Andersson","H. H. Rusby","s.n.","South America","Bolivia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=947699' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720303","NY00720303_01","1885","Near Yungas","1219","1219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-28 09:00:00-03","NY","NYBG","880012","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Cinchona","pubescens","Cinchona pubescens",NA,"L. Andersson",NA,"2229","South America","Bolivia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939837' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880012","NY00880012_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","501881","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Melanopsidium","nigrum","Melanopsidium nigrum","Colla","P. G. Delprete","S. C. de Sant'Ana","703","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500004' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501881","NY00501881_01","1998","Ca. de 19 km de Santa Luzia, na estrada que liga Santa Luzia/Canavieiras",NA,NA,"10","12","Bahia","Canavieiras","-39.1978562","-15.5102246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","517946","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Melanopsidium","nigrum","Melanopsidium nigrum","Colla","P. G. Delprete","W. W. Thomas","10945","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500010' target='other'> <mi>dwc_moreinfo</mi></a>","NY00517946","NY00517946_01","1995","7.3 km SW of Olivença on road to Vila Brasil",NA,NA,"05","21","Bahia","Ilhéus","-39.0408","-14.9839",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","397701","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Melanopsidium","nigrum","Melanopsidium nigrum","Colla","P. G. Delprete","L. Riedel","625","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500000' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397701","NY00397701_01","1832",NA,NA,NA,"04",NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","686186","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Melanopsidium","nigrum","Melanopsidium nigrum","Colla","P. G. Delprete","J. R. Pirani","3487","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=829817' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686186","NY00686186_01","1994","ES-060, restinga da Praia de Setiba, ca. 15 km N de Guarapari",NA,NA,"12","08","Espírito Santo","Guarapari","-40.5108","-20.6581",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02886304","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Melanopsidium","nigrum","Melanopsidium nigrum","Colla","J. G. Jardim","P. Fiaschi","2062","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2475270' target='other'> <mi>dwc_moreinfo</mi></a>","NY02886304","NY02886304_01","2004","Estrada Serra Grande/Uruçuca. Área do inventário do plano de manejo. Mata da torre do celular.","380","380","03","18","Bahia","Uruçuca","-39.115","-14.4997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","397697","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Melanopsidium","nigrum","Melanopsidium nigrum","Colla","C. Persson","J. R. Pirani","2495","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499998' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397697","NY00397697_01","1988","Rodovia Marataizes ES-490, a 6 km da BR-101",NA,NA,"02","25","Espírito Santo","Itapemirim","-41.03","-20.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","397699","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Melanopsidium","nigrum","Melanopsidium nigrum","Colla","P. G. Delprete","D. A. Folli","2636","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500007' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397699","NY00397699_01","1995","Reserva Florestal de Linahres. Estrada Flamengo, km. 0,602. Ao lado da Trilha do Tatu Canastra",NA,NA,"07","31","Espírito Santo","Linhares","-40.0719","-19.3911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","517922","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Melanopsidium","nigrum","Melanopsidium nigrum","Colla","P. G. Delprete","W. W. Thomas","9981","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500008' target='other'> <mi>dwc_moreinfo</mi></a>","NY00517922","NY00517922_01","1993","10 km north of Prado on coast road to Cumuruxatiba",NA,NA,"10","19","Bahia","Prado","-39.3","-17.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","03066070","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Melanopsidium","nigrum","Melanopsidium nigrum","Colla",NA,"M. Gomes","1101","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3287739' target='other'> <mi>dwc_moreinfo</mi></a>","NY03066070","NY03066070_01","2014","Campos de Prova da Marambaia. próximo à Linha IV.","2","2","11","20","Rio de Janeiro","Rio de Janeiro","-43.5922222","-23.0447222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
