"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount","typeStatus","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","686114","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys","skvortzovii","Merostachys skvortzovii","Send.","R. Vinícius-Silva","R. M. Klein","11047","1974","01","20","South America","Brazil","Santa Catarina","Ao oeste de Nova Erechim, Nova Erechim","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=824877' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686114","NY00686114_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","651122","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys","skvortzovii","Merostachys skvortzovii","Send.","R. Vinícius-Silva","T. Sendulsky","1341","1974","02","07","South America","Brazil","São Paulo","Sao Paulo, Sao Paulo, Reserva Biológica, Parque Estadual das Fontes do Ipiranga",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608398' target='other'> <mi>dwc_moreinfo</mi></a>","NY00651122","NY00651122_01","Sao Paulo","-46.621883","-23.654505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","686110","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys","skvortzovii","Merostachys skvortzovii","Send.","R. Vinícius-Silva","R. M. Klein","11036","1974","01","18","South America","Brazil","Santa Catarina","Na cidade de Campo Erê, Campo Erê","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=825378' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686110","NY00686110_01","Campo Erê","-53.0781","-26.3944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","686113","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys","skvortzovii","Merostachys skvortzovii","Send.","R. Vinícius-Silva","R. M. Klein","11030","1974","01","18","South America","Brazil","Santa Catarina","7 km ao oeste de São Domingos","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=824818' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686113","NY00686113_01","Sao Domingos","-52.5317","-26.5583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","651126","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys","skvortzovii","Merostachys skvortzovii","Send.","R. Vinícius-Silva","T. Sendulsky","1318","1973","12","06","South America","Brazil","São Paulo","10 km south of center of city of Sao Paulo, in grounds of the Instituto de Botânica, Parque do Estado",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608402' target='other'> <mi>dwc_moreinfo</mi></a>","NY00651126","NY00651126_01","Sao Paulo","-46.618358","-23.646109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","651125","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys","skvortzovii","Merostachys skvortzovii","Send.","R. Vinícius-Silva","T. Sendulsky","1324","1973","12","23","South America","Brazil","São Paulo","10 km south of center of city of Sao Paulo, in grounds of the Instituto de Botânico, Parque do Estado",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608401' target='other'> <mi>dwc_moreinfo</mi></a>","NY00651125","NY00651125_01","Sao Paulo","-46.618358","-23.646109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","686107","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys","skvortzovii","Merostachys skvortzovii","Send.","R. Vinícius-Silva","L. B. Smith","15671","1971","12","05","South America","Brazil","Paraná","10 km south of Palmas",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=825373' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686107","NY00686107_01","Palmas","-51.9906","-26.4844",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","778436","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys","skvortzovii","Merostachys skvortzovii","Send.","R. Vinícius-Silva","L. B. Smith","15520","1971","11","30","South America","Brazil","Santa Catarina","Taquara Verde, 16 km west of Caçador",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794223' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778436","NY00778436_01","caçador","-51.0147","-26.7756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","778435","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys","skvortzovii","Merostachys skvortzovii","Send.","R. Vinícius-Silva","G. G. Hatschbach","28267","1971","12","05","South America","Brazil","Paraná","Estr. Palmas-Ponte Serrada",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794219' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778435","NY00778435_01","Palmas","-51.9906","-26.4844",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","778428","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys","skvortzovii","Merostachys skvortzovii","Send.","R. Vinícius-Silva","R. M. Klein","11011","1974","01","16","South America","Brazil","Santa Catarina","Lança, Pôrto Uniao","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794187' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778428","NY00778428_01","Porto Uniao","-51.0781","-26.2383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
