"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","minimumElevationInMeters","maximumElevationInMeters","imagecode","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","typeStatus","individualCount"
"1","2020-09-23 10:43:11-03","E","E","161257","PreservedSpecimen","Plantae","Rutaceae","Metrodorea","pubescens","Metrodorea pubescens","Ibáñez García, A. & Bridgewater, S.","1996","10","23","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:168663","<a href=http://data.rbge.org.uk/herb/E00161257 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","687458","PreservedSpecimen","Plantae","Rutaceae","Metrodorea","nigra","Metrodorea nigra","E. Forero","1980","09","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=875249' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687458","Magnoliophyta","Sapindales","A.St.-Hil.","J. R. Pirani","8382","São Paulo","Moji-Guaçu","Padua Sales. Fazenda Campininha.","600","600","NY00687458_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","382702","PreservedSpecimen","Plantae","Rutaceae","Metrodorea","nigra","Metrodorea nigra","G. G. Hatschbach","1999","08","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=562592' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382702","Magnoliophyta","Sapindales","A.St.-Hil.","G. G. Hatschbach","69278","Paraná","Paranavaí","Bosque da Cidade",NA,NA,"NY00382702_01","-52.4653","-23.0733",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03148565","PreservedSpecimen","Plantae","Rutaceae","Metrodorea","nigra","Metrodorea nigra","L. J. T. Cardoso","2012","11","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3394968' target='other'> <mi>dwc_moreinfo</mi></a>","NY03148565","Magnoliophyta","Sapindales","A.St.-Hil.",NA,"1695","Rio de Janeiro","Rio de Janeiro","Divisa entre os Bairros de Botafogo e Copacabana, cumeeira do Morro São João, vertente voltada para o Condomínio Morada do Sol. Coordenadas aproximadas do indivíduo (WGS84). Floresta de topo de morro, em nível sucessional médio-avançado, trecho de mata na","130","130","NY03148565_01","-43.18","-22.9588889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","632069","PreservedSpecimen","Plantae","Rutaceae","Metrodorea","nigra","Metrodorea nigra","C. A. G. Assunçao","1998","09","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=562573' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632069","Magnoliophyta","Sapindales","A.St.-Hil.","M. C. Dias",NA,"Paraná","Assaí","Fazenda Santana",NA,NA,"NY00632069_01","-50.8414","-23.3733",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","227777","PreservedSpecimen","Plantae","Rutaceae","Metrodorea","nigra","Metrodorea nigra","W. W. Thomas","1998","02","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=562586' target='other'> <mi>dwc_moreinfo</mi></a>","NY00227777","Magnoliophyta","Sapindales","A.St.-Hil.","J. A. Kallunki","11729","Bahia","Jussari","Serra do Teimoso, 7.5 km N of Jussari on road to Palmira, then 2 km W to Fazenda Teimoso, then 45 min. walk W to Reserva da Fazenda Teimoso.","300","450","NY00227777_01","-39.58","-15.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","382466","PreservedSpecimen","Plantae","Rutaceae","Metrodorea","nigra","Metrodorea nigra","W. W. Thomas","1995","05","10","South America","Brazil","sheet",NA,"Inflor. in ethanol. DNA sample. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=562585' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382466","Magnoliophyta","Sapindales","A.St.-Hil.","J. A. Kallunki","10851","Bahia","Jussari","Ca. 9 km north of Jussari, east off of road to Palmira on farm road past cattle fazenda of Alciato Carvalho.",NA,NA,"NY00382466_01","-39.5328","-15.1161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1145655","PreservedSpecimen","Plantae","Rutaceae","Metrodorea","nigra","Metrodorea nigra","F. França","2003","07","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320972' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145655","Magnoliophyta","Sapindales","A.St.-Hil.","J. R. Pirani","4778","Bahia",NA,"Ibiquera: C. 20 km L do entrocamento para Lençois na rodovia BR 242.","460","470","NY01145655_01","-41.1847","-12.5075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","382472","PreservedSpecimen","Plantae","Rutaceae","Metrodorea","nigra","Metrodorea nigra","G. G. Hatschbach","1969","05","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=562600' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382472","Magnoliophyta","Sapindales","A.St.-Hil.","R. C. Kaastra","21517","Paraná","Terra Boa","Fda. Murure, Rio Ivai.",NA,NA,"NY00382472_01","-52.4442","-23.7683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02641658","PreservedSpecimen","Plantae","Rutaceae","Metrodorea","nigra","Metrodorea nigra","P. Fiaschi","2012","01","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2914232' target='other'> <mi>dwc_moreinfo</mi></a>","NY02641658","Magnoliophyta","Sapindales","A.St.-Hil.",NA,"3804","Rio de Janeiro","Silva Jardim","Reserva Biológica de Poço das Antas. Rodovia SIlva Jadim-Casimiro de Abreu, ramal à direirta ca. 6,5 km antes da sede do parque. Estrada para a barragem Jurtunaíba, 5 km. Trilha da Pelonha. Floresta Ombrófila Densa (Mata Atlântica).","20",NA,"NY02641658_01","-42.3031","-22.5444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
