"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","phylum","order","scientificNameAuthorship","decimalLongitude","decimalLatitude","imagecode","infraspecificEpithet","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","eventTime","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:18-03","E","E","259387","PreservedSpecimen","Plantae","Lauraceae","Mezilaurus","itauba","Mezilaurus itauba","unspecified kind of","Spruce, Richard","646","E. Tropical South America","BR","Pará","Near Santarem","herbarium specimen of unspecif","BGBASE:269900","<a href=http://data.rbge.org.uk/herb/E00259387 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:18-03","E","E","259384","PreservedSpecimen","Plantae","Lauraceae","Mezilaurus","itauba","Mezilaurus itauba","isotype","Spruce, Richard","2961","W. Tropical South America","VE","Amazonas","Near San Carlo de Rio Negro","herbarium specimen of unspecif","BGBASE:269892","<a href=http://data.rbge.org.uk/herb/E00259384 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259384","1905","01","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:18-03","E","E","259386","PreservedSpecimen","Plantae","Lauraceae","Mezilaurus","itauba","Mezilaurus itauba","unspecified kind of","Spruce, Richard","643","E. Tropical South America","BR","Pará","Near Santarem","herbarium specimen of unspecif","BGBASE:269894","<a href=http://data.rbge.org.uk/herb/E00259386 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:18-03","E","E","259388","PreservedSpecimen","Plantae","Lauraceae","Mezilaurus","itauba","Mezilaurus itauba","unspecified kind of","Spruce, Richard","646","E. Tropical South America","BR","Pará","Near Santarem","herbarium specimen of unspecif","BGBASE:269901","<a href=http://data.rbge.org.uk/herb/E00259388 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:40:18-03","E","E","66321","PreservedSpecimen","Plantae","Lauraceae","Mezilaurus","itauba","Mezilaurus itauba",NA,"Jardim, A.","587","W. Tropical South America","BO",NA,NA,"herbarium specimen of unspecif","BGBASE:87056","<a href=http://data.rbge.org.uk/herb/E00066321 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00066321","1994","04","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:40:18-03","E","E","259385","PreservedSpecimen","Plantae","Lauraceae","Mezilaurus","itauba","Mezilaurus itauba","unspecified kind of","Spruce, Richard","643","E. Tropical South America","BR","Pará","Near Santarem","herbarium specimen of unspecif","BGBASE:269893","<a href=http://data.rbge.org.uk/herb/E00259385 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","354737","PreservedSpecimen","Plantae","Lauraceae","Acrodiclidium","anacardioides","Acrodiclidium anacardioides","isotype","R. Spruce","2961","South America","Venezuela",NA,"Prope San Carlos el Rio Negro.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672128' target='other'> <mi>dwc_moreinfo</mi></a>","NY00354737","1853","04",NA,"Magnoliophyta","Laurales","Meisn.","-67.0579264","1.9218151","NY00354737_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","354738","PreservedSpecimen","Plantae","Lauraceae","Acrodiclidium","anacardioides","Acrodiclidium anacardioides","isotype","R. Spruce","2961","South America","Brazil",NA,"Prope San Carlos el Rio Negro. Brasilia borealis.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672127' target='other'> <mi>dwc_moreinfo</mi></a>","NY00354738","1853","04",NA,"Magnoliophyta","Laurales","Meisn.","-67.0579264","1.9218151","NY00354738_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","354754","PreservedSpecimen","Plantae","Lauraceae","Acrodiclidium","itauba","Acrodiclidium itauba amarella","isotype","R. Spruce","646","South America","Brazil","Pará","In vicinibus Santarem.","sheet",NA,"(n. 646 in Hb. Mon. Petrop.) <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=130779' target='other'> <mi>dwc_moreinfo</mi></a>","NY00354754","1850","07",NA,"Magnoliophyta","Laurales","Meisn.","-54.740486","-2.449614","NY00354754_01","amarella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","354752","PreservedSpecimen","Plantae","Lauraceae","Acrodiclidium","itauba","Acrodiclidium itauba","isotype","R. Spruce","643","South America","Brazil","Pará","In vicinibus Santarem.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769544' target='other'> <mi>dwc_moreinfo</mi></a>","NY00354752","1850","04",NA,"Magnoliophyta","Laurales","Meisn.","-54.740486","-2.449614","NY00354752_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
