"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","685412","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.","R. Goldenberg","R. Goldenberg","736","2005","10","17","South America","Brazil","Paraná","Tunas do Paraná","Estrada Tunas - Parque das Lauráceas","-49.0856","-24.9744","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=894806' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685412","NY00685412_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-01-28 13:11:24-03","MCN-PUC-MINAS","HPUC-MG","ANG3640","S","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea",NA,"F.S. Souza",NA,NA,"2010",NA,NA,NA,"Brasil","Minas Gerais",NA,"Serra do Gandarela - Município de Santa Bárbara",NA,NA,NA,"Florística e Fitossociologia para ampliação de mina de dolomito calcário. Doação Bioma.",NA,NA,"2012","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:44:30-03","EAO","IAN","6504","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","(Mart.) DC.",NA,"Martins-da-Silva, RCV","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN006504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:44:30-03","EAO","IAN","105448","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","(Mart.) DC.",NA,"Magalhães, MG","2800","1943","02","06","Southern America","Brasil","Minas Gerais","Santa Bárbara","Na capoeira (mata secundária).","-43.4152984619141","-19.959400177002",NA,NA,"IAN105448",NA,NA,NA,"33136","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:13:36-03","ESALQ","ESA","128454","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea",NA,NA,"Cabral, F.N.","895.0","2013","03","30",NA,"Brasil","São Paulo","Tapiraí","Trilha do Chagas, UHE da Fumaça, Floresta Ombrófila Densa, à margem esquerda do Rio Juquiá.","-47.35173","-24.03059",NA,"Árvore com fruto.","ESA128454",NA,NA,NA,NA,NA,"-47.35173","-24.03059",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:13:36-03","ESALQ","ESA","129022","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea",NA,"Colletta, G.D. et al.","Colletta, G.D.","1438.0","2014","04","16",NA,"Brasil","São Paulo","Tapiraí","Reserva CBA, Represa","-47.5","-23.9599990844727",NA,"Árvore, 6m, frutos imaturos esverdeados","ESA129022",NA,"2014",NA,"41034","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:13:36-03","ESALQ","ESA","123734","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea",NA,"Ivanauskas, N.M.","Colletta, G.D. ; Ferreira, M.A.P.","1122.0","2013","05","01",NA,"Brasil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA), UHE Fumaça, trilha do Chagas.","-47.5","-23.9599990844727",NA,"Árvore, 25m, face abaxial das folhas arroxeadas","ESA123734",NA,"2013","05","41034","auto",NA,NA,"01",NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:31:40-03","MN","R","9649","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","Mart. Ex DC.",NA,"Glaziou, A.F.M.; Netto, L.S.M. & Schwacke, C.A.W.","1578","1879","02","26",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000009649","R000009649_001 R000009649_002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:18:22-03","UFV","VIC","15719","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.",NA,NA,"51","1995","05","16",NA,"Brasil","Minas Gerais","Rio Vermelho",NA,"-43.0092010498047","-18.2936000823975",NA,"Ensaio produção sustentada em floresta secundária de transição- Vloco C - tratamento 1 - árvore nº 51.","VIC015719","VIC015719",NA,NA,"26996","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-20 21:18:22-03","UFV","VIC","11016","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.",NA,"Silva, A.F.; L.Capellari Jr","s.n.","1986","01","12",NA,"Brasil","São Paulo","São José dos Campos","Flora da Reserva Florestal da Boa Vista","-45.9375","-23.075",NA,"Árvore de 10m, folhas bicolores sendo verde na face ventral e ferrugineas na dorsal súber com grandes rugas verticais, casca fina castanha, lenho creme-amarelado, seiva incolor abundante, flores brancas mal cheirosas, frutos verdes.","VIC011016","VIC011016",NA,NA,NA,NA,"-45.9375","-23.075",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-12-20 21:18:22-03","UFV","VIC","4884","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.",NA,"Kulhmann.;","s.n.","1936","01","20",NA,"Brasil","Minas Gerais","Viçosa","Fazenda Da Maria Lopes","-42.8819007873535","-20.7539005279541",NA,NA,"VIC004884","VIC004884",NA,NA,"13937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-20 21:18:22-03","UFV","VIC","2474","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.",NA,"Kulhmann.;","s.n.","1935","12",NA,NA,"Brasil","Minas Gerais","Viçosa","Fazenda Paraíso","-42.8819007873535","-20.7539005279541",NA,NA,"VIC002474","VIC002474",NA,NA,"13937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
