"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","minimumElevationInMeters","preparationType","occurrenceRemarks","infraspecificEpithet","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","yearIdentified","class","monthIdentified","dayIdentified","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-04-05 14:25:31-03","UNESC","CRI","1537","PreservedSpecimen","Plantae","Melastomataceae","Miconia","chartacea","Miconia chartacea","Triana","Maria Leonor del Rei Souza","R. Negrelle; C. Londero","1992","11","06","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","CRI004379","CRI004379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1654183","PreservedSpecimen","Plantae","Melastomataceae","Miconia","chartacea","Miconia chartacea","Triana","M. K. Caddah","M. K. Caddah","2011","02","08","Brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia. Começo da trilha Indaiá-açu.","-40.53728","-19.97018",NA,NA,"NY01654183","NY01654183_01","Magnoliophyta","Myrtales","851","South America","710","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568342' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","521344","PreservedSpecimen","Plantae","Melastomataceae","Miconia","chartacea","Miconia chartacea angustifolia","Cogn.",NA,"A. F. M. Glaziou","1887","08","01","Brazil","Rio de Janeiro","Nova Friburgo","Nova Friburgo","-42.5308","-22.2819",NA,NA,"NY00521344","NY00521344_01","Magnoliophyta","Myrtales","s.n.","South America",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=312714' target='other'> <mi>dwc_moreinfo</mi></a>","angustifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1015404","PreservedSpecimen","Plantae","Melastomataceae","Miconia","chartacea","Miconia chartacea","Triana",NA,"R. Goldenberg","2007","07","13","Brazil","Espírito Santo","Santa Teresa","Nova Lombardia, Terreno do Furlani, Terreno do Furlani.","-40.5383","-19.8053",NA,NA,"NY01015404","NY01015404_01","Magnoliophyta","Myrtales","893","South America","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1105570' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1519477","PreservedSpecimen","Plantae","Melastomataceae","Miconia","chartacea","Miconia chartacea","Triana","R. Goldenberg","R. A. X. Borges","2007","01","23","Brazil","Bahia","Camacan","RPPN Serra Bonita. 9,7 km de Camacã na estrada para Jacarecí. Daí 6 km SW na estrada para a RPPN e torre da Embratel.","-39.5653","-15.3917",NA,NA,"NY01519477","NY01519477_01","Magnoliophyta","Myrtales","692","South America","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1744734' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00916986","PreservedSpecimen","Plantae","Melastomataceae","Miconia","chartacea","Miconia chartacea miqueliana","Cogn.","J. J. Wurdack","H. S. Irwin","1968","02","20","Brazil","Minas Gerais",NA,"Serra do Cipó, km. 118 (ca. 153 km N. of Belo Horizonte).","-43.548872","-19.278562",NA,NA,"NY00916986","NY00916986_01","Magnoliophyta","Myrtales","20597","South America","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989496' target='other'> <mi>dwc_moreinfo</mi></a>","miqueliana","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","229092","PreservedSpecimen","Plantae","Melastomataceae","Miconia","chartacea","Miconia chartacea angustifolia","Cogn.",NA,"A. F. M. Glaziou",NA,NA,NA,"Brazil",NA,NA,"Locality fide Cogn. is Prov. Rio de Janeiro",NA,NA,NA,NA,"NY00229092","NY00229092_01","Magnoliophyta","Myrtales","16880","South America",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=312712' target='other'> <mi>dwc_moreinfo</mi></a>","angustifolia",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00916981","PreservedSpecimen","Plantae","Melastomataceae","Miconia","chartacea","Miconia chartacea","Triana",NA,"A. F. M. Glaziou","1888","07",NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"NY00916981","NY00916981_01","Magnoliophyta","Myrtales","16886","South America",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989481' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","521340","PreservedSpecimen","Plantae","Melastomataceae","Miconia","chartacea","Miconia chartacea","Triana","J. J. Wurdack","R. M. Harley","1980","05","25","Brazil","Bahia","Palmeiras","Serras dos Lençois, Serra da Larguinha, ca. 2 km NE of Caeté-Açu (Capao Grande). E6","-41.48","-12.6",NA,NA,"NY00521340","NY00521340_01","Magnoliophyta","Myrtales","22623","South America","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=436351' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","521348","PreservedSpecimen","Plantae","Melastomataceae","Miconia","chartacea","Miconia chartacea miqueliana","Cogn.","J. J. Wurdack","R. M. Harley","1980","05","22","Brazil","Bahia","Lençóis","Serras dos Lençois. Serra do Brejao ca. 14 km NW of Lençois. E6","-41.45","-12.45",NA,NA,"NY00521348","NY00521348_01","Magnoliophyta","Myrtales","22360","South America","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=703828' target='other'> <mi>dwc_moreinfo</mi></a>","miqueliana","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
