"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","typeStatus","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:31-03","UNESC","CRI","14940","PreservedSpecimen","Plantae","Melastomataceae","Miconia","inconspicua","Miconia inconspicua","Miq.","Oliveira, AA de","2010","04","28","Verdi, M.; Souza, N.L. de & Klemz, G.","4121","2010","03","30","Brasil","Santa Catarina","Orleans","Barracão. Barracão.","-49.319167","-28.260833","49º19'9''W","28º15'39''S","314","314","Florística IFFSC 119 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: arbusto;","CRI014367","CRI014367",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","521734","PreservedSpecimen","Plantae","Melastomataceae","Miconia","inconspicua","Miconia inconspicua","Miq.","J. J. Wurdack",NA,NA,NA,"R. Reitz","5213","1957","10","18","Brazil","Santa Catarina","Campo Alegre","Morro do Iquererim, Campo Alegre","-49.2656","-26.1925",NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433474' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521734","NY00521734_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","521741","PreservedSpecimen","Plantae","Melastomataceae","Miconia","inconspicua","Miconia inconspicua glabrata","Wurdack","J. J. Wurdack",NA,NA,NA,"R. Reitz","4799","1957","09","05","Brazil","Santa Catarina","Campo Alegre","Morro do Iquererim, Campo Alegre","-49.2656","-26.1925",NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606975' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521741","NY00521741_01","Magnoliophyta","Myrtales","South America","sheet","glabrata",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","685431","PreservedSpecimen","Plantae","Melastomataceae","Miconia","inconspicua","Miconia inconspicua","Miq.","R. Goldenberg",NA,NA,NA,"R. Goldenberg","716","2005","10","17","Brazil","Paraná","Bocaiúva do Sul","Margem do Rio Capivari","-49.115","-25.2061",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=894855' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685431","NY00685431_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","521737","PreservedSpecimen","Plantae","Melastomataceae","Miconia","inconspicua","Miconia inconspicua","Miq.","R. Goldenberg",NA,NA,NA,"F. C. Hoehne","28269","1931","09","22","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433471' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521737","NY00521737_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01318323","PreservedSpecimen","Plantae","Melastomataceae","Miconia","inconspicua","Miconia inconspicua","Miq.","M. K. Caddah",NA,NA,NA,"M. Reginato","735","2006","12","12","Brazil","Paraná","Tunas do Paraná","Parque Estadual das Lauráceas.","-48.6970711","-24.9429505",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1730995' target='other'> <mi>dwc_moreinfo</mi></a>","NY01318323","NY01318323_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01462495","PreservedSpecimen","Plantae","Melastomataceae","Miconia","inconspicua","Miconia inconspicua","Miq.","M. K. Caddah",NA,NA,NA,"M. K. Caddah","464","2009","05","13","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, trilha para Três Picos","-44.5631","-22.4961",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305546' target='other'> <mi>dwc_moreinfo</mi></a>","NY01462495","NY01462495_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","521735","PreservedSpecimen","Plantae","Melastomataceae","Miconia","inconspicua","Miconia inconspicua","Miq.","R. Goldenberg",NA,NA,NA,"H. de F. Leitão Filho","1042","1970","09","15","Brazil","São Paulo","Ubatuba","Sao Luiz - Ubatuba, km 220","-45.0697","-23.4303",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433469' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521735","NY00521735_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","521738","PreservedSpecimen","Plantae","Melastomataceae","Miconia","inconspicua","Miconia inconspicua","Miq.","R. Goldenberg",NA,NA,NA,"F. C. Hoehne","28269","1931","09","22","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433472' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521738","NY00521738_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","778132","PreservedSpecimen","Plantae","Melastomataceae","Miconia","inconspicua","Miconia inconspicua","Miq.","R. Goldenberg",NA,NA,NA,"T. Sendulsky","855","1968","10","29","Brazil","São Paulo","Sao Paulo","Jardim Botânico e Parque do Estado","-46.621883","-23.654505",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433468' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778132","NY00778132_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
