"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","previousCatalogNumber"
"1","2021-04-05 14:25:31-03","UNESC","CRI","9721","PreservedSpecimen","Plantae","Melastomataceae","Miconia","latecrenata","Miconia latecrenata","(DC.) Naudin","A. A. de Oliveira","2010","10","18","M. Verdi; N.L. de Souza, G. Klemz & D.H. Klettenberg","4961","2010","06","10","Brasil","Santa Catarina","Paulo Lopes","Sertão do Campo/Paruqe Estadual da Serra do Tabuleiro.","-48.755833","-27.893333","48º45'21''W","27º53'36''S","295","295","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbusto","CRI004403","CRI004403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:41-03","UNESC","CRI","4938","PreservedSpecimen","Plantae","Melastomataceae","Miconia","latecrenata","Miconia latecrenata","(DC.) Naudin","Maria Leonor de Souza D#?#el Rey","1996","10","08","V. Citadini-Zanette; V. Boff & A. Gozçe.","2163","1996","09","20","Brasil","Santa Catarina","Urussanga","Santana.","-49.321111","-28.518333","49º19'16''W","28º31'6''S","48","48",NA,"CRI004399","CRI004399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:31-03","UNESC","CRI","11399","PreservedSpecimen","Plantae","Melastomataceae","Miconia","latecrenata","Miconia latecrenata","(DC.) Naudin","A. A. de Oliveira","2010","08","25","M. Verdi; B. Burkhardt & G. Klemz","5148","2010","07","02","Brasil","Santa Catarina","São Bonifácio","Rio Poncho.","-48.869722","-27.99","48º52'11''W","27º59'24''S","623","623","Floresta Ombrófila Densa Habito: arbustiva","CRI004404","CRI004404",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:41-03","UNESC","CRI","4932","PreservedSpecimen","Plantae","Melastomataceae","Miconia","latecrenata","Miconia latecrenata","(DC.) Naudin","Maria Leonor de Souza D#?#el Rey","1996","10","08","Vanilde Citadini Zanette; Valdemar P. Boff","2157","1996","09","11","Brasil","Santa Catarina","Siderópolis","Barranca do Rio Fiorita.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","Habito: arbustiva","CRI004397","CRI004397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:31-03","UNESC","CRI","14243","PreservedSpecimen","Plantae","Melastomataceae","Miconia","latecrenata","Miconia latecrenata","(DC.) Naudin","Oliveira, AA de","2010","05","27","Verdi, M.; Souza, N.L. de; Klemz, G. & Klettenberg, D.H.","4552","2010","04","30","Brasil","Santa Catarina","Paulo Lopes","Laranjal. Laranjal.","-48.78","-28.08","48º46'48''W","28º4'48''S","126","126","Florística IFFSC 174 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Médio; entorno do fragmento Habito: arbusto;","CRI013339","CRI013339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:31-03","UNESC","CRI","5216","PreservedSpecimen","Plantae","Melastomataceae","Miconia","latecrenata","Miconia latecrenata","(DC.) Naudin",NA,NA,NA,NA,"V. C. Zanette","2367","1996","09","11","Brasil","Santa Catarina","Siderópolis","Alto Rio Fiorita-SC.","-49.425278","-28.598889","49º25'31''W","28º35'56''S",NA,NA,NA,"CRI004396","CRI004396",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:31-03","UNESC","CRI","9613","PreservedSpecimen","Plantae","Melastomataceae","Miconia","latecrenata","Miconia latecrenata","(DC.) Naudin","A. A. de Oliveira","2010","10","14","A. Stival-Santos; D. Meyer & S. Silveira","3039","2010","07","11","Brasil",NA,"Brasil","Guarda do Cubatão.","-48.69","-27.72","48º41'24''W","27º43'12''S","108","108","Floresta Ombrófila Densa Habitat: entorno do fragmento, beira de estrada Habito: arbusto","CRI004400","CRI004400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:31-03","UNESC","CRI","12355","PreservedSpecimen","Plantae","Melastomataceae","Miconia","latecrenata","Miconia latecrenata","(DC.) Naudin","Renato Colares","2017","06","08","Alexandre Medeiros",NA,"2014","04","26","Brasil","Santa Catarina","Balneário Camboriú","Barra.","-48.595556","-27.006111","48º35'44''W","27º0'22''S",NA,NA,NA,"CRI010562","CRI010562",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-08 15:16:32-03","UNESC","CRI","14244","PreservedSpecimen","Plantae","Melastomataceae","Miconia","latecrenata","Miconia latecrenata","(DC.) Naudin","Meyer, FS","2010","03","12","Verdi, M.; Klemz, G. & Torres, J.F.","1523","2009","08","13","Brasil","Santa Catarina","São Martinho","Hoepers/Vargem do Cedro. Hoepers/Vargem do Cedro.","-48.876111","-28.097778","48º52'34''W","28º5'52''S","547","547","Coleta Extra IFFSC (Arbusto) Habitat: Floresta Ombrófila Densa; interior do fragmento Habito: arbustiva; Fruto verde avermelhado;","CRI013338","CRI013338",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:41-03","UNESC","CRI","12370","PreservedSpecimen","Plantae","Melastomataceae","Miconia","latecrenata","Miconia latecrenata","(DC.) Naudin","Aline Votri Guislon & Peterson T. Padilha","2017","06","08","Alexandre Medeiros",NA,"2017","04","25","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.637778","-27.001389","48º38'16''W","27º0'5''S",NA,NA,"Coleta 219.","CRI010577","CRI010577",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
