"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","individualCount","fieldNumber","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","800760","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","pinnatiloba","Mikania pinnatiloba","DC.","G. G. Hatschbach","G. G. Hatschbach","26447","1971","02","21","South America","Brazil","Paraná","Marmeleiro","Estr. Marmeleiro-Campo Ere","-53.0258","-26.1494","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=657313' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800760","NY00800760_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","800762","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","pinnatiloba","Mikania pinnatiloba","DC.","W. C. Holmes","T. S. Ibarrola","2575","1945","03","03","South America","Argentina","Corrientes","Curuzú Cuatiá","Curuzú Cuatia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=657315' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800762",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","800761","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","pinnatiloba","Mikania pinnatiloba","DC.","Á. L. Cabrera","L. B. Smith","11462","1957","02","19","South America","Brazil","Santa Catarina","Xanxerê","8 km south of Abelardo Luz","-52.4042","-26.8769","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=657314' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800761","NY00800761_01","500","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:19:03-03","UFRJ","RFA","10885","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","pinnatiloba","Mikania pinnatiloba","DC.","G.G. Hatschbach","G.G. Hatschbach","26443","1971","02","21",NA,"Brasil","Paraná","Marmeleiro","Estrada Marmeleiro - campo ere","-53.0261001586914","-26.1494007110596",NA,"Ereta, capítulos creme","RFA10839",NA,NA,NA,"27396","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:29:18-03","UFRJ","RFA","12396","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","pinnatiloba","Mikania pinnatiloba","DC.",NA,NA,NA,NA,NA,NA,NA,"Brasil","Paraná","Marmeleiro","Estrada Marmeleiro - Campo Ere","-53.0261001586914","-26.1494007110596",NA,"Ereta, capítulos cremes","RFA11600",NA,NA,NA,"27396","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:50:36-03","NBC","NL-BOTANY","L.3657542","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Mikania","pinnatiloba","Mikania pinnatiloba","DC.",NA,"Smith LB; Klein RM",NA,"1957","02","19","Southern America","Brazil","Santa Catarina",NA,NA,"-53.733333","-26.533333",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3657542 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3657542","NL-L3657542",NA,NA,NA,NA,"Magnoliopsidae","-53.733333","-26.533333","L 0276639",NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:50:36-03","NBC","NL-BOTANY","L.3657543","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Mikania","pinnatiloba","Mikania pinnatiloba","DC.",NA,"Pedersen TM",NA,"1977","01","22","Southern America","Uruguay",NA,NA,"Estanica ''Cerros de San Juan'', Dep. Colonia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3657543 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3657543","NL-L3657543",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-02-02 14:37:57-02","BGBM","B","B 10 0002107","S","Plantae",NA,NA,"Compositae","Mikania","pinnatiloba","Mikania pinnatiloba",NA,NA,"Rambo","50032",NA,NA,NA,"Middle and South America","Brazil",NA,NA,"RGS.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100002107 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100002107","B100002107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:27:41-03","IAP","PACA-AGP","54262","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Mikania","pinnatiloba","Mikania pinnatiloba","DC.","Emrich-Rambo","Rambo, B.",NA,"1946","01","01",NA,"Brasil","RS","Caxias do Sul","Vila Oliva","-51.1794013977051","-29.1681003570557",NA,"VULNERÁVEL Habitat: in campestribus saxosis Fenofase: flor","PACA054262",NA,NA,NA,"49662","auto","Magnoliatae",NA,NA,NA,"1954","07","05",NA,NA,NA
"10","2019-08-27 13:27:41-03","IAP","PACA-AGP","86035","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Mikania","pinnatiloba","Mikania pinnatiloba","DC.","R.A. Wasum","R.A. Wasum","461","2000","02","27",NA,"Brasil","RS","São Francisco de Paula","RS-235","-50.5835990905762","-29.4480991363525",NA,"VULNERÁVEL&nf;HUCS 16609 Habitat: na orla do campo","PACA086035",NA,"830","830","76715","auto","Magnoliatae",NA,NA,NA,NA,NA,NA,NA,NA,NA
