"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","relatedCatalogItem"
"1","2020-09-23 10:40:47-03","E","E","82978","PreservedSpecimen","Plantae","Leguminosae","Mimosa","hatschbachii","Mimosa hatschbachii","Hatschbach, G., Silva, J.M. & Deodata","65307","1996","09","18","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:91389","<a href=http://data.rbge.org.uk/herb/E00082978 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00082978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","442471","PreservedSpecimen","Plantae","Fabaceae","Mimosa","hatschbachii","Mimosa hatschbachii","J. M. Silva","2164","1997","10","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=656909' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442471","Magnoliophyta","Fabales","Barneby","R. C. Barneby","Paraná","Cantagalo","Rod. BR-277, descida para o Rio Cavernoso","-52.1264","-25.3744","NY00442471_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2844","PreservedSpecimen","Plantae","Fabaceae","Mimosa","hatschbachii","Mimosa hatschbachii","G. G. Hatschbach","43241","1980","10","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=656910' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002844","Magnoliophyta","Fabales","Barneby",NA,"Paraná","Guarapuava","Rio Campo Real","-51.4581","-25.3956","NY00002844_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","442473","PreservedSpecimen","Plantae","Fabaceae","Mimosa","hatschbachii","Mimosa hatschbachii","R. Reitz","17810","1965","12","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=656907' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442473","Magnoliophyta","Fabales","Barneby","R. C. Barneby","Paraná","Guarapuava","Fazenda Capao Redondo","-51.4581","-25.3956","NY00442473_01",NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","442472","PreservedSpecimen","Plantae","Fabaceae","Mimosa","hatschbachii","Mimosa hatschbachii","G. G. Hatschbach","21031","1969","02","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=656911' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442472","Magnoliophyta","Fabales","Barneby","R. C. Barneby","Paraná","Guarapuava","Canta Galo","-52.1225","-25.37603","NY00442472_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","442470","PreservedSpecimen","Plantae","Fabaceae","Mimosa","hatschbachii","Mimosa hatschbachii","G. G. Hatschbach","49814","1985","08","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=656908' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442470","Magnoliophyta","Fabales","Barneby","R. C. Barneby","Paraná","Guarapuava","Canta Galo, arredores","-52.1225","-25.37603","NY00442470_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:16:35-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Fabaceae","Mimosa","hatschbachii","Mimosa hatschbachii","Hatschbach, G; Silva, JM; Deodato, F","62307","1996","09","18","Southern America","Brasil",NA,NA,"ascendente, touceiras compactas, ramosas. Flor rosada. Lajedos rochosos.",NA,"Dicotyledon",NA,"Barneby","Hatschbach, G","Paraná","Guarapuava","Colônia São Judas Tadeu","-51.4580993652344","-25.395299911499",NA,NA,NA,NA,"1996","53832","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:16:35-03","UFBA","ALCB","112031","PreservedSpecimen","Plantae","Fabaceae","Mimosa","hatschbachii","Mimosa hatschbachii","Barbosa, E; Cunha, EM","1762","2006","10","26","Southern America","Brasil",NA,NA,"Flor lilás.; Lajeado.","ALCB023798","Dicotyledon",NA,"Barneby","Ribas, OS","Paraná","Guarapuava","Rodovia Guarapauva- Lagoa Seca, Km 382","-51.4580993652344","-25.395299911499","ALCB023798",NA,NA,NA,"2007","53832","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:16:35-03","UFBA","ALCB","88118","PreservedSpecimen","Plantae","Fabaceae","Mimosa","hatschbachii","Mimosa hatschbachii","Barbosa, E; Cunha, EM","1753","2006","10","26","Southern America","Brasil",NA,NA,"Prostrada, flor rosada. Lajeado.","ALCB023799","Dicotyledon",NA,"Barneby","Ribas, OS","Paraná","Candói","Lagoa Seca","-52.0558013916016","-25.5722007751465","ALCB023799",NA,NA,NA,NA,"42664","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:16:35-03","UFBA","ALCB","032179","PreservedSpecimen","Plantae","Fabaceae","Mimosa","hatschbachii","Mimosa hatschbachii","Hatschbach, G; Silva, JM; Deodato, F","65307","1996","09","18","Southern America","Brasil",NA,NA,"Ascendente. Touceiras compactas, ramosas. Flor rosada.","ALCB023766","Dicotyledon",NA,"Barneby","Hatschbach, G","Paraná","Guarapuava","Colônia São Judas tadeu.","-51.4580993652344","-25.395299911499","ALCB023766",NA,NA,NA,"1996","53832","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-10-09 11:16:35-03","UFBA","ALCB","034098","PreservedSpecimen","Plantae","Fabaceae","Mimosa","hatschbachii","Mimosa hatschbachii","Barbosa, E; Hatschbach, G; Ribas, OS","108","1998","01","22","Southern America","Brasil",NA,NA,"prostrado. Flor rosada. Dos lajedos rochosos.","ALCB023767","Dicotyledon",NA,"Barneby","Hatschbach, G","Paraná","Guarapuava","Colônia São Judas Tadeu","-51.4580993652344","-25.395299911499","ALCB023767",NA,NA,NA,"1998","53832","auto",NA,NA,NA,NA,NA,NA,NA,NA
