"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","typeStatus","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","dayIdentified","previousCatalogNumber","minimumDepthInMeters","maximumDepthInMeters","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","443160","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","sanguinolenta","Mimosa sanguinolenta","Barneby","R. C. Barneby","F. Sellow","s.n.","South America","Brazil","{From protologue: Ad Serra da Piedade]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112540' target='other'> <mi>dwc_moreinfo</mi></a>","NY00443160","NY00443160_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","443164","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","sanguinolenta","Mimosa sanguinolenta","Barneby","R. C. Barneby","A. Sehnem","14606","South America","Brazil","Faz. Passo da Chacara - St. Ana Boa Vista","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112541' target='other'> <mi>dwc_moreinfo</mi></a>","NY00443164",NA,"1975","03","29","Rio Grande do Sul","Santana da Boa Vista","-53.1153","-30.8719",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","443168","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","sanguinolenta","Mimosa sanguinolenta","Barneby","R. C. Barneby","O. dos S. Ribas","1274","South America","Brazil","Rod. BR-470, km 254","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112532' target='other'> <mi>dwc_moreinfo</mi></a>","NY00443168","NY00443168_01","1996","11","11","Santa Catarina","Campos Novos","-51.2247","-27.4019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","443161","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","sanguinolenta","Mimosa sanguinolenta","Barneby","R. C. Barneby","J. E. Leite",NA,"South America","Brazil","Porto Alegre, Vila Manresa","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112535' target='other'> <mi>dwc_moreinfo</mi></a>","NY00443161","NY00443161_01","1942","01",NA,"Rio Grande do Sul","Porto Alegre","-51.23","-30.0331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3029","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","sanguinolenta","Mimosa sanguinolenta","Barneby",NA,"L. B. Smith","10060","South America","Brazil","Morro Pinheiro Seco, 3 km E of Lajes.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112542' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003029","NY00003029_01","1957","01","15","Santa Catarina","Lages","-50.3258","-27.8161","holotype","900","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","443156","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","sanguinolenta","Mimosa sanguinolenta","Barneby","R. C. Barneby","M. Sobral","2497","South America","Brazil","Proc. Durasnal","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112536' target='other'> <mi>dwc_moreinfo</mi></a>","NY00443156","NY00443156_01","1983","10",NA,"Rio Grande do Sul","Cachoeira do Sul","-52.8939","-30.0394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01347017","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","sanguinolenta","Mimosa sanguinolenta","Barneby","J. Santos Silva","M. Dematteis","1781","South America","Uruguay","10 km NW de Tacuarembó, camino a Gruta de los Helechos","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1670123' target='other'> <mi>dwc_moreinfo</mi></a>","NY01347017","NY01347017_01","2005","02","22","Tacuarembó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","443162","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","sanguinolenta","Mimosa sanguinolenta","Barneby","R. C. Barneby","B. Rambo","34543","South America","Brazil","Fazenda B. Velho","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112539' target='other'> <mi>dwc_moreinfo</mi></a>","NY00443162",NA,"1947","01","10","Rio Grande do Sul","Bom Jesus","-50.388347","-28.558459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","443165","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","sanguinolenta","Mimosa sanguinolenta","Barneby","R. C. Barneby","M. Sobral","5202","South America","Brazil","Cerro Pelado","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112537' target='other'> <mi>dwc_moreinfo</mi></a>","NY00443165",NA,"1986","11",NA,"Rio Grande do Sul","Taquari","-51.8642","-29.7997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","443159","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","sanguinolenta","Mimosa sanguinolenta","Barneby","R. C. Barneby","G. G. Hatschbach","20622","South America","Brazil","Km 127","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00443159","NY00443159_01","1968","12","10","Paraná","Laranjeiras do Sul","-52.4158","-25.4081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
