"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","relatedCatalogItem","previousCatalogNumber","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","3065","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Buckart","isotype","P. K. H. Dusén","15157","1914","07","10","South America","Brazil","Paraná","Puerto Amazonas, ad ripam flum. Rio Iguassú","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=748111' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003065","NY00003065_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1016799","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Buckart",NA,"O. dos S. Ribas","3600","2001","05","12","South America","Brazil","Paraná","Rio Iguaçu.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193177' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016799","NY01016799_01","O. dos S. Ribas","Porto Amazonas","-49.8903","-25.5447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-24 17:10:42-03","UTFPR","DVPR","3774","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"Ribas, OS; et al.","3600","2001","06","12",NA,"Brasil","Paraná","Rio Iguaçu. Locco classico; 1° coleta após o typus (1914).",NA,"Arbusto, até 3 m, flor lilás-rosada, folhas untuosas ao tacto; Solo arenoso, junto a afloramento de arenito das margens do rio.","DVPR003774",NA,"Ribas, OS","Porto Amazonas","-49.8903007507324","-25.5447006225586","2001","14684","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:25:14-03","PUCPR","HUCP","13712","S","Plantae","Eudicotiledonea",NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart.",NA,"Silva, JM","3418","2001","09","04",NA,"Brasil","Paraná","Rio Iguaçu",NA,NA,"HUCP00014917","HUCP00014917","Ribas, OS","Lapa","-49.7158012390137","-25.7696990966797",NA,"49965","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-26 18:08:22-03","CPAN-UFMS","COR","12436","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"O.S.Ribas; J.M.Silva; J.Takeda","3600","2001","06","12",NA,"Brasil","Paraná","Rio Iguaçu. arenoso junto a afloramentos de arenito das margensdo rio Locco clássico, 1ª coleta após o typus (1914);.",NA,"folhas untuosas ao tacto ; Com Flor: lilás - rosada",NA,NA,"O.S. Ribas","Porto Amazonas","-49.8903007507324","-25.5447006225586",NA,"14684","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:16:40-03","UFBA","ALCB","90015","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"Ribas, OS","8206","2008","10","25","Southern America","Brasil","Paraná","Rio Iguaçu",NA,"ca 3m. Flor rosada. Fruto imaturo; Margem do rio.","ALCB024091","ALCB024091","Ribas, OS","Porto Amazonas","-49.8903007507324","-25.5447006225586",NA,"14684","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:16:40-03","UFBA","ALCB","60010","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"Ribas, OS; Silva, JM; Takeda, J","3600","2001","06","12","Southern America","Brasil","Paraná","Rio Iguaçu",NA,"até 3 m. Flo lilás-rosada. Folhas untuosas ao tacto.; solo arenoso, junto a afloramentos de arenito das margens do rio. Locco classico. 1a coleta após o typus (1914).","ALCB024154","ALCB024154","Ribas, OS","Porto Amazonas","-49.8903007507324","-25.5447006225586","2001","14684","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:10:11-03","ESALQ","ESA","83253","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"Ribas, O.S. et al.","3600.0","2001","06","12",NA,"Brasil","Paraná",NA,NA,NA,"ESA083253","ESA083253",NA,"Porto Amazonas","-49.8903007507324","-25.5447006225586",NA,"14684","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:10:11-03","ESALQ","ESA","76425","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora",NA,NA,"Ribas, O.S. et al.","3600.0","2001","06","12",NA,"Brasil","Paraná",NA,NA,NA,"ESA076425","ESA076425",NA,"Porto Amazonas","-49.8903007507324","-25.5447006225586",NA,"14684","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:10:11-03","ESALQ","ESA","80868","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","strobiliflora","Mimosa strobiliflora","Burkart",NA,"Silva, J.M. et al.","3418.0","2001","09","04",NA,"Brasil","Paraná",NA,NA,NA,"ESA080868","ESA080868",NA,"Lapa","-49.7158012390137","-25.7696990966797",NA,"49965","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
