"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:40:48-03","E","E","57750","PreservedSpecimen","Plantae","Leguminosae","Mimosa","xanthocentra","Mimosa xanthocentra","Dubs, Balthasar","1814","1995","02","01","E. Tropical South America","BR","Mato Grosso","MT-020 between Buriti and Agua Fria, mun. Chapada dos Guimaraes.","-55.783333","-15.383333","-55.783333","-15.383333","herbarium specimen of unspecif","BGBASE:65948","<a href=http://data.rbge.org.uk/herb/E00057750 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00057750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","330613","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra xanthocentra","M. H. Nee","50062","1998","07","11","South America","Bolivia","Santa Cruz","Along highway from Comarapa to Samaipata, 6 km (by road) SE of Abra de Quiñe, 13 km (by road) NW of Mataral.","-64.3","-18.12",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485087' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330613","Magnoliophyta","Fabales","xanthocentra","Mart.","M. H. Nee","Manuel María Caballero","1675","1675","NY00330613_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 19:30:00-03","NY","NYBG","01452032","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra xanthocentra","J. B. Correa","55","1941","02","17","South America","Argentina","Salta","Dep. Capital. Cerro San Bernardo",NA,NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1682390' target='other'> <mi>dwc_moreinfo</mi></a>","NY01452032","Magnoliophyta","Fabales","xanthocentra","Mart.","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00935901","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","R. C. de Mendonça","3354","1997","12","04","South America","Brazil","Minas Gerais","Parque Nacional Grande Sertao Veredas; próximo à entrada que dá acesso ao alojamento da Funatura; ca. de 500 m da vereda na nascente do Rio Preto e 3 km do alojamento","-45.9186","-15.4097",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015588' target='other'> <mi>dwc_moreinfo</mi></a>","NY00935901","Magnoliophyta","Fabales","subsericea","(Benth.) Barneby","R. C. Barneby","Formoso","830","830","NY00935901_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01452101","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra mansii","J. J. Strudwick","4030","1981","08","04","South America","Brazil","Pará","Sete Varas airstrip on Rio Curua.","-55.1657197","-0.2209974",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1682988' target='other'> <mi>dwc_moreinfo</mi></a>","NY01452101","Magnoliophyta","Fabales","mansii","(Mart.) Barneby","R. C. Barneby",NA,NA,NA,"NY01452101_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00935871","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","G. G. Hatschbach","60238","1994","02","09","South America","Brazil","Goiás","estrada para Vaozinho","-47.5244","-14.7058",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015537' target='other'> <mi>dwc_moreinfo</mi></a>","NY00935871","Magnoliophyta","Fabales","subsericea","(Benth.) Barneby","R. C. Barneby","São João d'Aliança",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01452045","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra xanthocentra","J. García","17","1985","01","15","South America","Bolivia","El Beni","Estancia El Porvenir. 50 km al este del Río Maniqui (San Borja) por la carretera a Trinidad",NA,NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1682405' target='other'> <mi>dwc_moreinfo</mi></a>","NY01452045","Magnoliophyta","Fabales","xanthocentra","Mart.","V. F. Dutra","José Ballivián","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01452083","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra mansii","M. H. Nee","44868","1994","02","12","South America","Bolivia","Santa Cruz","3 km SW of El Hondo. Potrerillo","-63.4569","-17.6722",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485081' target='other'> <mi>dwc_moreinfo</mi></a>","NY01452083","Magnoliophyta","Fabales","mansii","(Mart.) Barneby","M. H. Nee","Ichilo","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00936028","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra xanthocentra","H. S. Irwin","23275","1969","02","14","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 35 km N.E. of Francisco Sá, on road to Salinas","-43.21845","-16.40385",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016071' target='other'> <mi>dwc_moreinfo</mi></a>","NY00936028","Magnoliophyta","Fabales","xanthocentra","Mart.","V. F. Dutra",NA,"1100","1100","NY00936028_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00935888","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","H. S. Irwin","24371","1969","03","14","South America","Brazil","Goiás","Chapada dos Veadeiros, ca. 37 km north of Veadeiros","-47.5167","-13.78228",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015512' target='other'> <mi>dwc_moreinfo</mi></a>","NY00935888","Magnoliophyta","Fabales","subsericea","(Benth.) Barneby","R. C. Barneby","Cavalcante","1000","1000","NY00935888_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
