"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","month","day","minimumElevationInMeters","maximumElevationInMeters","county","infraspecificEpithet","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","75995","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Moronobea","candida","Moronobea candida","Ducke","syntype","W. A. Ducke","21276","1927","South America","Brazil","Amazonas","Maués (Amazonas).","-57.711871","-3.3920171","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=252899' target='other'> <mi>dwc_moreinfo</mi></a>","NY00075995","NY00075995_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","75994","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Moronobea","candida","Moronobea candida","Ducke","syntype","W. A. Ducke","21276","1927","South America","Brazil",NA,"Maués (civit. Amazonas), Lago Massauary, Río Curuçá.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=252898' target='other'> <mi>dwc_moreinfo</mi></a>","NY00075994","NY00075994_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","170050","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Moronobea","coccinea","Moronobea coccinea","Aubl.",NA,"S. A. Mori","24698","1997","South America","French Guiana","Saint-Laurent-du-Maroni","Saül and vicinity. Les Eaux Claires, ca. 7 km N of Saül. Sentier Botanique, ca. 3.5 km from start of trail, on narrow plateau.","-53.2","3.62","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32898' target='other'> <mi>dwc_moreinfo</mi></a>","NY00170050",NA,"J. J. Pipoly","11","09","350","350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01304668","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Moronobea","coccinea","Moronobea coccinea","Aubl.",NA,"W. C. Steward","P19698","1973","South America","Brazil","Amazonas","Manaus-Caracaraí Road, km 130.","-60.086031","-1.8595815","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1644990' target='other'> <mi>dwc_moreinfo</mi></a>","NY01304668","NY01304668_01","J. A. Kallunki","12","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01304675","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Moronobea","coccinea","Moronobea coccinea","Aubl.",NA,"J. M. Pires","698","1947","South America","Brazil","Amazonas","Rio Içana, Massarico",NA,NA,"sheet","[Collector has used this collection number more than once.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1645014' target='other'> <mi>dwc_moreinfo</mi></a>","NY01304675","NY01304675_01","B. Maguire","10","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01304684","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Moronobea","coccinea","Moronobea coccinea","Aubl.",NA,"I. L. do Amaral","54","1982","South America","Brazil","Amazonas","Rio Solimões, margem direita, lago Tefé, Vila Nogueira","-64.7806","-3.3008","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1645038' target='other'> <mi>dwc_moreinfo</mi></a>","NY01304684","NY01304684_01","J. A. Kallunki","10","13",NA,NA,"Tefé",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-02-09 10:30:00-02","NY","NYBG","01418547","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Moronobea","coccinea","Moronobea coccinea",NA,NA,"J. dos Santos","875","1988","South America","Brazil","Amazonas","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Estrada ao Igarapé Acará.",NA,NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1670056' target='other'> <mi>dwc_moreinfo</mi></a>","NY01418547","NY01418547_01 NY01418547_02","V. Bittrich","04","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01304682","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Moronobea","coccinea","Moronobea coccinea","Aubl.",NA,"W. A. Ducke","319","1936","South America","Brazil","Amazonas","Loco Cachoeira Grande.","-60.025","-3.10194","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1645033' target='other'> <mi>dwc_moreinfo</mi></a>","NY01304682","NY01304682_01",NA,"10","25",NA,NA,"Manaus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01304671","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Moronobea","coccinea","Moronobea coccinea","Aubl.",NA,"B. A. Krukoff","6404","1934","South America","Brazil","Amazonas","Basin of Rio Madeira; near Tres Casas.","-62.6839542","-6.9876421","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1645004' target='other'> <mi>dwc_moreinfo</mi></a>","NY01304671","NY01304671_01 NY01304671_02",NA,"09","14",NA,NA,"Humaitá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01304667","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Moronobea","coccinea","Moronobea coccinea","Aubl.",NA,"J. dos Santos","875","1988","South America","Brazil","Amazonas","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Estrada ao Igarapé Acará.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1644988' target='other'> <mi>dwc_moreinfo</mi></a>","NY01304667",NA,"V. Bittrich","04","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01304669","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Moronobea","coccinea","Moronobea coccinea","Aubl.",NA,"B. M. Boom","8629","1988","South America","Brazil","Amazonas","Distrito Agropecuário, Reserva 1501 (km 41) of the WWF/INPA MCS Project.","-59.74583","-2.41625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1644994' target='other'> <mi>dwc_moreinfo</mi></a>","NY01304669","NY01304669_01","M. H. Nee","11","24","50","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
