"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","continentOcean","preparationType","previousCatalogNumber","typeStatus","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber"
"1","2021-04-05 14:33:47-03","UNESC","CRI","3472","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","euosma","Myrceugenia euosma","(O.Berg) D.Legrand","Marcos Sobral","Robson dos Santos; Clair Maria Martinello","164","1994","11","12","Brasil","Rio Grande do Sul","Cambará do Sul","-50.144167","-29.047778","50º8'39''W","29º2'52''S","1019","1019","Habitat: mata atlântica Habito: árvore","CRI005215","CRI005215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 15:16:32-03","UNESC","CRI","14475","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","euosma","Myrceugenia euosma","(O.Berg) D.Legrand","Sobral, M","Stival-Santos, A.; Uller, H.F. & Silveira, S.","261","2008","12","12","Brasil","Santa Catarina","Anita Garibaldi","-51.028611","-27.7175","51º1'43''W","27º43'3''S","828","828","Florística IFFSC 261(Arbórea), odor agradável Habitat: Floresta Ombrófila Mista; Estágio Inicial a Médio; interior da mata Habito: flor branca","CRI013596","CRI013596","2009","03","25","Pinheirinho. Pinheirinho.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:39-03","UNESC","CRI","9362","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","euosma","Myrceugenia euosma","(O.Berg) D.Legrand","M. Sobral","M. Verdi; R. P. Hasckel & G. Klemz","1503","2009","01","29","Brasil","Santa Catarina","Anita Garibaldi","-51.136667","-27.690833","51º8'12''W","27º41'27''S","927","927","Floresta Ombrófila Mista","CRI005221","CRI005221",NA,NA,NA,"Centro De Anita Garibaldi.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:47-03","UNESC","CRI","11363","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","euosma","Myrceugenia euosma","(O.Berg) D.Legrand","M. Molz","M. Verdi; B.O. Boeni","6195","2012","02","10","Brasil","Rio Grande do Sul","Muitos Capões","-51.183889","-28.313611","51º11'2''W","28º18'49''S","927","927","Fom - Estepe Habitat: margem do rio Habito: árvore","CRI005216","CRI005216",NA,NA,NA,"Lajeado Bonito/PCH Lajeado Bonito.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:47-03","E","E","82208","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","euosma","Myrceugenia euosma",NA,NA,"Silva, J.M. & Cruz, J.M.","1589","1995","12","15","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00082208 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00082208",NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:90987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:47-03","E","E","285745","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","euosma","Myrceugenia euosma",NA,NA,"Fiebrig, K.","6472","1905","03","23","PY","Alto Paraná",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00285745 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285745",NA,NA,NA,NA,"In regione fluminis Alto Paraná.","E. Tropical South America","herbarium specimen of unspecif","BGBASE:297152","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","404969","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","nana","Eugenia nana","O.Berg",NA,"F. Sellow","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=149550' target='other'> <mi>dwc_moreinfo</mi></a>","NY00404969","NY00404969_01",NA,NA,NA,NA,"South America","sheet",NA,"isotype","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","615723","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","euosma","Myrceugenia euosma","(O.Berg) D.Legrand",NA,"G. G. Hatschbach","40528","1977","12","08","Brazil","Paraná","Santa Helena","-54.3328","-24.8606",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=378061' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615723","NY00615723_01",NA,NA,NA,"Rio Sao Francisco Chico","South America","sheet",NA,NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","615693","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","euosma","Myrceugenia euosma","(O.Berg) D.Legrand","L. R. Landrum","A. Schinini","4358","1972","03",NA,"Paraguay","Paraguarí",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=378039' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615693",NA,NA,NA,NA,"Roquedales cercanos al Salto Piraretá-Piribebuy","South America","sheet",NA,NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","615715","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","euosma","Myrceugenia euosma","(O.Berg) D.Legrand","L. R. Landrum","L. B. Smith","14971","1965","01","22","Brazil","Paraná","Lapa","-49.73","-25.8",NA,NA,"900","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=378056' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615715","NY00615715_01",NA,NA,NA,"Fazendinha, Rio Passa Dois, 12-15 km southwest of Lapa","South America","sheet",NA,NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
