"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","eventTime","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","615753","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D.Legrand & Kausel","G. G. Hatschbach","16901","1967","08","09","South America","Brazil","Paraná","Guaraqueçaba","Serrinha","-48.3289","-25.3069","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493600' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615753","NY00615753_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","615754","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D.Legrand & Kausel","M. V. Peron","773","1989","03","06","South America","Brazil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, Nascente do Rio das Flores. Parc. 1A, microp. 5c, Ind. 1023","-42.05","-22","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493599' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615754","NY00615754_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","615755","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D.Legrand & Kausel","R. M. Klein","1579","1955","09","15","South America","Brazil","Santa Catarina","Itajaí","Morro da Ressacada, Itajaí","-48.6617","-26.9081","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493598' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615755","NY00615755_01","L. R. Landrum","paratype","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","405355","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D.Legrand & Kausel","R. M. Klein","1540","1955","08","26","South America","Brazil","Santa Catarina","Itajaí","Cunhas","-48.6617","-26.9081","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451649' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405355","NY00405355_01",NA,"isotype","30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:20:24-03","UFRJ","RFA","9271","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D.Legrand & Kausel","G.G. Hatschbach","16901","1967","08","09",NA,"Brasil","Paraná","Guaraqueçaba","Serrinha","-48.3288993835449","-25.3066997528076",NA,"Árvore 12 m de altura; tronco 80 cm diâmetro. Flor alva","RFA27997",NA,"D. Legrand",NA,NA,NA,"1969","37295","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:06:48-03","NBC","NL-BOTANY","L 0009525","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D.Legrand & Kausel","Klein RM",NA,"1955","08","26","Southern America","Brazil","Santa Catarina",NA,"Brazil, cunhas, Itajai",NA,NA,NA,"Mata<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200009525 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0009525","NL-L0009525",NA,"isotype",NA,NA,NA,NA,NA,"Magnoliopsidae","961290433",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:06:48-03","NBC","NL-BOTANY","L.1132495","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D.Legrand & Kausel","Klein RM",NA,"1955","08","26","Southern America","Brazil","Santa Catarina",NA,"Brazil, cunhas, Itajai",NA,NA,NA,"Mata<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1132495 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1132495","NL-L1132495",NA,"isotype",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:06:48-03","NBC","NL-BOTANY","L.1132496","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D.Legrand & Kausel","Klein RM",NA,"1955","08","26","Southern America","Brazil","Santa Catarina",NA,"Brazil, cunhas, Itajai",NA,NA,NA,"Mata<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1132496 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1132496","NL-L1132496",NA,"isotype",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:06:48-03","NBC","NL-BOTANY","L.1132497","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D.Legrand & Kausel","Klein RM",NA,"1955","08","26","Southern America","Brazil","Santa Catarina",NA,"Brazil, cunhas, Itajai",NA,NA,NA,"Mata<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1132497 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1132497","NL-L1132497",NA,"isotype",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:06:48-03","NBC","NL-BOTANY","L.2527296","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D.Legrand & Kausel","Klein RM",NA,"1955","09","15","Southern America","Brazil",NA,NA,"Plantas de Santa catarina, Morro da Ressacada, Itajaí.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2527296 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2527296","NL-L2527296",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-04 11:14:43-03","ESALQ","ESA","109448","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii",NA,"Duarte, A.R.","538.0",NA,NA,NA,NA,"Brasil","São Paulo","Sete Barras",NA,"-47.9199981689453","-24.3799991607666",NA,NA,"ESA109448",NA,NA,NA,NA,NA,NA,"34059","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:14:43-03","ESALQ","ESA","104490","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii",NA,"Aguiar, O.T.","1016.0","2002","03","14",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,"ESA104490",NA,"Aguiar, O.T.",NA,NA,NA,"2002","27904","auto",NA,NA,"03","17",NA,NA,NA,NA,NA
"13","2020-11-04 11:14:43-03","ESALQ","ESA","109768","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii",NA,"Souza, V.C.; Duarte, A.R.; Rando, J.G.; Ferreira, M.P.; et al.","29340.0",NA,NA,NA,NA,"Brasil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho. Área do projeto Parcelas Permanentes","-47.9199981689453","-24.3799991607666",NA,NA,"ESA109768",NA,NA,NA,NA,NA,NA,"34059","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-02-02 14:38:41-02","BGBM","B","B 10 0248502","S","Plantae",NA,NA,"Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D.Legrand & Kausel","R. M. Klein","1.540","1955","08","26","Middle and South America","Brazil",NA,NA,"Santa Catarina; Cunhas, Itajaí.",NA,NA,NA,"ined.?; Plantas de Santa Catarina - Brasil, HBR 24.777 <a href=http://herbarium.bgbm.org/object/B100248502 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100248502","B100248502",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0043315","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D. Legrand & Kausel","G. Hatschbach","16901","1967","8","9",NA,"Brazil","Parana",NA,"Serrinha (Mun. -Guaraquecaba)","-48.228843","-24.87839",NA,"PHOTO-MICH; Arvore 12 m. com 20cm, de diametro, flor alva. Mata pluvial, en costa de morro",NA,NA,"L. R. Landrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0060707","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D. Legrand & Kausel","I. Cordeiro; L. Rossi, E.A. Anunciacao, P. Tomasulo, L.A. Oliveira.","734","1990","10","16",NA,"Brazil","Sao Paulo","Iguape","Serra da Jureia. Trilha da Figueira.","-47.55","-24.7167",NA,"Coor from www.fallingrain.com/world; Arvoreta ca. 10m alto; DAP ca. 30cm, petalas e filetes alvos. Anteras ocraceas.",NA,NA,"M. Sobral, 1991.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0043314","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D. Legrand & Kausel","L. Rossi; M. Carvalhaes, E.A. Anunciacao, C.M. Yoshioka","1215","1992","12","14",NA,"Brazil","Sao Paulo","Iguape","Trilha da Figueira.","-47.55","-24.7167",NA,"Coor from www.fallingrain.com/world; Arvoreta 4.0cm alto. Frutos imaturos verdes.",NA,NA,"M.L. Kawasaki, 1994.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-10-14 10:03:27-03","FURB","FURB","34850","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D.Legrand & Kausel","Stival-Santos, A.; Legal, E. & Silveira, S.","3352","2009","09","25",NA,"Brasil","Santa Catarina","Ilhota","Baú.","-48.8711111","-26.8197223",NA,"Voucher estéril IFFSC 752 (Fitossociologia) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: arbórea;","FURB02505","FURB02505","Sobral, M",NA,"106","106","2010",NA,NA,NA,NA,NA,NA,"-48.8711111","-26.8197223",NA,NA,NA
"19","2014-10-14 15:57:00-03","BS","M","M-0136816","S","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D.Legrand & Kausel","Klein, R.M.",NA,"1955","09","14",NA,"Brasil",NA,NA,"Morro da Ressaoada, Itajaí",NA,NA,NA,NA,"M0136816",NA,NA,"PARATYPE",NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,"21:00",NA,NA
"20","2014-10-14 15:57:00-03","BS","M","M-0136817","S","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D.Legrand & Kausel","Klein, R.M.",NA,"1955","08","25",NA,"Brasil",NA,NA,"Anta Catarina. Cunhas, Itajaí",NA,NA,NA,NA,"M0136817",NA,NA,"ISOTYPE",NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,"21:00",NA,NA
"21","2020-06-29 09:31:32-03","UFRRJ","RBR","36750","S","Plantae",NA,NA,"Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D.Legrand & Kausel","M. Peron","773","1989","03","06",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Resv. Ecológica Mun. de Macaé de Cima, Nascente do rio das Flores (Coord. 22º00#?#S, 42º03#?#W) Parcela 1A, microp. 5c, ind1023","-42.5311012268066","-22.2819004058838",NA,NA,"RBR00036750","RBR00036750",NA,NA,NA,NA,NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:36:59-03","MBM","MBM","3831","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D.Legrand & Kausel","Hatschbach, G.","16901","1967","08","09","Southern America","Brazil","Paraná","Guaraqueçaba","Serrinha","-48.3288993835449","-25.3066997528076",NA,NA,"MBM003831","MBM003831","Legrand, D.",NA,NA,NA,NA,"37295","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-12-21 16:36:59-03","MBM","MBM","34909","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D.Legrand & Kausel","Hatschbach, G.","11578","1964","09","24","Southern America","Brazil","Paraná","Guaratuba","Pedra Branca de Araraquara","-48.5746994018555","-25.8827991485596",NA,NA,"MBM034909","MBM034909","Legrand, D.",NA,NA,NA,NA,"41937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2015-09-04 20:54:40-03","MNHN","RECOLNAT_MNHN_P","P05258923","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D.Legrand & Kausel","Hatschbach, G.",NA,"1967","8","9",NA,"Brasil","Paraná","Guaraqueçaba","Serrinha.","-48.3288993835449","-25.3066997528076","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05258923' target='other'> <mi>dwc_moreinfo</mi></a>","P05258923","P05258923_01",NA,NA,NA,NA,NA,"37295","auto",NA,NA,NA,NA,NA,NA,NA,"16901",NA
"25","2020-12-11 11:39:19-03","UFMG","BHCB","24459","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D.Legrand & Kausel","Martinelli, G; et al.","12455","1988","04","26","Southern America","Brasil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, Nascente do Rio das Flores","-42.05","-22",NA,"Árvore, 15m alt., DAP 27cm, folhas discolores, frutos imaturosde cor verde com cálice persistente castanho.","BHCB010897","BHCB010897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-42.05","-22",NA,NA,NA
"26","2008-05-27 22:02:00-03","MO","MOBOT","3204618","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D. Legrand & Kausel","Gert G. Hatschbach","Hatschbach 16901","1967",NA,NA,"South America","Brazil","Paraná",NA,"Serrinha (mun Guaraqueçaba). Mata pluvial, encosta de morro.",NA,NA,NA,NA,NA,NA,"L. Landrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2008-05-27 22:02:00-03","MO","MOBOT","3204754","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D. Legrand & Kausel","* PERON","PERON 773","1989","3","6","South America","Brazil","Rio de Janeiro",NA,"nova Friburgo, Reserva Ecológica Municipal de Macaé de Cima, Nascente do Rio das Flores.","-42.05","-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2010-11-13 04:25:00-02","MO","MOBOT","2476464","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","kleinii","Myrceugenia kleinii","D. Legrand & Kausel","Roberto M. Klein","Klein 1540",NA,NA,NA,"South America","Brazil","Santa Catarina",NA,"Cunhas","-48.65","-26.88333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
