"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","imagecode","dayIdentified","order","typeStatus","fieldNumber","preparationType","continentOcean","individualCount","class"
"1","2020-11-04 11:14:42-03","ESALQ","ESA","114819","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Marlierea","glazioviana","Marlierea glazioviana","Campos, M.C.R.","253.0","2006","05","07","Brasil","São Paulo","Ubatuba","-45.0699996948242","-23.4300003051758","34265","ESA114819","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:36:27-03","UNICAMP","UEC","178221","S","Plantae","Magnoliopsida","Myrtaceae","Marlierea","glazioviana","Marlierea glazioviana","Rochelle, ALC","J669",NA,NA,NA,"Brazil","São Paulo","Ubatuba","-45.050833","-23.275",NA,"UEC041692",NA,"Kiaersk.","Sobral, M","2008","03","Fazenda Capricórnio - Bairro Taquaral.","-45.050833","-23.275","450","450","Floresta ombrófila densa submontana.","UEC041692",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-20 10:21:17-03","UNICAMP","UEC","147698","S","Plantae","Magnoliopsida","Myrtaceae","Marlierea","glazioviana","Marlierea glazioviana","Campos, MCR; Assis, MA; Guilherme, FAG; Mania, L","80","2006","03","27","Brazil","São Paulo","Picinguaba",NA,NA,NA,"UEC063834",NA,"Kiaersk.","Sobral, M","2007","09","Parque Estadual da Serra do Mar, Parcela E na Trilha do Corisco (Projeto Temático Biota Gradiente Funcional)",NA,NA,NA,NA,"indivíduo E0101, altura 8m","UEC063834",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-20 10:21:17-03","UNICAMP","UEC","148821","S","Plantae","Magnoliopsida","Myrtaceae","Marlierea","glazioviana","Marlierea glazioviana","Aranha, BA","433","2007","01","08","Brazil","São Paulo","Ubatuba","-45.084167","-23.366389",NA,"UEC063837",NA,"Kiaersk.","Sobral, M","2008","10","Fazenda Capricórnio, Parcela J","-45.084167","-23.366389","380","380",NA,"UEC063837",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:36:27-03","UNICAMP","UEC","178185","S","Plantae","Magnoliopsida","Myrtaceae","Marlierea","glazioviana","Marlierea glazioviana","Gomes, JAMA; Santos, OA; Santos, S; Benedetti, FJ","577","2007","09","03","Brazil","São Paulo","Ubatuba","-45.143086","-23.619469",NA,"UEC002747",NA,"Kiaersk.","Bernacci, LC; Gomes, JAMA",NA,NA,"Fazenda Capricónio Parcela I (Pq. Estadual daSerra do Mar , Núcleo Picinguaba); Floesta ombrófila Densa Submontana.","-45.143086","-23.619469",NA,NA,"Árvore, 11m alt., 35,7cm PAP; flores em botão.","UEC002747",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:36:27-03","UNICAMP","UEC","178194","S","Plantae","Magnoliopsida","Myrtaceae","Marlierea","glazioviana","Marlierea glazioviana","Gomes, JAMA; Benedetti, FJ; Benedito, J; Santos, O","s.n.","2008","04","03","Brazil","São Paulo","Ubatuba","-45.138003","-23.624822",NA,"UEC002742",NA,"Kiaersk.",NA,NA,NA,"Fazenda Capricórnio, Núcleo Picinguaba/PESM, Parcela H; Floresta Ombrófila Densa Montana. 204,130m de altitude.","-45.138003","-23.624822",NA,NA,"Árvore de 12m alt., PAP 43,6cm.","UEC002742",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:36:27-03","UNICAMP","UEC","92053","S","Plantae","Magnoliopsida","Myrtaceae","Marlierea","glazioviana","Marlierea glazioviana","Sanchez, M; Pedroni, F","31336","1993","05","21","Brazil","São Paulo","Ubatuba","-45.0699996948242","-23.4300003051758","34265","UEC008296","auto","Kiaersk.","Matsumoto, K","2011",NA,"Núcleo Picinguaba, margem do rio da Fazenda.",NA,NA,NA,NA,"Árvore de 15 m de altura, frutos imaturos de cor marrom.","UEC008296",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:36:27-03","UNICAMP","UEC","118398","S","Plantae","Magnoliopsida","Myrtaceae","Marlierea","glazioviana","Marlierea glazioviana","Assis, MA","83","1993","01","13","Brazil","São Paulo","Ubatuba","-45.0699996948242","-23.4300003051758","34265","UEC008295","auto","Kiaersk.","Matsumoto, K","2011",NA,"Picinguaba, trilha Praia Brava.",NA,NA,NA,NA,"Árvore 7m de alt. Botões castanhos-acinzentados.","UEC008295",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:36:27-03","UNICAMP","UEC","157766","S","Plantae","Magnoliopsida","Myrtaceae","Marlierea","glazioviana","Marlierea glazioviana","Matsumoto, K; Matsumoto, H","799","2002","09","05","Brazil","São Paulo","Ubatuba","-45.0699996948242","-23.4300003051758","34265","UEC013843","auto","Kiaersk.","Matsumoto, K","2011",NA,"Praia Brava.",NA,NA,NA,NA,"Árvore ca. 8m de alt, caule liso marrom nas partes jovens. Esteril.","UEC013843",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:36:40-03","UNICAMP","UEC","113798","S","Plantae","Magnoliopsida","Myrtaceae","Myrcia","insigniflora","Myrcia insigniflora","Sanchez, M; Pedroni, F","445A","1996","01","12","Brazil","São Paulo","Ubatuba","-44.8","-23.366667",NA,NA,NA,"M.F. Santos","Santos, MF","2019",NA,"Picinguaba","-44.8","-23.366667",NA,NA,"Mata de Planície, rEstinga, árvore 3434 com 8,5m de alt, veg.",NA,NA,NA,NA,NA,NA,NA,NA,NA
