"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","relatedCatalogItem","identifiedBy","fieldNumber","individualCount","yearIdentified","verbatimLongitude","verbatimLatitude","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","381535","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Olyra","latispicula","Olyra latispicula","Soderstr. & Zuloaga","isotype","T. R. Soderstrom","2208","1976","05","13","South America","Brazil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal, located 14 km. east of BR 101 at a point 13 km. north of Itamarajú. Forest slopes of Monte Pascoal. At edge of trail leading to summit of Monte Pascoal.","-39.4166","-16.8833","320","320","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=152901' target='other'> <mi>dwc_moreinfo</mi></a>","NY00381535","NY00381535_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:53:40-03","EAO","IAN","169940","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Olyra","latispicula","Olyra latispicula","Soderstr. & Zuloaga","isotipo","Soderstrom, TR; Russell, GF; Hage, JL","2208","1976","03","13","Southern America","Brasil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal, located 14 km easte of BR 101 at a point 13 km north of Itamarajú. Forest on slopes of Monte Pascoal. Small short-rhizomatous clumps at edge of trail leading to summit of Monte Pascoal.","-39.0647010803223","-16.4496994018555","320","320",NA,"JUDZIEWICZ (2000:85) citou: T-Protol.: Brazil: Bahia: Mun. Porto Seguro: Parque Nacional Monte Pascoal, located 14 km E of BR 101 at a point 13 km N of Itamarajú, 320 m, 13 May 1976, Soderstrom, Russel & Hage 2208 [HT: CEPEC; IT: US].","IAN169940",NA,"68835","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:18:30-03","NBC","NL-BOTANY","U 0002309","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Olyra","latispicula","Olyra latispicula","Soderstr. & Zuloaga","isotype","Soderstrom TR; Russel GF; Hage J",NA,"1976","05","13","Southern America","Brazil","Bahia",NA,"BahiaMunicipio Porto Seguro: Parque Nacional Monte Pascoal, located 14 km east of BR 101 at a point 13 km north of Itamarajú.at edge of trail leading to summit of Monte Pascoal",NA,NA,NA,NA,NA,"Forest on slopes<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200002309 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0002309","NL-U0002309",NA,NA,"Magnoliopsidae","7609",NA,NA,NA,NA,NA,NA,NA
"4","2018-09-18 17:01:27-03","MNHN","RECOLNAT_MNHN_P","P00642110","PreservedSpecimen",NA,NA,NA,"Poaceae","Olyra","latispicula","Olyra latispicula","Soderstr.& Zuloaga","isotype","Soderstrom, T.R.|Russell, G.F.|Hage, J.",NA,"1976","5","13",NA,"Brésil",NA,NA,"Bahia municipio Porto Seguro: parque nacional monte pascal, located 14 km east of BR 101 at a point 13 km north of Itamaraju",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00642110' target='other'> <mi>dwc_moreinfo</mi></a>","P00642110","P00642110_01",NA,NA,NA,NA,"Oliveira & al.","2208",NA,NA,NA,NA,NA
"5","2012-10-17 05:07:00-03","MO","MOBOT","231993","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Olyra","latispicula","Olyra latispicula","Soderstr. & Zuloaga","Isotype","Thomas R. Soderstrom|George F. Russell|José L. Hage","Soderstrom 2208","1976","5","13","South America","Brazil","Bahia",NA,"Mpio. Porto Seguro. Monte Pascoal National Park, 14 km E of BR 101 at a Point 13 km N of Itamataju, forest on slope of Monte Pascoal","-39.53333","-17.66666","320.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-08-31 09:21:25-03","INPA","INPA","165135","S","Plantae","Monocotyledon","Poales","Poaceae","Olyra","latispicula","Olyra latispicula","Soderstr. & Zuloaga","isotype","Soderstrom, TR","2208","1976","05","13","Southern America","Brasil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal, located 14 km east of BR 101 at a point 13 km north of Itamarajú","-39.0647010803223","-16.4496994018555","320","320",NA,NA,"INPA0165135","INPA0165135 INPA0165135_1 INPA0165135_1e INPA0165135_e","68835","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","2810482","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Olyra","latispicula","Olyra latispicula","Soderstr. & Zuloaga","Isotype","T. R. Soderstrom","2208","1976","5","13","South America - Neotropics","Brazil","Bahia","Pôrto Seguro","Monte Pascoal National Park, 14 km E of BR 101 at a Point 13 km N of Itamataju, forest on slope of Monte Pascoal.","-39.0647010803223","-16.4496994018555","320","320",NA,NA,"US00153824","US00153824_01","68835","auto","Monocotyledonae",NA,NA,NA,"1",NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2810483","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Olyra","latispicula","Olyra latispicula","Soderstr. & Zuloaga","Isotype","T. R. Soderstrom","2208","1976","5","13","South America - Neotropics","Brazil","Bahia","Pôrto Seguro","Monte Pascoal National Park, 14 km E of BR 101 at a Point 13 km N of Itamataju, forest on slope of Monte Pascoal.","-39.0647010803223","-16.4496994018555","320","320",NA,NA,"US00153825","US00153825_01","68835","auto","Monocotyledonae",NA,NA,NA,"1",NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","2810481","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Olyra","latispicula","Olyra latispicula","Soderstr. & Zuloaga","Isotype","T. R. Soderstrom","2208","1976","5","13","South America - Neotropics","Brazil","Bahia","Pôrto Seguro","Monte Pascoal National Park, 14 km E of BR 101 at a Point 13 km N of Itamataju, forest on slope of Monte Pascoal.","-39.0647010803223","-16.4496994018555","320","320",NA,NA,"US00153823","US00153823_01","68835","auto","Monocotyledonae",NA,NA,NA,"1",NA,NA,NA,NA
"10","2020-09-02 16:36:58-03","Cenargen","CEN","44522","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Olyra","latispicula","Olyra latispicula","Soderstr. & Zuloaga",NA,"Luciano de Bem Bianchetti","787","1989","05","26",NA,"Brasil",NA,NA,"Subida para o monte Pascoal, a partir do posto do IBDF.",NA,NA,NA,NA,"Exsicatas",NA,"CEN00044522","CEN00044522",NA,NA,NA,NA,"R. P. Oliveira",NA,"6","2014",NA,NA,NA
"11","2019-10-07 09:22:11-03","UEFS","HUEFS","89873","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Olyra","latispicula","Olyra latispicula","Soderstr. & Zuloaga","Holótipo","Soderstrom, T.R.","2208","1976","05","13",NA,"Brasil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal, located 14 km east of BR 101 at a point 13 km north of Itamarajú. Forest on slopes of Monte Pascoal.","-39.0647010803223","-16.4496994018555","320","320",NA,NA,"HUEFS0089873",NA,"68835","auto","Lilianae",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-10-07 09:22:11-03","UEFS","HUEFS","41768","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Olyra","latispicula","Olyra latispicula","Soderstr. & Zuloaga","Isótipo","Soderstrom, T.R.","2208","1976","05","13",NA,"Brasil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal, located 14 Km east of BR 101 at a point 13 Km north of Itamaraju.","-39.4","-16.9","320","320",NA,"Forest on slopes of Monte pascoal.","HUEFS0041768",NA,NA,NA,"Lilianae",NA,NA,NA,NA,NA,"39W24'","16S54'",NA
"13","2019-10-07 09:22:11-03","UEFS","HUEFS","45632","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Olyra","latispicula","Olyra latispicula","Soderstr. & Zuloaga",NA,"Oliveira, R.P.","576","2000","05","29",NA,"Brasil","Bahia","Porto Seguro","Parque Nacional do Monte Pascoal, trilha na subida.","-39.4","-16.9","300","300",NA,"Mata Atlântica. Borda da mata.","HUEFS0045632","HUEFS0045632",NA,NA,"Lilianae",NA,NA,NA,NA,NA,"39W24'0''","16S54'0''",NA
"14","2019-10-07 09:22:11-03","UEFS","HUEFS","221451","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Olyra","latispicula","Olyra latispicula","Soderstr. & Zuloaga",NA,"Oliveira, R.P.","2264","2016","01","23",NA,"Brasil","Bahia","Itamaraju","Parque Nacional Monte Pascoal, subida para a trilha principal do Monte Pascoal","-39.414444","-16.888056","164","164",NA,NA,"HUEFS0221451",NA,NA,NA,"Lilianae",NA,NA,NA,NA,NA,"39w24'52''","16s53'17''",NA
"15","2019-10-07 09:22:11-03","UEFS","HUEFS","89872","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Olyra","latispicula","Olyra latispicula","Soderstr. & Zuloaga","Holótipo","Soderstrom, T.R.","2208","1976","05","13",NA,"Brasil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal, located 14 km east of BR 101 at a point 13 km north of Itamarajú. Forest on slopes of Monte Pascoal.","-39.0647010803223","-16.4496994018555","320","320",NA,NA,"HUEFS0089872",NA,"68835","auto","Lilianae",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-07-23 12:18:46-03","CEPLAC","CEPEC","12781","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Olyra","latispicula","Olyra latispicula",NA,"Holótipo","T. R. Soderstrom","2208","1980","08","13",NA,"Brasil","Bahia","PORTO SEGURO","Parque Nacional de Monte Pascoal, 14Km a E da BR-101 e 13Km ao N Itamaraju","-39.0647010803223","-16.4496994018555",NA,NA,NA,NA,NA,NA,"68835","auto",NA,"30/04/1985","F. Zuloaga",NA,NA,NA,"0W0'0","0S0'0",NA
"17","2015-02-26 09:30:14-03","NHMLondon","NHM-LONDON-BOT","BM000839030","S","Plantae",NA,NA,"Poaceae","Olyra","latispicula","Olyra latispicula","Soderstr. & Zuloaga","Isotype","Collaboration; T.R. Soderstrom, et al","2208",NA,NA,NA,NA,"Brasil",NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109","NHMUK:ecatalogue:4993048"
"18","2021-02-23 13:23:00-03","MN","R-TIPOS","201811","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Olyra","latispicula","Olyra latispicula","Soderstr. & Zuloaga","Isotypus","Soderstrom, T.R.; Russell, G.F. & Hage, J.","2208","1976","05","13",NA,"Brasil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal","-39.0647010803223","-16.4496994018555","320","320",NA,NA,"R000201811","R000201811_001","68835","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
