"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","year","month","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","day","decimalLongitude","decimalLatitude","county","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","645437","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Opuntia","monacantha","Opuntia monacantha","(Willd.) Haw.","E. Hassler","7583","South America","Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34418' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645437","NY00645437_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","645440","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Opuntia","monacantha","Opuntia monacantha","(Willd.) Haw.","W. G. F. Herter","85334","South America","Uruguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34415' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645440","NY00645440_01","1934","03","Montevideo","Peniarolii","24","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","645442","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Opuntia","monacantha","Opuntia monacantha","(Willd.) Haw.","J. N. Rose","20378","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34417' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645442","NY00645442_01","1915","07","Rio de Janeiro","Ilha Grande, Distrito Federal, Rio de Janeiro",NA,NA,"22","-44.234582","-23.150897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-28 13:01:00-03","NY","NYBG","645436","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Opuntia","monacantha","Opuntia monacantha",NA,"R. Reitz","9338","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34410' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645436","NY00645436_01","1959","11","Santa Catarina","Sombrio","5","5","01","-49.635936","-29.103288","Sombrio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-28 13:02:00-03","NY","NYBG","645438","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Opuntia","monacantha","Opuntia monacantha",NA,"R. Reitz","163","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34414' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645438","NY00645438_01","1951","12","Santa Catarina","Laguna",NA,NA,"22","-48.781687","-28.480425","Laguna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","645434","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Opuntia","monacantha","Opuntia monacantha","(Willd.) Haw.","J. N. Rose","43411","South America","Argentina","sheet","Cultivated from original collection, Rose 209241 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34411' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645434","NY00645434_01","1915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","645435","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Opuntia","monacantha","Opuntia monacantha","(Willd.) Haw.","J. N. Rose","20920","South America","Argentina","sheet","Cultivated by Spegazzini <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34412' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645435","NY00645435_01","1915","08",NA,"La Plata",NA,NA,"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","645441","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Opuntia","monacantha","Opuntia monacantha","(Willd.) Haw.","G. Eiten","6010-B","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34416' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645441","NY00645441_01","1965","02","São Paulo","Along road (to Borá) ca. 1 km N of city of Paraguaçu Paulista","500","500","10","-50.58","-22.4","Paraguaçú Paulista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:19:18-03","UFRJ","RFA","22220","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","Cézio Pereira","s.n.",NA,"Brasil",NA,"Cactos de flor amarela","RFA18355",NA,"1988","10","Rio de Janeiro","Barra de Maricá. Área A.",NA,NA,"10","-42.8185997009277","-22.9193992614746","Maricá","M. Machado","2013","09","18","20726","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:29:43-03","UFRJ","RFA","12807","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","F. Agarez; Cézio Pereira","175",NA,"Brasil",NA,NA,"RFA11861",NA,"1972","07","Rio de Janeiro",NA,NA,NA,"00","-43.2075004577637","-22.9027996063232","Rio de Janeiro","M. Machado","2013","09","18","57442","auto",NA,NA,NA,NA,NA,NA,NA
"11","2020-11-13 09:19:15-03","UFRJ","RFA","21938","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","E.M. Occhioni; C.M. Rizzini 394; A.A.M. Barros 176","580",NA,"Brasil",NA,"Cactus ca. 2 - 2,5 m de altura. Flores amarelas. Frequente","RFA18139",NA,"1987","11","Rio de Janeiro","Ilha da Marambaia, Praia Grande",NA,NA,"19","-43.2075004577637","-22.9027996063232","Rio de Janeiro","M. Machado","2013","09","18","57442","auto",NA,NA,NA,NA,NA,NA,NA
"12","2020-06-29 11:29:43-03","UFRJ","RFA","43271","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","D. R. Salim","45",NA,"Brasil",NA,"Flor, segmento do perianto amarelo, com estrias vermelhas.","RFA44618",NA,"2019","01","Rio de Janeiro",NA,NA,NA,"11","-43.532778","-23.048611","Rio de Janeiro","Cardoso, W. C.","2019","01","17",NA,NA,"43º31'58''W","23º2'55''S",NA,NA,NA,NA,NA
"13","2020-11-13 09:19:18-03","UFRJ","RFA","22638","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","C.M. Rizzini","450",NA,"Brasil",NA,"Frutos imaturos. Flores amarelas","RFA18614",NA,"1988","06","Rio de Janeiro","Barra de Maricá, na moita",NA,NA,"28","-42.8185997009277","-22.9193992614746","Maricá","M. Machado","2013","09","18","20726","auto",NA,NA,NA,NA,NA,NA,NA
"14","2020-06-29 11:29:43-03","UFRJ","RFA","29507","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","A.B. Moura","11",NA,"Brasil",NA,"Substrato terrícola. Heliófila, Psamófita. Arbusto com caule verde. Folhas verde. Flor solitária. Hermafrodita e ovário ínfero 4 pétalas.","RFA20139",NA,"1996","10","Rio de Janeiro","Praia de Grumari, próximo ao mar.",NA,NA,"30","-43.2075004577637","-22.9027996063232","Rio de Janeiro","M. Machado","2013","09","18","57442","auto",NA,NA,NA,NA,NA,NA,NA
"15","2020-11-13 09:19:15-03","UFRJ","RFA","22093","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","C.M. Rizzini","425",NA,"Brasil",NA,"Planta com 50 cm de altura. Frutos verdes (alguns enraízam)","RFA18241",NA,"1988","05","Rio de Janeiro","Barra de Maricá",NA,NA,"16","-42.8185997009277","-22.9193992614746","Maricá","M. Machado","2013","09","18","20726","auto",NA,NA,NA,NA,NA,NA,NA
"16","2020-11-13 09:19:18-03","UFRJ","RFA","27980","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","Elaine; Gabriel, Gerson","s.n.",NA,"Brasil",NA,"Erva. Folhas modificadas em forma de espinhos. Inflorescência cálice verde e corola amarela","RFA19833",NA,"2000","06","Rio de Janeiro","Grumari",NA,NA,"07","-43.2075004577637","-22.9027996063232","Rio de Janeiro","M. Machado","2013","09","18","57442","auto",NA,NA,NA,NA,NA,NA,NA
"17","2020-06-29 11:29:43-03","UFRJ","RFA","21463","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","C.M. Rizzini","272",NA,"Brasil",NA,"Flores avermelhadas em botão e branco-avermelhadas quando abertas","RFA17745",NA,"1985","12","Rio de Janeiro","Ilha da Marambaia, Praia Grande",NA,NA,"18","-43.2075004577637","-22.9027996063232","Rio de Janeiro","M. Machado","2013","09","18","57442","auto",NA,NA,NA,NA,NA,NA,NA
"18","2020-11-13 09:19:18-03","UFRJ","RFA","29207","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","J.V. Azevedo","s.n.",NA,"Brasil",NA,"Ciófila. ca. 2 m de altura. Flores amarelo e rosa. Caule tipo cladódio","RFA20036",NA,"2001","05","Rio de Janeiro","Reserva de Grumari, meio da restinga, área aberta.",NA,NA,"30","-43.2075004577637","-22.9027996063232","Rio de Janeiro","M. Machado","2013","09","18","57442","auto",NA,NA,NA,NA,NA,NA,NA
"19","2020-11-13 09:19:18-03","UFRJ","RFA","23819","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","R.J.T. Silva","s.n.",NA,"Brasil",NA,"Heliófila; flor amarela, séssil e diurna","RFA19323",NA,"1994","10","Rio de Janeiro","Reserva de Grumari, próximo ao mar.",NA,NA,"00","-43.2075004577637","-22.9027996063232","Rio de Janeiro","M. Machado","2013","09","18","57442","auto",NA,NA,NA,NA,NA,NA,NA
"20","2020-02-08 08:54:48-03","NBC","NL-BOTANY","L.2477171","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","Pedersen TM",NA,"Southern America","Argentina",NA,"Open woodland and scruland, especially about the clump of Trithrinax-palms.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2477171 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2477171","NL-L2477171","1964","11","Entre Rios","Crucecitas-Dep.Nogoya: Las Aguadas",NA,NA,"26",NA,NA,NA,"Hunt DR","1987","08","01",NA,NA,NA,NA,"Magnoliopsidae","L 0831600",NA,NA,NA
"21","2020-02-08 08:54:48-03","NBC","NL-BOTANY","L.2477172","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","Pedersen TM",NA,"Southern America","Brazil",NA,"Rough grassland and scrub on rocky ground.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2477172 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2477172","NL-L2477172","1979","11",NA,"Mun. Quarai: Serra Jarao.",NA,NA,"27",NA,NA,NA,"Hunt DR","1987","08","01",NA,NA,NA,NA,"Magnoliopsidae","L 0831599",NA,NA,NA
"22","2020-11-04 11:04:12-03","ESALQ","ESA","12747","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","Souza, V.C. et al.","4849.0",NA,"Brasil",NA,NA,"ESA012747","ESA012747_1 ESA012747_2","1993","12","São Paulo",NA,NA,NA,"02","-47.6399993896484","-22.7199993133545","Piracicaba","Taylor, N.P.",NA,NA,NA,"44778","auto",NA,NA,NA,NA,NA,NA,NA
"23","2020-11-04 10:55:10-03","ESALQ","ESA","141585","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Opuntia","monacantha","Opuntia monacantha",NA,"Souza, V.C. & Souza, D.P.C.","41308.0",NA,"Brasil",NA,"Erva, ca. 1,5 m alt.; flores amarelas.","ESA141585",NA,"2018","11","Alagoas","Área urbana.",NA,NA,"29","-35.8950004577637","-9.710280418396","Marechal Deodoro","Souza, V.C.","2018","11","29","15565","auto",NA,NA,NA,NA,NA,NA,NA
"24","2021-01-14 15:26:43-03","MN","R","109013","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","Castellanos, A.","22546",NA,"Brasil",NA,NA,"R010023526","R010023526","1959","10","Rio Grande do Sul",NA,NA,NA,"21",NA,NA,NA,"Zappi, D.","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-01-14 15:26:43-03","MN","R","218504","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","Almeida, M.C.; Verçoza, F.C.",NA,NA,"Brasil",NA,NA,"R010023527","R010023527","2013","05","Rio de Janeiro",NA,NA,NA,"03",NA,NA,"Grumari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-01-14 15:26:43-03","MN","R","91109","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","Sampaio, A.J.","8031",NA,"Brasil",NA,NA,"R010023534","R010023534","1939","03","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Taylor, N.P. & Zappi, D.C.","1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-01-14 15:26:43-03","MN","R","91110","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","Sampaio, A.J.","8000",NA,"Brasil",NA,NA,"R010023533","R010023533","1939","03","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Taylor, N.P. & Zappi, D.C.","1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-01-14 15:26:43-03","MN","R","190219","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","Moura, R.; Lima, E.; Patricia, C. & Correa, M.C.","26",NA,"Brasil",NA,NA,"R010023531","R010023531","1996","12","Rio de Janeiro",NA,NA,NA,"10","-41.6610984802246","-22.1872005462646","Carapebus","Almeida, M.C.","2014",NA,NA,"13257","auto",NA,NA,NA,NA,NA,NA,NA
"29","2021-01-14 15:26:43-03","MN","R","205925","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Opuntia","monacantha","Opuntia monacantha","Haw.","Carauta, J.P.P.; Machado, A.F.P.; Araujo, A.P.R. et al.","7419",NA,"Brasil",NA,NA,"R010023528,R010023529","R010023528 R010023529","2004","08","Rio de Janeiro",NA,NA,NA,"17","-41.7868995666504","-22.3708000183105","Macaé","Payer, M.","2005",NA,NA,"47209","auto",NA,NA,NA,NA,NA,NA,NA
