"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","month","day","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00997497","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","cratensis","Oxalis cratensis","Oliv.","A. Lourteig","S. L. M. Moore","203","1891","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179930' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997497","NY00997497_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","686867","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","cratensis","Oxalis cratensis","Oliv.","E. Saar","G. Cavalcanti","6","2000","South America","Brazil","Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=845395' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686867","NY00686867_01","02","27","Remanso","Caminho para Pau Ferro","-42.23472222","-9.6455556","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02636942","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","cratensis","Oxalis cratensis","Oliv.",NA,"P. da C. Gadelha Neto","3851","2014","South America","Brazil","Paraíba","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3392163' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636942","NY02636942_01","10","08","João Pessoa","Jardim Botânico: Área de uso público","-34.861111","-7.135","22","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 15:41:00-03","NY","NYBG","385313","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","cratensis","Oxalis cratensis paraguayensis","(R.Knuth) Lourteig",NA,"E. Hassler","7863","1901","South America","Paraguay",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=208380' target='other'> <mi>dwc_moreinfo</mi></a>","NY00385313","NY00385313_01",NA,NA,NA,"In regione cursus superioris fluminis Apa",NA,NA,NA,NA,"paraguayensis","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00997495","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","cratensis","Oxalis cratensis","Oliv.","A. Lourteig","D. Philcox","4011","1968","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179894' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997495","NY00997495_01","01","13","Barra do Garças","Environs of Barra do Garças.","-52.2567","-15.8903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02433405","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","cratensis","Oxalis cratensis","Oliv.",NA,"P. L. B. Lisboa","1529","1980","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2656398' target='other'> <mi>dwc_moreinfo</mi></a>","NY02433405","NY02433405_01","11","08","Tucuruí","Margem esquerda do Rio Tocantins","-49.6633449","-3.7667316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1843791","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","cratensis","Oxalis cratensis","Oliv.","J. L. da Costa Lima","S. C. de Sant'Ana","813","2000","South America","Brazil","Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2124942' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843791","NY01843791_01","04","30","Una","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. BA 001 Ilhéus/Una, Região de Mata HIgrófila Sul Baiana. Coletas efetuadas a ca. 10 km no ramal de accesso ao Ecoparque de Una.","-39.08","-15.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02433406","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","cratensis","Oxalis cratensis","Oliv.",NA,"M. G. da Silva","5331","1980","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2656399' target='other'> <mi>dwc_moreinfo</mi></a>","NY02433406","NY02433406_01","06","03",NA,"Tucuruí, Breu Branco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","470384","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","cratensis","Oxalis cratensis","Oliv.","A. Lourteig","J. C. de Moraes Vasconcelos","753","1953","South America","Brazil","Paraíba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574164' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470384","NY00470384_01","06","10","Areia",NA,"-35.712202","-6.95148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00997499","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","cratensis","Oxalis cratensis","Oliv.","A. Lourteig","R. M. Harley","10964","1968","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179953' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997499","NY00997499_01","11","09","Xavantina","47 km approx. S. from Xavantina on Aragarças road.","-52.23","-14.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","02433407","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","cratensis","Oxalis cratensis","Oliv.",NA,"C. R. Sperling","6173","1982","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2656400' target='other'> <mi>dwc_moreinfo</mi></a>","NY02433407","NY02433407_01","06","14",NA,"Riverbanks of Rio Itacaiunas 2 km downriver from ferry crossing to Amza camp 3-Alfa","-50.5","-5.88","150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00997496","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","cratensis","Oxalis cratensis","Oliv.","A. Lourteig","A. P. Duarte","7525","1962","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179927' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997496","NY00997496_01","11","18","Várzea da Palma","Faz. da Mãe.","-44.7306","-17.5983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01019808","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","cratensis","Oxalis cratensis","Oliv.","O. Kosovsky","B. M. T. Walter","1136","1992","South America","Brazil","Goiás","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1137714' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019808","NY01019808_01","04","12","Niquelândia","Ponte sobre o Rio Bagagem; distante 32.5 km da cidade de Niquelandia. Estrada Niquelandia/Colinas do Sul. Bacia de inundaçao da UHE Serra da Mesa","-48.2","-14.37","440","440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","470385","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","cratensis","Oxalis cratensis","Oliv.","A. Lourteig","E. P. Heringer","15923","1976","South America","Brazil","Goiás","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574163' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470385","NY00470385_01","08","08","Formosa","Cachoeira do Tiquira","-47.3342","-15.5372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00997492","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","cratensis","Oxalis cratensis","Oliv.","A. Lourteig","G. G. Hatschbach","23700","1970","South America","Brazil","Mato Grosso do Sul","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179805' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997492","NY00997492_01","02","17","Terenos",NA,"-54.8603","-20.4422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00997493","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","cratensis","Oxalis cratensis","Oliv.","A. Lourteig","W. R. Anderson","6784","1973","South America","Brazil","Goiás","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179806' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997493","NY00997493_01","03","11","Monte Alegre de Goiás","24 km by road SW of Monte Alegre de Goiás","-46.9034","-13.4189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00997498","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","cratensis","Oxalis cratensis","Oliv.","A. Lourteig","G. Eiten","3949","1962","South America","Brazil","Maranhão","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179931' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997498","NY00997498_01","04","03","Lorêto","Ilha de Balsas region, between the Balsas & Parnaíba Rivers. 150 meters NE of main house of Fazenda Morros, ca. 35 km south of Lorêto.","-45.07","-7.38","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
