"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","infraspecificEpithet","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","00897992","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland","H. N. Moldenke","H. S. Irwin","28565","1970","03","29","South America","Brazil","Minas Gerais","Diamantina","Serra do Espinhaço, ca. 7 km N. of São João da Chapada, road to Campo do Sampaio","-43.742436","-18.0234644","1150","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965357' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897992","NY00897992_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00002197","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland","H. N. Moldenke","B. Maguire","49305","1960","08","26","South America","Brazil","Minas Gerais",NA,"Serra de Lavras Novas, about 20 km south of Ouro Preto",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=378335' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002197","NY00002197_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00897993","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland","H. N. Moldenke","A. Macedo","2760","1950","12","27","South America","Brazil","Minas Gerais","Ouro Preto","Lavras Novas","-43.5081","-20.2878",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965359' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897993","NY00897993_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00501548","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland",NA,"R. Hertel","46","1944","09",NA,"South America","Brazil","Paraná","Ponta Grossa","Ponta Grossa, Estrada Castro","-50.1617","-25.095",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=378336' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501548","NY00501548_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00501549","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland",NA,"G. G. Hatschbach","2911","1952","12","21","South America","Brazil","Paraná","Ponta Grossa","Vila Velha","-50.012929","-25.234872",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=378337' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501549","NY00501549_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:52:23-03","EAO","IAN","35167","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland",NA,"Schwacke, J","12040",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN035167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-02-02 14:38:08-02","BGBM","B","B 10 0247766","S","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland",NA,"C. A. W. Schwacke","12040","1895","12","03","Middle and South America","Brazil",NA,NA,"[Brasilien: Prov. Minas Geraës] ad radices m. Serra de Lavras Novas.",NA,NA,NA,NA,NA,"Habitat: In arenosis humidis. <a href=http://herbarium.bgbm.org/object/B100247766 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100247766","B100247766","isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-02-02 14:38:08-02","BGBM","B","B 10 0247767","S","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland",NA,"C. A. W. Schwacke","13856","1899","10","12","Middle and South America","Brazil",NA,NA,"[Brasilia:] Minas Geraes: Serra de Itatiaia prope Chapada.",NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100247767 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100247767","B100247767","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-02-02 14:38:08-02","BGBM","B","B 10 0247768","S","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland",NA,"P. A. Sena","Hb. Schwacke 14514","1901","05","26","Middle and South America","Brazil",NA,NA,"Minas Geraes: in campis elevatis ad Lavras Novas.",NA,NA,NA,NA,NA,"according to the protolog of P. corymboides var. epilosus (Das Pflanzenreich 4(30): 205. 1903) leg. P. A. Sena <a href=http://herbarium.bgbm.org/object/B100247768 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100247768","B100247768","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-27 13:48:02-03","UFS","ASE","4229","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland","A.M.Giulietti","Viana, G","1366","1986","01","25","Southern America","Brasil","Minas Gerais","Ouro Preto","Serra dos Lavros","-43.508056","-20.287778",NA,NA,NA,"Erva. mais ou menos 30. cm. Flores alvas.; Erva. mais ou menos 30. cm. Flores alvas.; Campo rupestre","ASE0009914","ASE0009914",NA,"1992","-43.508056","-20.287778",NA,NA,NA,NA,NA,NA,NA,NA
