"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","identifiedBy","yearIdentified","monthIdentified","continentOcean","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","individualCount","relatedCatalogItem"
"1","2019-11-19 15:43:23-03","UNEB","HUNEB","7429","PreservedSpecimen","Plantae","Angiospermae","Dicotyledoneae","Florideophycidae","Asteraceae","Paralychnophora","patriciana","Paralychnophora patriciana","D.J.N.Hind","Ganev, W.","1828","1993","08","12","Brasil","Bahia","Abaíra","Serra do barbado, subida do Pico.","-42.316667","-13.9","42W19'0''","13S54'0''","Vegetação baixa, Solo arenoso entre rochas.","HUNEB0007429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:11:02-03","UFBA","ALCB","106132","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Paralychnophora","patriciana","Paralychnophora patriciana","D.J.N.Hind","Ogasawara, HA; Siqueira, GB; Pimenta, K","250","2012","10","12","Brasil","Bahia","Mucugê","Chapada Diamantina, Distrito de Guiné, Serra do Esbarrancado","-41.489722","-12.773333","-41.489722","-12.773333","ca. 1,90m alt. Folhas discolores; brácteas involucrais amarronzados; corola rósea a alva; ramos do estilete alvos; pápus creme.",NA,"Ogasawara, HA","2012","10","Southern America","1269","1269",NA,NA,NA,NA
"3","2019-10-09 11:11:06-03","UFBA","ALCB","106135","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Paralychnophora","patriciana","Paralychnophora patriciana","D.J.N.Hind","Ogasawara, HA; Siqueira, GB; Pimenta, K","255","2012","10","13","Brasil","Bahia","Mucugê","Chapada Diamantina, Vale do Pati, Morro do Castelo","-41.447778","-12.771389","-41.447778","-12.771389","ca. 2m alt. Folhas discolores; brácteas involucrais verde-amarronzados; corola lilás; ramos do estilete alvos; pápus creme.",NA,"Ogasawara, HA","2012","10","Southern America","1369","1369",NA,NA,NA,NA
"4","2020-05-19 10:29:39-03","UFBA","ALCB","96111","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Paralychnophora","patriciana","Paralychnophora patriciana","D.J.N.Hind","Aguiar, LGPA; Santo, FSE; Almeida, PRM","58","2010","08","21","Brasil","Bahia",NA,"Vale do Paty, Morro do Castelo","-41.4475","-12.770556","-41.4475","-12.770556","Cerca de 2,0m. Folhas verdes discolores; capítulos em glomérulos; brácteas involucrais esverdeadas; flores lavandas.",NA,"Ogasawara, HA","2010","08","Southern America","1248","1248",NA,NA,NA,NA
"5","2019-10-09 11:11:06-03","UFBA","ALCB","127357","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Paralychnophora","patriciana","Paralychnophora patriciana","D.J.N.Hind","Calvo, J","7387","2016","12","27","Brasil","Bahia","Palmeiras","Vale de Pati","-41.476944","-12.768056","-41.476944","-12.768056","edge of woody vegetation at the valley bottom","ALCB044069","Calvo, J","2017","02","Southern America","1087","1087","ALCB044069",NA,NA,NA
"6","2011-06-08 12:29:00-03","MO","MOBOT","3360136","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Paralychnophora","patriciana","Paralychnophora patriciana","D.J.N. Hind","David J.N. Hind","Hind 50967","1992",NA,NA,"Brazil","Bahia",NA,"Mun. Abaíra: Serra ao Sul do Riachó da Taquara. Vale escarpado. Material em álcool, xiloteca, fotos.","-41.91666","-13.25",NA,NA,NA,NA,"D.J.N. Hind",NA,NA,"South America","1800.00000000","1900.00000000",NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","3404168","PreservedSpecimen","Plantae",NA,"Dicotyledonae","Asterales","Asteraceae","Paralychnophora","patriciana","Paralychnophora patriciana","D.J.N. Hind","D. J. N. Hind & R. Queiroz","H 50967","1992","1","27","Brazil","Bahia",NA,"Abaira, Serra ao Sul do Riacho da Taquara.","-41.9167","13.25",NA,NA,NA,"US00610756",NA,NA,NA,"South America - Neotropics","1800","1900","US00610756_01","Isotype","1",NA
"8","2021-03-15 18:25:32-03","USP","SPF","89470","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Paralychnophora","patriciana","Paralychnophora patriciana","D.J.N.Hind","Hind, DJN; Queiroz, RF","H50967","1992","01","27","Brasil","Bahia","Abaíra","Serra ao Sul do Riacho da Taquara. Vale escarpado. Material em álcool, xiloteca, fotos.","-41.916667","-13.25","-41.916667","-13.25","Arvore até 3m. Casca +/- fissurada longitudinalmente. Folhas discolores cinzas na face inferior, verdes e brilhantes na face superior. Capítulos (em botão) verde-acinzentados escuros. Floretes lilás a alvescenter, perfumados.","SPF00089470",NA,NA,NA,NA,"1800","1900",NA,"holotype",NA,NA
"9","2019-10-07 09:11:52-03","UEFS","HUEFS","66633","PreservedSpecimen","Plantae","Angiospermae","Asteranae","Asterales","Asteraceae","Paralychnophora","patriciana","Paralychnophora patriciana","D.J.N.Hind","Stannard, B.","H51189","1992","02","05","Brasil","Bahia","Abaíra","Campo do Cigano.","-41.916667","-13.25","41W55'","13S15'","Campo rupestre","HUEFS0066633",NA,NA,NA,NA,NA,"1800","HUEFS0066633","Isoparátipo",NA,NA
"10","2019-10-07 09:11:52-03","UEFS","HUEFS","66629","PreservedSpecimen","Plantae","Angiospermae","Asteranae","Asterales","Asteraceae","Paralychnophora","patriciana","Paralychnophora patriciana","D.J.N.Hind","Hind, D.J.N.","H50967","1992","01","27","Brasil","Bahia","Abaíra","Serra ao Sul do Riacho da Taquara.","-41.916667","-13.25","41W55'","13S15'","Campo rupestre","HUEFS0066629",NA,NA,NA,NA,"1800","1900","HUEFS0066629","Isótipo",NA,NA
"11","2019-10-07 09:11:52-03","UEFS","HUEFS","66630","PreservedSpecimen","Plantae","Angiospermae","Asteranae","Asterales","Asteraceae","Paralychnophora","patriciana","Paralychnophora patriciana","D.J.N.Hind","Hind, D.J.N.","H50967","1992","01","27","Brasil","Bahia","Abaíra","Serra ao Sul do Riacho da Taquara.","-41.916667","-13.25","41W55'","13S15'","Campo rupestre","HUEFS0066630",NA,NA,NA,NA,"1800","1900","HUEFS0066630","Isótipo",NA,NA
"12","2019-10-07 09:11:54-03","UEFS","HUEFS","203474","PreservedSpecimen","Plantae","Angiospermae","Asteranae","Asterales","Asteraceae","Paralychnophora","patriciana x santosii","Paralychnophora patriciana x santosii",NA,"Loeuille, B.","327","2007","09","17","Brasil","Bahia","Catolés","Serra do Barbado.","-41.908611","-13.294722","41W54'31''","13S17'41''","Campo rupestre.","HUEFS0203474",NA,NA,NA,NA,"1700","1700","HUEFS0203474",NA,NA,NA
"13","2019-10-07 09:11:52-03","UEFS","HUEFS","66632","PreservedSpecimen","Plantae","Angiospermae","Asteranae","Asterales","Asteraceae","Paralychnophora","patriciana","Paralychnophora patriciana","D.J.N.Hind","Ganev, W.","1828","1993","07","12","Brasil","Bahia","Abaíra","Serra do Barbado, subida do Pico.","-42.316667","-13.9","42W19'","13S54'","Campo rupestre","HUEFS0066632",NA,NA,NA,NA,"1800","2000","HUEFS0066632","Isoparátipo",NA,NA
"14","2019-10-07 09:11:52-03","UEFS","HUEFS","66631","PreservedSpecimen","Plantae","Angiospermae","Asteranae","Asterales","Asteraceae","Paralychnophora","patriciana","Paralychnophora patriciana","D.J.N.Hind","Stannard, B.","H51189","1992","02","05","Brasil","Bahia","Abaíra","Campo do Cigano.","-41.916667","-13.25","41W55'","13S15'","Campo rupestre","HUEFS0066631",NA,NA,NA,NA,"1800","1800","HUEFS0066631","Isoparátipo",NA,NA
"15","2019-10-07 09:11:52-03","UEFS","HUEFS","54184","PreservedSpecimen","Plantae","Angiospermae","Asteranae","Asterales","Asteraceae","Paralychnophora","patriciana","Paralychnophora patriciana","D.J.N.Hind","Hind, D.J.N.","H50967","1992","01","27","Brasil","Bahia","Abaíra","Serra ao Sul do Riacho da Taquara.","-41.916667","-13.25","41W55'","13S15'",NA,"HUEFS0054184",NA,NA,NA,NA,"1800","1900","HUEFS0054184","Isótipo",NA,NA
"16","2019-10-07 09:11:54-03","UEFS","HUEFS","203473","PreservedSpecimen","Plantae","Angiospermae","Asteranae","Asterales","Asteraceae","Paralychnophora","patriciana","Paralychnophora patriciana","D.J.N.Hind","Loeuille, B.","329","2007","09","17","Brasil","Bahia","Catolés","Serra do Barbado.","-41.908611","-13.294722","41W54'31''","13S17'41''","Campo rupestre.","HUEFS0203473",NA,NA,NA,NA,"1700","1700","HUEFS0203473",NA,NA,NA
