"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:14-03","UNESC","CRI","11225","PreservedSpecimen","Plantae","Euphorbiaceae","Pausandra","morisiana","Pausandra morisiana","(Casar.) Radlk.","A. Korte","2010","03","19","A. Korte; A. Kniess","2231","2010","03","19","Brasil","Santa Catarina","Apiúna","Jundiá.","-49.32","-27.09","49º19'12''W","27º5'24''S","358","358","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arvoreta","CRI002489","CRI002489",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","527309","PreservedSpecimen","Plantae","Euphorbiaceae","Pausandra","megalophylla","Pausandra megalophylla","Müll.Arg.",NA,NA,NA,NA,"C. Farney","515","1984","10","19","Brazil","Rio de Janeiro","Magé","Area do C.P.R.J., Paraíso, Caminho da Canaleta, próximo a Represa","-43.0406","-22.6531",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=72939' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527309","NY00527309_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01459914","PreservedSpecimen","Plantae","Euphorbiaceae","Pausandra","megalophylla","Pausandra megalophylla","Müll.Arg.","R. de S. Secco",NA,NA,NA,"C. A. Cid Ferreira","991","1979","09","03","Brazil","Amazonas","Presidente Figueiredo","BR 174. Estrada Manaus-Caracaraí Km 97, estrada da Hidrelétrica Balbina Km 48, margem direita, próximo ao Aeroporto, mata de terra firme, solo argiloso.","-59.6161938","-2.0398073",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1324072' target='other'> <mi>dwc_moreinfo</mi></a>","NY01459914","NY01459914_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","528468","PreservedSpecimen","Plantae","Euphorbiaceae","Pausandra","morisiana","Pausandra morisiana","(Casar.) Radlk.",NA,NA,NA,NA,"W. W. Thomas","8144","1991","07","01","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231",NA,NA,NA,NA,"Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=48055' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528468","NY00528468_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-11-01 14:41:00-02","NY","NYBG","527315","PreservedSpecimen","Plantae","Euphorbiaceae","Pausandra","morisiana","Pausandra morisiana",NA,"A. M. Amorim",NA,NA,NA,"A. M. Amorim","1389","1993","09","14","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Coletas efetuadas na Picada Paralela do Rumo da Reserva","-39.08","-15.15",NA,NA,NA,NA,"Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=48026' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527315","NY00527315_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","527319","PreservedSpecimen","Plantae","Euphorbiaceae","Pausandra","morisiana","Pausandra morisiana","(Casar.) Radlk.","D. C. Daly",NA,NA,NA,"A. M. Amorim","2546","1998","09","13","Brazil","Bahia","Porto Seguro","Parque Nacional de Monte Pascoal, área limitrofe entre o Parna e a Reserva Indígena Bara Velha, da tribo Pataxó","-39.2033815","-16.8700182",NA,NA,NA,NA,"Site: MP <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=48021' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527319","NY00527319_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","95249","PreservedSpecimen","Plantae","Euphorbiaceae","Pausandra","morisiana","Pausandra morisiana","(Casar.) Radlk.","D. C. Daly; D. Witzeman",NA,NA,NA,"W. W. Thomas","11203","1996","11","11","Brazil","Bahia","Una","N edge of Una Biological Reserve, ca. 500 m N of Rio Maruim.","-39.0853","-15.1508",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=48015' target='other'> <mi>dwc_moreinfo</mi></a>","NY00095249","NY00095249_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-11-01 14:41:00-02","NY","NYBG","527327","PreservedSpecimen","Plantae","Euphorbiaceae","Pausandra","morisiana","Pausandra morisiana",NA,"S. M. Silva",NA,NA,NA,"S. M. Silva","s.n.","1992","10","11","Brazil","Paraná","Paranaguá","Morro Bento Alves, Ilha do Mel","-48.3","-25.5",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=48027' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527327","NY00527327_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","527310","PreservedSpecimen","Plantae","Euphorbiaceae","Pausandra","morisiana","Pausandra morisiana","(Casar.) Radlk.","G. L. Webster",NA,NA,NA,"S. A. Mori","9814","1978","03","21","Brazil","Bahia","Santa Cruz Cabrália","Estaçao Ecológica de Pau Brasil e arrededores, cerca de 16 km a W de Porto Seguro. Folha SE - 24 (16-39c)","-39.1815805","-16.3721094",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=48030' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527310","NY00527310_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","527317","PreservedSpecimen","Plantae","Euphorbiaceae","Pausandra","morisiana","Pausandra morisiana","(Casar.) Radlk.","W. W. Thomas",NA,NA,NA,"W. W. Thomas","8833","1991","07","01","Brazil","Bahia",NA,"7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231",NA,NA,NA,NA,"Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=48022' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527317","NY00527317_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
