"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","continentOcean","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","imagecode","typeStatus","coordinatePrecision","geoFlag"
"1","2019-08-27 13:35:52-03","IAP","PACA-AGP","88760","PreservedSpecimen","Plantae","Pteridophyta","Filicopsida","Polypodiales","Polypodiaceae","Pecluma","insularis","Pecluma insularis","(Brade) Salino","Assis, F.C","2012","10","30","R. Alves","4641","1994","07","20","Brasil","ES","Ilha da Trindade","550","550","Folhas eretas e delicadas.&nf;HASU 15154.","PACA088760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:53:33-03","UFJF","CESJ","68397","PreservedSpecimen","Plantae","Polypodiopsida",NA,NA,"Polypodiaceae","Pecluma","insularis","Pecluma insularis","(Brade) Salino","F.C. Assis","2015","01",NA,"V.A.O. Dittrich; P.P.U. Aquino; R.D. Berrêdo","1742","2011","10","24","Brasil","Espírito Santo",NA,"580","580","Terrícola em matinha aberta","CESJ068397","América do Sul","Ilha da Trindade, Trilha ao Pico do Desejado","-29.324361","-20.512056","-29.324361","-20.512056",NA,NA,NA,NA
"3","2019-11-01 15:18:08-03","UnB","UB","154693","PreservedSpecimen","Plantae","Pteridophyta",NA,NA,"Polypodiaceae","Pecluma","insularis","Pecluma insularis","(Brade) Salino","Faria, ALA","2013",NA,NA,"Faria, ALA","562","2011","03","10","Brasil","Ilha da Trindade",NA,"520","520","Dentro da Floresta de Samambaia","UB0034598","Southern America","Ilha da Trindade, Floresta de Samambaias","-29.3275","-20.521111","-29.3275","-20.521111","UB0034598",NA,NA,NA
"4","2019-11-01 15:18:08-03","UnB","UB","195932","PreservedSpecimen","Plantae","Pteridophyta",NA,NA,"Polypodiaceae","Pecluma","insularis","Pecluma insularis","(Brade) Salino","Faria, ALA","2013",NA,NA,"Faria, ALA","261A","2011","02","17","Brasil","Ilha da Trindade",NA,NA,NA,NA,"UB0034605","Southern America","Floresta de Samambaias",NA,NA,NA,NA,"UB0034605",NA,NA,NA
"5","2019-11-01 15:18:06-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Pteridophyta",NA,NA,"Polypodiaceae","Pecluma","insularis","Pecluma insularis","(Brade) Salino","Faria, ALA","2016","05","13","Mundim, JV; Mill, GN; Amorim, F; Freire, JB","582","2016","04","24","Brasil","Ilha da Trindade",NA,NA,NA,"Floresta Nebular","UB0036347","Southern America","Fazendinha","-29.19378","-20.3036","-29.19378","-20.3036","UB0036347",NA,NA,NA
"6","2019-11-01 15:18:08-03","UnB","UB","154704","PreservedSpecimen","Plantae","Pteridophyta",NA,NA,"Polypodiaceae","Pecluma","insularis","Pecluma insularis","(Brade) Salino","Faria, ALA","2013",NA,NA,"Faria, ALA","573","2011","03","10","Brasil","Ilha da Trindade",NA,"520","520","Dentro da Floresta de Samambaias","UB0034603","Southern America","Ilha da Trindade, Floresta de Samambaias","-29.3275","-20.521111","-29.3275","-20.521111","UB0034603",NA,NA,NA
"7","2019-11-01 15:18:08-03","UnB","UB","154701","PreservedSpecimen","Plantae","Pteridophyta",NA,NA,"Polypodiaceae","Pecluma","insularis","Pecluma insularis","(Brade) Salino",NA,NA,NA,NA,"Faria, ALA","570","2011","03","10","Brasil","Ilha da Trindade",NA,"520","520","Floresta de Samambaias","UB0034600","Southern America","Ilha da Trindade, Floresta de Samambaias","-29.3275","-20.521111","-29.3275","-20.521111","UB0034600",NA,NA,NA
"8","2019-11-01 15:18:08-03","UnB","UB","154745","PreservedSpecimen","Plantae","Pteridophyta",NA,NA,"Polypodiaceae","Pecluma","insularis","Pecluma insularis","(Brade) Salino","Faria, ALA","2013",NA,NA,"Faria, ALA","614","2011","03","26","Brasil","Ilha da Trindade",NA,"520","520","Epífita na Floresta de Samambaias","UB0034601","Southern America","Ilha da Trindade,pico do Desejado, Floresta de Samambaia e Fazendinha","-29.3275","-20.521111","-29.3275","-20.521111","UB0034601",NA,NA,NA
"9","2019-11-01 15:18:06-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Pteridophyta",NA,NA,"Polypodiaceae","Pecluma","insularis","Pecluma insularis","(Brade) Salino","Faria, ALA","2016","08","30","Mundim, JV; Mill, GN","598","2016","04","24","Brasil","Ilha da Trindade",NA,NA,NA,"Floresta Nebular","UB0127918","Southern America","Morro do Desejado. Oceano Atlântico","-29.323167","-20.514889","-29.323167","-20.514889","UB0127918",NA,NA,NA
"10","2019-11-01 15:18:08-03","UnB","UB","215314","PreservedSpecimen","Plantae","Pteridophyta",NA,NA,"Polypodiaceae","Pecluma","insularis","Pecluma insularis","(Brade) Salino","Faria, ALA","2015","08",NA,"Faria, ALA; Dantas, TS","1081","2015","08","08","Brasil","Ilha da Trindade",NA,"500","500",NA,"UB0031691","Southern America","Pico do Desejado","-29.195833","-20.518611","-29.195833","-20.518611","UB0031691",NA,NA,NA
