"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","phylum","order","typeStatus","continentOcean","preparationType","occurrenceRemarks","imagecode","coordinatePrecision","geoFlag","class","individualCount"
"1","2021-04-05 14:25:47-03","UNESC","CRI","13061","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.","Bloemer, HC","2015","11","19","Oliveira, A.A. de","2610","2015","10","08","Brasil","Santa Catarina","Ponte Serrada","Fazenda São Francisco. Fazenda São Francisco.","-51.969722","-26.788611","51º58'11''W","26º47'19''S","942","942","CRI011644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","250593","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.",NA,NA,NA,NA,"C. T. Rizzini","498","1949","03","13","Brazil",NA,NA,"Est. do Rio, Serra dos Orgaos, Matas do rio Jaco, sobre pedra",NA,NA,NA,NA,NA,NA,"NY00250593","Magnoliophyta","Piperales","isotype","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593913' target='other'> <mi>dwc_moreinfo</mi></a>","NY00250593_01",NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","559729","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.","T. G. Yuncker",NA,NA,NA,"P. K. H. Dusén","3710","1904","02","08","Brazil","Paraná","Ipiranga","Ypiranga, Monte Alegre","-50.5842","-25.0242",NA,NA,"800","800","NY00559729","Magnoliophyta","Piperales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593912' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559729_01",NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","776820","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzini","Peperomia rizzini","Yunck.","M. Borgo",NA,NA,NA,"M. Kaehler","65","1998","11","08","Brazil","Paraná","Morretes","Parque Estadual Pico Marumbi, Morro Facaozinho","-48.9","-25.43",NA,NA,NA,NA,"NY00776820","Magnoliophyta","Piperales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=481955' target='other'> <mi>dwc_moreinfo</mi></a>","NY00776820_01",NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","559732","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.",NA,NA,NA,NA,"G. G. Hatschbach","3909","1957","05","03","Brazil","Paraná","Foz do Iguaçu","Parque Nacional","-54.5881","-25.5481",NA,NA,NA,NA,"NY00559732","Magnoliophyta","Piperales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593917' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559732_01",NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","559731","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.",NA,NA,NA,NA,"A. C. Brade","15304","1936","05","10","Brazil","Rio de Janeiro","Petrópolis","Serra das Araras","-43.1783","-22.505",NA,NA,NA,NA,"NY00559731","Magnoliophyta","Piperales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593916' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559731_01",NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","559728","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.",NA,NA,NA,NA,"R. Kummrow","2408","1983","11","09","Brazil","Paraná","Guaratuba","Serra do Araçatuba","-48.5744","-25.8831",NA,NA,NA,NA,"NY00559728","Magnoliophyta","Piperales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593914' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559728_01",NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","559730","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.",NA,NA,NA,NA,"E. Pereira","416","1945","10","14","Brazil","Rio de Janeiro","Teresópolis","Serra dos Orgaos, Terezopolis","-43.073169","-22.496706",NA,NA,NA,NA,"NY00559730","Magnoliophyta","Piperales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593915' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559730_01",NA,NA,NA,NA
"9","2019-12-04 15:26:07-03","PUCPR","HUCP","21088","S","Plantae","Piperaceae","Peperomia","rizzinni","Peperomia rizzinni","Yunck.","Kersten, RA",NA,NA,NA,"Kersten, RA","1394","2009","10","30","Brasil","Paraná","Piraquara","Morro do Canal","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"HUCP00016363","Magnoliidae",NA,NA,NA,NA,NA,"HUCP00016363","12577","auto",NA,NA
"10","2020-10-14 10:04:40-03","FURB","FURB","10119","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.","Borgo, M","2011","05",NA,"Gasper, A.L. de","1108","2007","12","10","Brasil","Santa Catarina","Monte Castelo","Campo do Areião.","-50.3091667","-26.8222223","-50.3091667","-26.8222223","1287","1287","FURB37610",NA,NA,NA,NA,NA,"Florística IFFSC 736. Habitat: Floresta Ombrófila Mista; Estágio Avançado Habito: epífita;","FURB37610",NA,NA,NA,NA
"11","2020-10-14 10:04:40-03","FURB","FURB","25468","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.","Borgo, M","2011","05",NA,"Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","2202","2010","05","13","Brasil","Santa Catarina","Praia Grande","Serra do Faxinal.","-50.0227778","-29.1788889","-50.0227778","-29.1788889","958","958","FURB37612",NA,NA,NA,NA,NA,"Florística IFFSC e8008a (Rupícola) Habitat: Floresta Ombrófila Densa Alto Montana; Estágio Avançado; mata ciliar Habito: rupícola;","FURB37612",NA,NA,NA,NA
"12","2020-10-14 10:04:40-03","FURB","FURB","33838","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.","Borgo, M","2011","05",NA,"Dreveck, S.; Verdi, M.","2446","2010","10","11","Brasil","Santa Catarina","São Bento do Sul","Rio Vermelho Estação - APA Rio Vermelho/Humbold.","-49.2638889","-26.2705556","-49.2638889","-26.2705556","1010","1010","FURB03844",NA,NA,NA,NA,NA,"Plano de Manejo APA do Rio Vermelho/Humbold Habitat: Floresta Ombrófila Mista; Estágio Médio Habito: epífita;","FURB03844",NA,NA,NA,NA
"13","2020-10-14 10:04:40-03","FURB","FURB","47587","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.","Pastório, FF; Bloemer, HC","2015","10","19","Oliveira, A.A. de","2624","2015","09","10","Brasil","Santa Catarina","Ponte Alta","Morro do Funil.","-50.1325","-27.275","-50.1325000","-27.2750000","989","989","FURB47587",NA,NA,NA,NA,NA,NA,"FURB47587",NA,NA,NA,NA
"14","2019-11-08 08:54:47-03","FURB","FURB","48062","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.","Bloemer, HC","2015","09","30","Oliveira, A.A. de","2793","2015","09","03","Brasil","Santa Catarina","Curitibanos","Estrada do Cerrito.","-50.5808334","-27.3591667","-50.5808334","-27.3591667","962","962","FURB48062",NA,NA,NA,NA,NA,NA,"FURB48062",NA,NA,NA,NA
"15","2020-10-14 10:04:40-03","FURB","FURB","48742","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.","Bloemer, HC","2015","11","19","Oliveira, A.A. de","2610","2015","10","08","Brasil","Santa Catarina","Ponte Serrada","Fazenda São Francisco.","-51.9697223","-26.7886111","-51.9697223","-26.7886111","942","942","FURB48742",NA,NA,NA,NA,NA,NA,"FURB48742",NA,NA,NA,NA
"16","2020-12-21 16:39:32-03","MBM","MBM","427353","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.","Bloemer, H.C.","2015","09","30","Oliveira, A.A.","2793","2015","09","03","Brazil","Santa Catarina","Curitibanos","Estado do Cerrito","-50.580833","-27.359167","-50.580833","-27.359167","962","962","MBM427353",NA,NA,NA,"Southern America",NA,"Epifíta, inflorescência imatura; Floresta Ombrófila Mista. Estágio médio de regeneração. Interior da parcela.",NA,NA,NA,NA,NA
"17","2020-12-21 16:39:32-03","MBM","MBM","427578","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.","Bloemer, H.C.","2015","11","19","Oliveira, A.A.","2610","2015","10","08","Brazil","Santa Catarina","Ponte Serrada","Fazenda São Francisco","-51.969722","-26.788611","-51.969722","-26.788611","942","942","MBM427578",NA,NA,NA,"Southern America",NA,"Inflorescência imatura vermelho-claro.; Floresta Ombrófila Mista. Estágio avançado de regeneração. Sobre rocha. Interior do conglomerado.",NA,NA,NA,NA,NA
"18","2020-12-21 16:39:32-03","MBM","MBM","427578","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.","Bloemer, H.C.","2015","09","19","Oliveira, A.A.","2610","2015","10","08","Brazil","Santa Catarina","Ponte Serrada","Fazenda São Francisco","-51.969722","-26.788611","-51.969722","-26.788611","942","942","MBM427578",NA,NA,NA,"Southern America",NA,"Inflorescência imatura vermelho-claro.; Floresta Ombrófila Mista. Estágio avançado de regeneração. Sobre rocha, interior do conglomerado.",NA,NA,NA,NA,NA
