"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00957502","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","macedoi","Piper macedoi","Yunck.","T. G. Yuncker","E. P. Heringer","8440","1961","06","20","South America","Brazil","Distrito Federal","Brasília","Fundaçao Zoobotânica","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1097517' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957502","NY00957502_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00957501","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","macedoi","Piper macedoi","Yunck.","T. G. Yuncker","E. P. Heringer","8294","1961","05","04","South America","Brazil","Distrito Federal","Brasília","Horto do Guará.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1097514' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957501","NY00957501_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00957500","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","macedoi","Piper macedoi","Yunck.","T. G. Yuncker","Gomes","941","1960","05","28","South America","Brazil","Goiás",NA,"perto de Brasília, Convenio Florestal.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1097507' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957500","NY00957500_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","556852","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","macedoi","Piper macedoi","Yunck.","T. G. Yuncker","J. Santoro","10462","1949","04","27","South America","Brazil","São Paulo","Campinas","Campinas","-47.039738","-22.887661","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=611372' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556852","NY00556852_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","251390","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","macedoi","Piper macedoi longispicum","Yunck.","T. G. Yuncker","Y. E. J. Mexia","5859","1931","05","19","South America","Brazil","Minas Gerais","Diamantina","Barao: border ditch in town","-43.6003","-18.2494","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=580262' target='other'> <mi>dwc_moreinfo</mi></a>","NY00251390","NY00251390_01","longispicum","isotype","1180","1180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00957504","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","macedoi","Piper macedoi","Yunck.","R. Callejas Posada","H. S. Irwin","5426","1964","08","21","South America","Brazil","Distrito Federal","Brasília","Ca. 25 km E. of Brasília.","-47.78","-15.63","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1097521' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957504","NY00957504_01",NA,NA,"700","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","251458","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","macedoi","Piper macedoi","Yunck.",NA,"A. Macedo","1257","1948",NA,NA,"South America","Brazil","Minas Gerais","Ituiutaba","Ituiutaba","-49.465","-18.9692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=611376' target='other'> <mi>dwc_moreinfo</mi></a>","NY00251458","NY00251458_01",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","251457","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","macedoi","Piper macedoi","Yunck.",NA,"A. Macedo","3364","1951","07","25","South America","Brazil","Goiás","Jataí","Balsano","-51.7142","-17.8817","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=611375' target='other'> <mi>dwc_moreinfo</mi></a>","NY00251457","NY00251457_01",NA,"possible type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00957503","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","macedoi","Piper macedoi","Yunck.","R. Callejas Posada","G. T. Prance","58597","1964","08","08","South America","Brazil","Maranhão",NA,"Road Carolina to Estreita, km. 50.","-47.463691","-6.929966","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1097518' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957503","NY00957503_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00556850","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","macedoi","Piper macedoi","Yunck.","T. G. Yuncker","W. A. Archer","s.n.","1936","09","05","South America","Brazil","Mato Grosso do Sul","Sidrolandia","Capao Bonito","-54.9614","-20.9319","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=611374' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
