"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","class","order","typeStatus","individualCount"
"1","2020-12-22 17:47:43-03","UFJF","CESJ","61280","PreservedSpecimen","Plantae","Polypodiopsida","Polypodiaceae","Pleopeltis","trindadensis","Pleopeltis trindadensis","(Brade) Salino","V.A.O. Dittrich","2011","10","V.A.O. Dittrich; P.P.U. Aquino; R.D. Berrêdo","1739","2011","10","24","América do Sul","Brasil","Espírito Santo","Ilha da Trindade","-29.323361","-20.51525","-29.323361","-20.51525","437","437","Terrícola em área de vegetação campestre. Ob.: mat. em sílica-gel.","CESJ061280,FVD00014","FVD00014_v1 FVD00014_v2 FVD00014_v3 FVD00014_v4",NA,NA,NA,NA,NA,NA,NA
"2","2019-06-27 10:26:26-03","UFES","VIES","11255","S","Plantae",NA,"Polypodiaceae","Pleopeltis","trindadensis","Pleopeltis trindadensis","(Brade) Salino",NA,"2017",NA,"Gomes, J.M.L.; et al.","17353","1992","01","23",NA,"Brasil","Espírito Santo","Ilha de Trindade - Pico do Desejado.","-40.3377990722656","-20.3194007873535",NA,NA,NA,NA,NA,"VIES011255","VIES011255","Vitória","15291","auto",NA,NA,NA,NA
"3","2019-06-27 10:26:26-03","UFES","VIES","11258","S","Plantae",NA,"Polypodiaceae","Pleopeltis","trindadensis","Pleopeltis trindadensis","(Brade) Salino",NA,"2017",NA,"Gomes, J.M.L.","1735","1992","01","23",NA,"Brasil","Espírito Santo","Ilha de Trindade. Restinga.","-40.3377990722656","-20.3194007873535",NA,NA,NA,NA,NA,"VIES011258","VIES011258","Vitória","15291","auto",NA,NA,NA,NA
"4","2020-12-21 16:41:48-03","MBM","MBM","393186","PreservedSpecimen","Plantae",NA,"Polypodiaceae","Pleopeltis","trindadensis","Pleopeltis trindadensis","(Brade) Salino","Dittrich, V.A.O.","2011","10","Dittrich, V.A.O.; Aquino, P.P.U.; Berrêdo, R.D.; Aquino, P.P.U.; Berrêdo, R.D.","1739","2011","10","24","Southern America","Brazil","Espírito Santo",NA,"-29.323333","-20.515278","-29.323333","-20.515278","437","437","Terrícola.; Em área de vegetação campestre.","MBM393186","MBM393186","Ilha da Trindade",NA,NA,NA,NA,NA,NA
"5","2020-09-04 16:38:11-03","FVD","FVD","14","MachineObservation","Plantae",NA,"Polypodiaceae","Pleopeltis","trindadensis","Pleopeltis trindadensis","(Brade) Salino","V.A.O. Dittrich","2011","10",NA,NA,"2011","10","24",NA,"Brasil","Espírito Santo","Ilha da Trindade","-29.323333","-20.515278","29°19'24W","20°30'55S","440","440","Terrícola em área de vegetação campestre. Altitude aproximada.; Domínio fitogeográfico: ?; Vegetação: Vegetação rupestre","FVD00014","FVD00014_v1 FVD00014_v2 FVD00014_v3 FVD00014_v4","Vitória",NA,NA,NA,NA,NA,NA
"6","2019-01-23 10:17:49-02","F","FMNH-PTERIDOPHYTES","V0075808F","PreservedSpecimen","Plantae","Pteridophyta","Polypodiaceae","Polypodium","trindadense","Polypodium trindadense","Brade",NA,NA,NA,"C. Porto","585","1917","1","14","South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"V0075808F","V0075808F_01",NA,NA,NA,"Pteridopsida","Polypodiales","Isotype",NA
"7","2020-09-12 05:00:02-03","US","US","2543436","PreservedSpecimen","Plantae",NA,"Polypodiaceae","Pleopeltis","trindadensis","Pleopeltis trindadensis","(Brade) Salino",NA,NA,NA,"W. Cuyler","4754","1925","1","26","South America - Neotropics","Brazil","Espirito Santo","Cascade Valley, Trindade and Martin Vaz, Southern Atlantic Ocean",NA,NA,NA,NA,"200","1700",NA,"US01600134","US01600134_01",NA,NA,NA,"Pteridophyte","Polypodiales",NA,"1"
"8","2020-09-12 05:00:02-03","US","US","1230467","PreservedSpecimen","Plantae",NA,"Polypodiaceae","Pleopeltis","trindadensis","Pleopeltis trindadensis","(Brade) Salino",NA,NA,NA,"J. Domingos","s.n.","1916","10","18","South America","Brazil",NA,"Ilha da Pruidade [interpreted]",NA,NA,NA,NA,NA,NA,NA,"US01600133","US01600133_01",NA,NA,NA,"Pteridophyte","Polypodiales",NA,"1"
"9","2019-11-07 11:19:06-03","UFMG","BHCB-SL","165007","PreservedSpecimen","Plantae",NA,"Polypodiaceae","Pleopeltis","trindadensis","Pleopeltis trindadensis","(Brade) Salino","Dittrich, VAO","2011","10","Dittrich, VAO; Aquino, PPU; Berredo, RD","1739","2011","10","24","América","Brasil","Espírito Santo","Ilha da Trindade","-29.323333","-20.515278","-29.323333","-20.515278","437","437","Terrícola em área de vegetação campestre. OBS. mat. em silica-gel.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-01 15:18:08-03","UnB","UB","154697","PreservedSpecimen","Plantae","Pteridophyta","Polypodiaceae","Pleopeltis","trindadensis","Pleopeltis trindadensis","Salino","Faria, ALA","2011",NA,"Faria, ALA","566","2011","03","10","Southern America","Brasil","Ilha da Trindade","Ilha da Trindade, Floresta de Samambaias","-29.3275","-20.521111","-29.3275","-20.521111","520","520","Floresta de Samambaias","UB0034581","UB0034581",NA,NA,NA,NA,NA,NA,NA
"11","2019-11-01 15:18:08-03","UnB","UB","154698","PreservedSpecimen","Plantae","Pteridophyta","Polypodiaceae","Pleopeltis","trindadensis","Pleopeltis trindadensis","Salino","Faria, ALA","2011",NA,"Faria, ALA","567","2011","03","10","Southern America","Brasil","Ilha da Trindade","Ilha da Trindade, Floresta de Samambaias","-29.3275","-20.521111","-29.3275","-20.521111","520","520","Floresta de Samambaias","UB0034582","UB0034582",NA,NA,NA,NA,NA,NA,NA
"12","2019-11-01 15:18:08-03","UnB","UB","154706","PreservedSpecimen","Plantae","Pteridophyta","Polypodiaceae","Pleopeltis","trindadensis","Pleopeltis trindadensis","Salino","Faria, ALA","2011",NA,"Faria, ALA","575","2011","03","10","Southern America","Brasil","Ilha da Trindade","Ilha da Trindade, Floresta de Samambaias","-29.3275","-20.521111","-29.3275","-20.521111","520","520","Dentro da Floresta de Samambaias","UB0034588","UB0034588",NA,NA,NA,NA,NA,NA,NA
"13","2019-11-01 15:18:08-03","UnB","UB","154678","PreservedSpecimen","Plantae","Pteridophyta","Polypodiaceae","Pleopeltis","trindadensis","Pleopeltis trindadensis","Salino","Faria, ALA","2011",NA,"Faria, ALA","516","2011","03","10","Southern America","Brasil","Ilha da Trindade","Ilha da Trindade, Floresta de Samambaias","-29.3275","-20.521111","-29.3275","-20.521111","520","520","Rocha, platô do pico do Desejado","UB0034585","UB0034585",NA,NA,NA,NA,NA,NA,NA
"14","2019-11-01 15:18:08-03","UnB","UB","154682","PreservedSpecimen","Plantae","Pteridophyta","Polypodiaceae","Pleopeltis","trindadensis","Pleopeltis trindadensis","Salino","Faria, ALA","2011",NA,"Faria, ALA","520","2011","03","10","Southern America","Brasil","Ilha da Trindade","Ilha da Trindade, Floresta de Samambaias","-29.3275","-20.521111","-29.3275","-20.521111","520","520","Solo","UB0034584","UB0034584",NA,NA,NA,NA,NA,NA,NA
"15","2019-11-01 15:18:08-03","UnB","UB","154696","PreservedSpecimen","Plantae","Pteridophyta","Polypodiaceae","Pleopeltis","trindadensis","Pleopeltis trindadensis","Salino","Faria, ALA","2011",NA,"Faria, ALA","565","2011","03","10","Southern America","Brasil","Ilha da Trindade","Ilha da Trindade, Floresta de Samambaias","-29.3275","-20.521111","-29.3275","-20.521111","520","520","Floresta de Samambaias","UB0034587","UB0034587",NA,NA,NA,NA,NA,NA,NA
"16","2021-02-23 13:23:03-03","MN","R-TIPOS","4887b","PreservedSpecimen","Plantae",NA,"Polypodiaceae","Polypodium","trindadense","Polypodium trindadense","Brade",NA,NA,NA,"Domingos, J.S.","s.n.","1916","10","18",NA,"Brasil","Espírito Santo","Ilha da Trindade","-40.3377990722656","-20.3194007873535",NA,NA,NA,NA,NA,"R000004887b","R000004887b_001","Vitória","15291","auto",NA,NA,"Isoparatypus",NA
"17","2021-02-23 13:23:03-03","MN","R-TIPOS","4887a","PreservedSpecimen","Plantae",NA,"Polypodiaceae","Polypodium","trindadense","Polypodium trindadense","Brade",NA,NA,NA,"Domingos, J.S.","s.n.","1916","10","18",NA,"Brasil","Espírito Santo","Ilha da Trindade","-40.3377990722656","-20.3194007873535",NA,NA,NA,NA,NA,"R000004887a","R000004887a_001","Vitória","15291","auto",NA,NA,"Isoparatypus",NA
"18","2021-02-23 13:23:03-03","MN","R-TIPOS","4887c","PreservedSpecimen","Plantae",NA,"Polypodiaceae","Polypodium","trindadense","Polypodium trindadense","Brade",NA,NA,NA,"Domingos, J.S.","s.n.","1916","10","18",NA,"Brasil","Espírito Santo","Ilha da Trindade","-40.3377990722656","-20.3194007873535",NA,NA,NA,NA,NA,"R000004887c","R000004887c_001","Vitória","15291","auto",NA,NA,"Isoparatypus",NA
"19","2021-02-23 13:23:03-03","MN","R-TIPOS","4887","PreservedSpecimen","Plantae",NA,"Polypodiaceae","Polypodium","trindadense","Polypodium trindadense","Brade",NA,NA,NA,"Domingos, J.S.","s.n.","1916","10","18",NA,"Brasil","Espírito Santo","Ilha da Trindade","-40.3377990722656","-20.3194007873535",NA,NA,NA,NA,NA,"R000004887","R000004887_001","Vitória","15291","auto",NA,NA,"Paratypus",NA
