"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","preparationType","previousCatalogNumber","barcode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","phylum","order","scientificNameAuthorship","imagecode","fieldNumber","verbatimLongitude","verbatimLatitude","class"
"1","2019-06-10 10:10:28-03","FZB-BH","CVJBFZB","4532","S","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","Carlos Alberto Ferreira Júnior","2018","01","28","Carlos Alberto Ferreira Junior; Lucas Assis e Kelen Soares","2018","01","27","Brasil","MG","Santana do Riacho","Serra do Cipó, Fazenda Alto Palácio","-43.7144012451172","-19.1688995361328","26557","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:27-03","E","E","127648","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis",NA,NA,NA,NA,"Semir, J., Satima, M. & Guilietti, A.M.","1973","09","07","BR","Minas Gerais",NA,"Serra do Cipó; Município de Jaboticatubas: km 117 ao longo da rodovia Lagoa Santa - ConceiçÆo do Mato Dentro",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00127648 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"4380","E. Tropical South America","herbarium specimen of unspecif","BGBASE:136638","E00127648",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:42:27-03","E","E","219746","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis",NA,NA,NA,NA,"Irwin, H.S., Souza, R. & Dos Santos, R.Reis","1965","10","20","BR","Goias",NA,"Chapada dos Veadeiros, ca 13 km north-west of Veadeiros",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00219746 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"9345","E. Tropical South America","herbarium specimen of unspecif","BGBASE:230114","E00219746","paratype","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:42:27-03","E","E","127647","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis",NA,NA,NA,NA,"Semir, J. & Lima, D.A.","1973","12","10","BR","Minas Gerais",NA,"Serra do Cipó; Município de Jaboticatubas: km 127-128 ao longo da rodovia Lagoa Santa - ConceiçÆo do Mato Dentro",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00127647 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"4833","E. Tropical South America","herbarium specimen of unspecif","BGBASE:136633","E00127647",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","498526","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","E. A. Cope",NA,NA,NA,"P. K. H. Dusén","1909","01","07","Brazil","Paraná","Piraquara","Roça Nova","-49.0631","-25.4419",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499685' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"7502","South America","sheet",NA,"NY00498526",NA,NA,NA,"Pinophyta","Podocarpales","de Laub.","NY00498526_01",NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","872443","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","J. Silba",NA,NA,NA,"E. P. Heringer","1975","07","28","Brazil","Distrito Federal","Brasília","Parque do Guará.","-47.9294","-15.7797",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945017' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"15393","South America","sheet",NA,"NY00872443",NA,NA,NA,"Pinophyta","Podocarpales","de Laub.","NY00872443_01",NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","872444","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","J. Silba",NA,NA,NA,"B. Maguire","1963","09","02","Brazil","Mato Grosso",NA,"215 km west of Rio Juruena. Brasilia-Acre Highway.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945020' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"56518","South America","sheet",NA,"NY00872444",NA,NA,NA,"Pinophyta","Podocarpales","de Laub.","NY00872444_01",NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","872445","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","J. Silba",NA,NA,NA,"H. S. Irwin","1965","10","20","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 13 km N.W. of Veadeiros","-47.60183","-14.03362",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945022' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"9345","South America","sheet",NA,"NY00872445",NA,"1200","1200","Pinophyta","Podocarpales","de Laub.","NY00872445_01",NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","872442","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","J. Silba",NA,NA,NA,"E. P. Heringer","1979","02","28","Brazil","Distrito Federal","Brasília","SQS - 308.","-47.9294","-15.7797",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945014' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"17218","South America","sheet",NA,"NY00872442",NA,NA,NA,"Pinophyta","Podocarpales","de Laub.","NY00872442_01",NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1352","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis",NA,NA,NA,NA,"E. P. Heringer","1961","03","02","Brazil","Distrito Federal","Brasília","Horto do Guará, Brasilia","-47.9294","-15.7797",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499687' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"8034","South America","sheet",NA,"NY00001352","holotype",NA,NA,"Pinophyta","Podocarpales","de Laub.","NY00001352_01",NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","872446","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","J. Silba",NA,NA,NA,"W. R. Anderson","1973","03","06","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 20 km by road N of Alto Paraíso","-47.5167","-13.9376",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945025' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"6493","South America","sheet",NA,"NY00872446",NA,"1600","1600","Pinophyta","Podocarpales","de Laub.","NY00872446_01",NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","498527","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","J. Silba",NA,NA,NA,"J. A. Steyermark","1960","04","14","Venezuela","Bolívar",NA,"Cerro Venamo: northwest slopes, between road campamento 125 and beginning of dwarf forest above sandstone bluffs above waterfall",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499686' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"140","South America","sheet",NA,"NY00498527",NA,"1100","1300","Pinophyta","Podocarpales","de Laub.",NA,NA,NA,NA,NA
"13","2021-04-08 17:44:35-03","EAO","IAN","XILO6309X","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis",NA,NA,NA,NA,"Paula, JE de","1999","07","05","Brasil","Amazonas","São Gabriel da Cachoeira","Serra da Neblina, Mata ciliar do Córrego dos Macacos","-67.0892028808594","-0.130278006196022","377621",NA,NA,"auto","3140","Southern America",NA,NA,"IANXILO6309X",NA,NA,NA,"Gimnosperma",NA,"de Laub.",NA,NA,NA,NA,NA
"14","2021-04-08 17:44:35-03","EAO","IAN","XILO6309X","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis",NA,NA,NA,NA,"Paula, JE de","1999","07","05","Brasil","Amazonas","São Gabriel da Cachoeira","Serra da Neblina, Mata ciliar do Córrego dos Macacos","-67.0892028808594","-0.130278006196022","377621",NA,NA,"auto","3140","Southern America",NA,NA,"IANXILO6309X",NA,NA,NA,"Gimnosperma",NA,"de Laub.",NA,NA,NA,NA,NA
"15","2021-03-01 16:43:31-03","UNICAMP","UEC","127811","S","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","Pereira, BAS","1999","01","08","Pereira, BAS; Alvarenga, D; Cardoso, E; Aparecida da Silva, M","1999","01","08","Brazil","Distrito Federal","Brasília","Reserva do Guará, Setor de Industria e Abastecimento.","-47.9296989440918","-15.7797002792358","70570",NA,"Árvore dióca, até 5m de altura. Copa aberta piramidal. Ramos roliços, estriados, esverdeados quando jovens, pardo-acastanhados quando maduro. Tronco ereto, levemente cônico, casca externa pardo-acinzetada, superficialmente fissurada es","auto","3460",NA,NA,NA,"UEC062532",NA,"1100","1100","Pinopsida",NA,"de Laub.","UEC062532",NA,NA,NA,NA
"16","2020-10-01 14:14:49-03","JBB","HEPH","15484","S","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","Salles, AEH",NA,NA,NA,"Jesus, FPR de","2000","05","27","Brasil","Distrito Federal","Guará","Parque do Guará nos fundos do Setor de Indústria",NA,NA,NA,NA,"Fruto megaestrobilo verde-imaturo. Planta feminina. Relevo: baixada, c/grau de inclinação muito alto",NA,"46","Southern America",NA,NA,NA,NA,NA,NA,NA,"Cupressales","Laubenf.",NA,NA,NA,NA,NA
"17","2020-10-01 14:14:49-03","JBB","HEPH","347","S","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis",NA,NA,NA,NA,"Heringer, EP","1961","03","02","Brasil","Distrito Federal","Guará","Rebio do Guará, Antigo Horto do Guará",NA,NA,NA,NA,NA,NA,"8034","Southern America",NA,NA,NA,"isotype",NA,NA,NA,"Cupressales","Laubenf.",NA,NA,NA,NA,NA
"18","2008-05-27 22:02:00-03","MO","MOBOT","698304","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","D.J. de Laubenfels",NA,NA,NA,"Julian A. Steyermark|George S. Bunting","1970","5","4","Venezuela","Amazonas",NA,"Cerro Yapacana, alrededores del campamento a lo largo del rio en las faldas en la parte suroeste.","-66.75","3.75",NA,NA,NA,NA,"Steyermark 103079","South America",NA,NA,NA,NA,"825.00000000",NA,NA,NA,"de Laub.",NA,NA,NA,NA,NA
"19","2011-01-05 11:48:00-02","MO","MOBOT","698366","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","A. Farjon (K)",NA,NA,NA,"William R. Anderson|et al.","1973","3","7","Brazil","Goiás",NA,"Ca 3 km E of Alto Paraíso on road to Nova Roma; Mesophytic forest along river and drier hillside with cerrado above the river.",NA,NA,NA,NA,NA,NA,"Anderson 6602","South America",NA,NA,NA,NA,"1350.00000000",NA,NA,NA,"de Laub.",NA,NA,NA,NA,NA
"20","2011-01-05 11:49:00-02","MO","MOBOT","698399","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","A. Farjon (K)",NA,NA,NA,"William R. Anderson|M.T. Stieber|Joseph H. Kirkbride, Jr.","1972","2","18","Brazil",NA,NA,"Serra do Cipo, rocky campo and cerrado, sloping down to wet-sand meadow adjaacent to gallery forest along stream; sandy soil and sandstone outcrops.",NA,NA,NA,NA,NA,NA,"Anderson 36184","South America",NA,NA,NA,NA,"1225.00000000",NA,NA,NA,"de Laub.",NA,NA,NA,NA,NA
"21","2012-04-19 16:17:00-03","MO","MOBOT","698962","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","D.J. de Laubenfels",NA,NA,NA,"Howard S. Irwin|et al.","1971","3","21","Brazil","Goiás",NA,"Chapada dos Veadeiros. Cerrado on sandstone outcrops with adjacent wet campo (brejo), ca 20 km N of Alto do Paraiso.",NA,NA,NA,NA,NA,NA,"Irwin 32840","South America",NA,NA,NA,NA,"1250.00000000",NA,NA,NA,"de Laub.",NA,NA,NA,NA,NA
"22","2012-04-19 15:53:00-03","MO","MOBOT","698991","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","D.J. de Laubenfels",NA,NA,NA,"Howard S. Irwin|et al.","1971","1","24","Brazil","Minas Gerais",NA,"Margin of riacho, among rocks. Cerrado, sedge meadow (brejo), sandstone outcrops, and gallery forest, ca 10 km W of Barão de Cocais, gray sandy soil.",NA,NA,NA,"1",NA,NA,"Irwin 29015","South America",NA,NA,NA,NA,"1500.00000000",NA,NA,NA,"de Laub.",NA,NA,NA,NA,NA
"23","2014-09-11 10:14:00-03","MO","MOBOT","698333","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","D.J. de Laubenfels",NA,NA,NA,"Gerrit Davidse|Ángel C. González","1981","12","2","Venezuela","Anzoátegui","Pedro María Freites","Cerro Peonía, above Los Pajaritos; 31 airline km NE of Bergantín and N of Mundo Nuevo, Serranía de Turimiquire.","-64.1","10.1",NA,"1",NA,NA,"Davidse 19975","South America",NA,NA,NA,NA,NA,NA,NA,NA,"de Laub.",NA,"1440",NA,NA,NA
"24","2015-05-20 10:36:54-03","UFERSA","MOSS","11002","S","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","Salles, A.H.","2000","05","27","Jesus, F.P.R. de","2000","05","27","Brasil","Distrito Federal","Brasília","Parque do Guara, nos fundos do Setor de Industria - DF.","-47.9297","-15.7797","70570",NA,"árvore 2m; coletada na mata de galeria, rara; relevo baixada com grau de inclinação muito alto; fruto megaestrobilo verde, inaturo; planta feminina.","auto","46","América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,"Laubenfel.",NA,NA,NA,NA,NA
"25","2020-08-31 09:18:29-03","INPA","INPA","83054","S","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","Farjon, A","2010",NA,NA,"Anderson, WR","1973","03","07","Brasil","Goiás",NA,"Chapada dos Veadeiros, ca. 3 km E of Alto Paraíso on road to Nova Roma. Mesophytic forest along river and drier hillside with cerrado above the river.","-47.4976","-14.0977",NA,NA,NA,NA,"6602","Southern America",NA,NA,"INPA0083054",NA,"1350","1350","Gymnosperm","Araucariales","Laubenf.","INPA0083054 INPA0083054_e",NA,"-47.4976","-14.0977",NA
"26","2021-02-12 10:55:05-03","UFG","UFG","46492","S","Plantae","Podocarpaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis","Lauredenfels, D.","2000","12","30","Pereira, B.A.S.; Alvarenga, D.","1996","07","02","Brasil","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros","-47.333333","-13.833333",NA,NA,"Arbusto ca. de 2,0 metros de altura. Estéril. Campo rupestre.",NA,"3108",NA,NA,NA,"UFG0046492",NA,"1100","1100",NA,NA,"Laub.",NA,NA,"-47.333333","-13.833333",NA
"27","2020-09-12 05:00:02-03","US","US","2400130","PreservedSpecimen","Plantae","Taxaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis",NA,NA,NA,NA,"J. A. Steyermark","1960","4","14","Venezuela","Bolívar",NA,"Cerro Venamo: NW slopes, between road campamento 125 and beginning of forest","-61.4","5.86",NA,"1",NA,NA,"60 140","South America - Neotropics",NA,NA,"US00880283",NA,"1100","1300",NA,"Taxales","de Laub.",NA,NA,NA,NA,"Gymnospermae"
"28","2020-09-12 05:00:02-03","US","US","2925716","PreservedSpecimen","Plantae","Taxaceae","Podocarpus","brasiliensis","Podocarpus brasiliensis",NA,NA,NA,NA,"J. A. Steyermark & G. S. Bunting","1970","5","4","Venezuela","Amazonas",NA,"Cerro Yapacána, alrededores del Campamento; en al parte suroeste","-66.75","3.75",NA,"1",NA,NA,"103079","South America - Neotropics",NA,NA,"US00880281",NA,"825",NA,NA,"Taxales","de Laub.",NA,NA,NA,NA,"Gymnospermae"
