"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","individualCount","occurrenceRemarks","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","barcode","imagecode","year","month","day","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","typeStatus","class","minimumElevationInMeters","relatedCatalogItem"
"1","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","353","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Portea","kermesina","Portea kermesina","K.Koch","Elton. C. M. Leme","2009","05","3","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02103723","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Portea","kermesina","Portea kermesina","K.Koch","H. E. Luther",NA,NA,NA,"Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=472304' target='other'> <mi>dwc_moreinfo</mi></a>","A. M. V. de Carvalho","3680","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7.3 km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz.","-39.0617","-14.4231","sheet","NY02103723","NY02103723_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","495347","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Portea","kermesina","Portea kermesina","K.Koch","H. E. Luther",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=174023' target='other'> <mi>dwc_moreinfo</mi></a>","J. G. Jardim","250","South America","Brazil","Bahia","Ilhéus","5 a 6 km SW de Olivença na estrada que liga Olivença ao povoado do Maruim","-39.04","-14.78","sheet","NY00495347","NY00495347_01","1993","07","29",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:29:40-03","UFRJ","RFA","28162","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Portea","kermesina","Portea kermesina","K.Koch","L.O.F. Souza; L.M. Versieux","2003","05",NA,"Epífita, não muito comum no local. Inflorescência passada verde alvacenta","T. Wendt; G.K. Brown; A.P.G. Faria; L.O.F. Souza; J.L. Paixão","456",NA,"Brasil","Bahia","Ituberá","Às margens da estrada que leva para a Praia de Pratigi","-39.061944","-13.686111",NA,"RFA51200",NA,"2003","03","27","27","39º3'43''W","13º41'10''S",NA,NA,NA,NA,NA,NA
"5","2021-03-31 13:36:31-03","MN","R","193541","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Portea","kermesina","Portea kermesina","K. Koch","Coffani-Nunes, J.V.","2004","04",NA,"De acordo com a bibliografia a espécie tem sua origem na mata atlântica da Bahia. Registrada em cultivo como BRS 96.","Muniz, R.A.","s/n",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Guaratiba","-43.2075004577637","-22.9027996063232",NA,"R010006804",NA,"1998","06","16","27",NA,NA,"57442","auto",NA,NA,NA,NA
"6","2015-09-04 16:52:55-03","MNHN","RECOLNAT_MNHN_P","P00753452","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Portea","kermesina","Portea kermesina","Brongn. ex K.Koch",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00753452' target='other'> <mi>dwc_moreinfo</mi></a>","s.c.",NA,NA,"Brésil",NA,NA,NA,NA,NA,"hb","P00753452","P00753452_01","1868",NA,NA,NA,NA,NA,NA,NA,"type",NA,NA,NA
"7","2020-09-25 10:42:48-03","UFPE","UFP","32457","PreservedSpecimen","Plantae",NA,"Pales","Bromeliaceae","Portea","kermesina","Portea kermesina","Brongn. ex K. Koch","Coffani-Nunes, JV","2002","07",NA,"Folhas com 50X5,5cm, bainha foliar com 13,5X10cm com máculas vináceas. Inflorescência também vináce com 69cm comp., ramificada, tortuosa. Flores amarelas. Material cultivado no Bromeliário Biouniverso sob nº184.; Folhas com 50X5,5cm, b","Siqueira-Filho, JA","1186",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"UFP032457",NA,"2001","11","02","26",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","3351345","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Portea","kermesina","Portea kermesina","Brongn. ex K. Koch",NA,NA,NA,"1",NA,"W. Thomas, A. M. Carvalho, A. Amorim, T. S. Santos & S. Sant'Ana","10555","South America - Neotropics","Brazil","Bahia",NA,"Mun. Ilhéus. Cidade de Ilhéus, 3 km north of Rodoviaria, Mata da Esperança, forest north of dam and reservoir. Southern Bahian wet forest.","-39.0692","-14.7819",NA,NA,NA,"1994","9","19",NA,NA,NA,NA,NA,NA,"Monocotyledonae","50",NA
"9","2020-09-12 05:00:02-03","US","US","2504087","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Portea","kermesina","Portea kermesina","Brongn. ex K. Koch",NA,NA,NA,"1",NA,"R. Belém & R. S. Pinheiro","2077","South America - Neotropics","Brazil","Bahia",NA,"Maraú, (Ba). Mata costeira.",NA,NA,NA,NA,NA,"1966","5","6",NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA
"10","2020-09-12 05:00:02-03","US","US","2979042","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Portea","kermesina","Portea kermesina","Brongn. ex K. Koch",NA,NA,NA,"1",NA,"S. A. Mori, A. M. Carvalho, L. A. Mattos Silva, T. S. Santos & A. Ribeiro","11946","South America - Neotropics","Brazil","Bahia",NA,"Região Cacaueira da Bahia. Município de Maraú. Rod. BR 030, trecho Ubaita ba/Maraú, 45-50 km a leste de Ubaitaba. Restinga e Campos Naturais.","-39.02","-14.18",NA,NA,NA,"1979","6","12",NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA
