"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","individualCount","verbatimLongitude","verbatimLatitude","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00860057","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D.Penn.","T. D. Pennington","R. Vilhena","995","1983","03","14","South America","Brazil","Maranhão","Estrada a 22 km. da cidade do Arame.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961840' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860057","NY00860057_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00860059","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D.Penn.","T. D. Pennington","D. C. Daly","D564","1980","10","10","South America","Brazil","Maranhão","Approx. 40 km E of Barra do Corda toward Presidente Dutra.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961851' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860059","NY00860059_01","Barra do Corda","-44.92","-5.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00860061","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D.Penn.","T. D. Pennington","E. L. Taylor","E1312","1983","04","22","South America","Brazil","Maranhão","Mondelandia (42 km N from BR 226 on road that starts E of Grajau); land of Senhor Baltazar, 5 km S of town.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961871' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860061","NY00860061_01","Grajaú","-46.18","-5.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00860054","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D.Penn.","T. D. Pennington","G. E. Schatz","784","1983","03","02","South America","Brazil","Maranhão","Cachoerinha, 57 km SSW of Barra do Corda, along the Rio Corda","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961820' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860054","NY00860054_01","Barra do Corda","-45.37","-5.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00860056","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D.Penn.","T. D. Pennington","N. A. Rosa","641","1983","02","21","South America","Brazil","Maranhão","Lugar Caiçara, a 15 km SE de Fortuna.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961829' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860056","NY00860056_01","Fortuna","-44.05","-5.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00860062","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D.Penn.","T. D. Pennington","R. de Lemos Fróes","24284","1949","05","14","South America","Brazil","Maranhão","Rio Anil.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961933' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860062","NY00860062_01","São Luís","-44.265318","-2.533945",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00860063","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D.Penn.","T. D. Pennington","R. de Lemos Fróes","11750","1939","02",NA,"South America","Brazil","Maranhão","Island of Sao Luiz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961937' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860063","NY00860063_01","São Luís","-44.201115","-2.577323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00860053","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D.Penn.","T. D. Pennington","G. E. Schatz","923","1983","03","13","South America","Brazil","Maranhão","52 km S of Arame and 78 km N of Grajaú along highway 006","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961809' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860053","NY00860053_01","Grajaú","-46.2","-5.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00860060","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D.Penn.","T. D. Pennington","E. L. Taylor","E1094","1983","03","26","South America","Brazil","Maranhão","Fazenda Cacique, entrance 83 km. W of Santa Inez and 13 km. E of Entrocamento on BR 222; basecamp 30 km. N, NE from entrance on unpaved road to Rio Pindare","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961862' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860060","NY00860060_01","Santa Luzia","-46.07","-3.83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:49:30-03","EAO","IAN","43220","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D. Penn.","Pennington, TD","Fróes, RL","24284","1949","05","14","Southern America","Brasil","Maranhão","Rio Anil; high land, secondary forest.",NA,"Tree, 6 meters.","IAN043220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 09:04:34-03","NBC","NL-BOTANY","U.1731113","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D.Penn.",NA,"Fróes RL",NA,"1939","02","01","Southern America","Brazil",NA,"Terra firme, Virgin forest, State of Maranhao, Island of Sao Luiz.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1731113 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1731113","NL-U1731113",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-02 11:40:59-03","UFPI","TEPB","1960","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata",NA,"Alves-Araújo, A.","DEL' ARCO, M. R.",NA,"1985","07","17",NA,"Brasil","Piauí",NA,NA,NA,NA,NA,"Bom Jesus","-44.3586006164551","-9.07444000244141",NA,"2009","11","17","107707","auto",NA,NA,NA,NA,NA,NA
"13","2019-02-15 11:50:23-02","IPA","IPA","29100","S","Plantae","Plantae",NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D. Penn.","Alves-Araújo, A.","Emperaire, L.","471","1979",NA,NA,"Southern America","Brasil","Piauí","Serra da Capivara",NA,NA,"IPA0029100",NA,NA,NA,NA,NA,"2009","07","22",NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-02-15 11:50:23-02","IPA","IPA","87162","S","Plantae","Plantae",NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D. Penn.","Cano, O.; Alcina Viana","Barros, R.; et al.; et al.","2989","2007","03","30","Southern America","Brasil","Piauí","PARNA - Serra das Confusões, Olho D'Água das Andorinhas.",NA,"Árvore, pouco frequente; fruto comestível por animais, melifera.","IPA0087162",NA,"Guaribas","-43.6866989135742","-9.39832973480225",NA,"2012","02","01","81784","auto","510","510",NA,NA,NA,NA
"15","2020-04-22 16:25:06-03","UFPB","JPB","28327","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D. Penn.","Alves-Araújo, AG","Moura, ACA","272",NA,NA,NA,"Southern America","Brasil","Piauí","Parque Nacional da Serra da Capivara, Boqueirão da Esperança.",NA,NA,NA,NA,"São Raimundo Nonato","-42.6994018554688","-9.01527976989746",NA,"2009","05","18","45407","auto",NA,NA,NA,NA,NA,NA
"16","2021-03-21 19:38:52-03","UFC","EAC","18449","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D.Penn.","Alves-Araújo, A.","Fernandes, A.; Custódio, A.V.; Andrade, M.","EAC18449","1992","04","07","Southern America","Brasil","Piauí","Sa. da Capivara",NA,"Árvore, 6m; Carrasco","EAC0018449",NA,"São Raimundo Nonato","-42.6994018554688","-9.01527976989746",NA,"2009","11","16","45407","auto",NA,NA,NA,NA,NA,NA
"17","2021-03-21 19:38:52-03","UFC","EAC","10635","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D.Penn.","Alves-Araújo, A.","Del'Arco, M.R.; Castro, A.J.; Graça","s.n.","1980","12","12","Southern America","Brasil","Piauí",NA,NA,NA,"EAC0010635",NA,"Bom Jesus","-44.3586006164551","-9.07444000244141",NA,"2009","11","16","107707","auto",NA,NA,NA,NA,NA,NA
"18","2021-03-21 19:38:52-03","UFC","EAC","43544","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D.Penn.","Alves-Araújo, A.","Castro, A.S.F.","2052","2008","05","13","Southern America","Brasil","Piauí","PARNA Serra das Confusões, Baixão.",NA,"Arvoreta; Mata Semidecídua Ciliar","EAC0043544",NA,"Guaribas","-43.6866989135742","-9.39832973480225",NA,"2009","11","16","81784","auto",NA,NA,NA,NA,NA,NA
"19","2012-03-09 05:17:00-03","MO","MOBOT","3264919","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D. Penn.","T.D. Pennington","Edith L. Taylor","Taylor 1312","1983","4","22","South America","Brazil","Maranhão","Mpio Grajau; Mondelandia (42 km. N from BR226 on road that starts east of Grajau; land of Senhor Baltazar, 5 km. S of town. Highly disturbed remnant of primary rain forest on steep drainage, fairly wet, surrounded by fields of manihot, corn and rice. Hilltop clearcut. One of very few patches of forest left in this entire region. 3-5 sp. of Rutaceae, Trichilia, ''Sapocai'', Sapotaceae, Annonaceae (Duguetia, Xylopia) dominate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2015-08-13 05:50:00-03","MO","MOBOT","3269183","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D. Penn.","A. Alves-Araújo","R.M. Harley|G.L. Bromley|André M. de Carvalho|José L. Hage|H.S. Brito","Harley 21279","1980","4","12","South America","Brazil","Bahia","Serra Geral de Caitité. 8.5 km N of Brejinhos das Ametistas, on the Caititéroad. Small stream and marsh with surrounding woodland and open grassy areas.",NA,NA,NA,NA,NA,"-42.4833333","-14.1333333",NA,NA,NA,NA,NA,NA,"900.00000000",NA,"1",NA,NA,NA
"21","2008-05-27 22:02:00-03","MO","MOBOT","3311695","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D. Penn.","Pennington","R. Vilhena","Vilhena 995","1983","3","14","South America","Brazil","Maranhão","Estrada a 22 km da cidade do Arame.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2010-04-30 13:55:00-03","MO","MOBOT","3362372","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D. Penn.","A. Alves-Araújo","Ricardo de Lemos Fróes","Fróes 11750","1939","2",NA,"South America","Brazil","Maranhão","Island of Sao Luiz. Terra firma, high land, rocky soil. Virgin forest.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"23","2008-05-27 22:02:00-03","MO","MOBOT","3380787","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D. Penn.","T. D. Pennington","Ricardo de Lemos Fróes","Fróes 11750","1939","2",NA,"South America","Brazil","Maranhão","Island of São Luiz. Terra firme, high land, rocky soil, virgin forest.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2012-08-04 20:40:00-03","MO","MOBOT","3381085","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D. Penn.","T. Pennington","Douglas C. Daly","Daly 564","1980","10","10","South America","Brazil","Maranhão","Cerrado near dirt road. Approx. 40 km E of Barra do Corda toward Presidente Dutra.",NA,NA,NA,NA,NA,"-44.9166667","-5.4166667",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"25","2012-03-09 05:17:00-03","MO","MOBOT","3265151","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D. Penn.","T.D. Pennington","Edith L. Taylor","Taylor E-1094","1983","3","26","South America","Brazil","Maranhão","Mpio Sta. Luzia; Fazenda Cacique, entrance 83 km. W of Sta. Inez and 13 km. E of Entrocamento on BR222; basecamo 30 km N. NE from entrance on unpaved road to Rio Pindare. Base of northfacing slope across road from basecamp. Drier terra forest; on sandy soil.",NA,NA,NA,NA,NA,"-46.06666","-3.83333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-07-10 09:49:21-03","MBML","MBML-HERBARIO","9635",NA,"Plantae",NA,NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","Pennington","Cláudia E. Carneiro/Abril-2000","L. Kollmann; E. Bausen","1542","1999","01","14",NA,"Brasil","Espírito Santo","Santo Antônio",NA,"Árvore 20m. DAP 40cm. Fuste 12m. Frutos velhos secos. Flores verdes. Seiva branca.","MBML009635",NA,"Santa Teresa","-40.589167","-19.922222",NA,NA,NA,NA,NA,NA,NA,NA,NA,"40W35'21","19S55'20",NA
"27","2021-03-01 11:52:08-03","UFPE","UFP","69102","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","Penn, T.D.","Araujo, AA","Barros, R; Silva, A; Vieira, F; Oliveira, L; Marques, J","2989","2007","03","30",NA,"Brasil","Piauí",NA,NA,"Lat: 202040104#133 Long: 23L 0658111. Alt: 8989282; Árvore pouco frequente, fruto comestível por animais, meliferas.","UFP069102",NA,"Guaribas","-43.6866989135742","-9.39832973480225",NA,"2009","06","04","81784","auto",NA,NA,NA,NA,NA,NA
"28","2020-09-12 05:00:02-03","US","US","3339841","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D. Penn.",NA,"D. C. Daly, D. G. Campbell, A. S. Silva, R. P. Bahia & M. R. Santos","D564","1980","10","10","South America - Neotropics","Brazil","Maranhão","State of Maranhao, Cerrado near dirt road, Aprrox. 40 km E of Barra do Corda toward Presidente Dutra",NA,NA,"US02701886","US02701886_01",NA,"-44.92","-5.42","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"29","2020-09-12 05:00:02-03","US","US","1905855","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D. Penn.",NA,"R. Fróes","11750","1939","2",NA,"South America - Neotropics","Brazil","Maranhão","Brazil: State of Maranhao: Island of Sao Luiz",NA,NA,"US02701887","US02701887_01",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"30","2020-09-12 05:00:02-03","US","US","3350364","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D. Penn.",NA,"G. E. Schatz, R. Vilhena, E. Taylor, C. S. Rosário & et al.","923","1983","3","13","South America - Neotropics","Brazil","Maranhão","Municipio de Grajau, 52km S of Arame and 78km N of Grajau along highway 006",NA,NA,"US02701885","US02701885_01",NA,"-46.2","-5.2","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"31","2020-09-02 16:39:43-03","Cenargen","CEN","66797","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D.Penn.","A. Alves-Araújo","Glocimar Pereira-Silva","9684","2005","02","26",NA,"Brasil","MA","Córrego Vão Feio.","Exsicatas","Área de influência direta (lago).","CEN00066797","CEN00066797","CAROLINA","-47.467777","-7.0283333",NA,"2018","12",NA,NA,NA,"150","150","4","-47.467777","-7.0283333",NA
"32","2019-10-07 09:12:59-03","UEFS","HUEFS","122420","PreservedSpecimen","Plantae","Angiospermae","Ericales","Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D.Penn.","A.Alves-Araújo","Santos, R.M.","1483","2007","06","22",NA,"Brasil","Piauí","Parque Nacional da Serra das Confusões.",NA,"Caatinga arbórea.","HUEFS0122420","HUEFS0122420","Caracol","-43.561389","-9.141389","Asteranae","2009","07",NA,NA,NA,"643","643",NA,"43W33'41''","9S8'29''",NA
"33","2019-10-07 09:12:59-03","UEFS","HUEFS","122338","PreservedSpecimen","Plantae","Angiospermae","Ericales","Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D.Penn.","A.Alves-Araújo","Santos, R.M.","1401","2007","06","22",NA,"Brasil","Piauí","Parque Nacional da Serra das Confusões.",NA,"Caatinga arbórea.","HUEFS0122338","HUEFS0122338","Caracol","-43.485","-9.221389","Asteranae","2015","02",NA,NA,NA,"643","643",NA,"43W29'6''","9S13'17''",NA
"34","2018-08-28 10:22:54-03","F","FMNH-SEEDPLANTS","V0324907F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata",NA,"RRC ID Flag","R. Vilhena","995",NA,NA,NA,"South America","Brazil","Maranhão",NA,NA,NA,"V0324907F","V0324907F_01 V0324907F_02",NA,"-45","-5","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"995"
"35","2018-08-28 10:22:13-03","F","FMNH-SEEDPLANTS","V0324908F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,"V0324908F","V0324908F_01",NA,"-52.8731","-10.8339","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-11-01 15:10:46-03","UnB","UB","3821","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","Pennington","Pennigton, TJ","Irwin, HS; Santos, RR; Souza, R; Fonsêca, SF","23557","1969","02","19","Southern America","Brasil","Minas Gerais","Ca. 15 km west of Grão-Mogol",NA,"Creek margin. Sandy cerrado with outcrops and low woods bordering creek.; Árvore x 20cm. Fruto ferrugíneo.; Cerrado.",NA,NA,NA,NA,NA,NA,"1986",NA,NA,NA,NA,"950","950",NA,NA,NA,NA
"37","2019-11-01 15:10:46-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","Pennington","Alves-Araújo, A; Neto, NEO","Marinho, MAO","IFN-40712161.1","2018","08","31","Southern America","Brasil","Maranhão","Simboca",NA,"Conglomerado MA-407. Subunidade 1. Subparcela 1. indivíduo 2. F8; Arbusto; altura em m: 1,50; látex branco, abundante, pegajoso, com odor; base reta; Pastagem, solo argiloso",NA,NA,"Esperantinópolis","-44.820009","-4.860022",NA,"2018","12","20",NA,NA,"185","185",NA,"-44.820009","-4.860022",NA
"38","2021-01-04 10:58:51-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","T.D. Penn.","Pessoa, C","Oliveira, D","IFN-305722.1","2018","05","02","Southern America","Brasil","Maranhão","Comunidade Morada Nova",NA,"Conglomerado MA-305. Subunidade 2. Subparcela 1. indivíduo 5. F8. Possui duas exsicatas; Arbusto; altura em m: 1,80; casca marrom, vermelho por fora, marrom por dentro, fina, tricomada, sem odor; Solo argiloso com matéria orgânica",NA,NA,"Timbiras","-43.739976","-4.139978",NA,"2020","05","20",NA,NA,"94","94",NA,"-43.739976","-4.139978",NA
"39","2019-11-01 15:10:46-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","Pennington","Alves-Araújo, A","Santos, RS","IFN-2785393.10","2018","04","23","Southern America","Brasil","Maranhão","Povoado Betânia",NA,"Conglomerado MA-278. Subunidade 3. Subparcela 10. indivíduo 37. F6; Árvore; DAP em cm: 7,7; altura em m: 7,50; exsudado aquoso, branco, pouco abundante, viscoso, odor ausente; base sapopemas; fruto maduro, 1,8 x 1,8cm, globoide, amarronzado por fora,",NA,NA,"Vargem Grande","-43.920009","-3.959991",NA,"2018","12","20",NA,NA,"81","81",NA,"-43.920009","-3.959991",NA
"40","2019-11-01 15:10:46-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","Pennington","Oliveira, CT; Alves-Araújo, A","Oliveira, D","IFN-3322461.2","2018","06","19","Southern America","Brasil","Maranhão","Povoado Santa Luzia",NA,"Conglomerado MA-332. Subunidade 1. Subparcela 2. indivíduo 16. F6; Árvore; DAP em cm: 11,2; altura em m: 8,50; base dilatada; casca marrom por fora, creme por dentro,grossa, rugosa, sem odor; Aclive, solo pedregoso",NA,NA,"Aldeias Altas","-43.379996","-4.319997",NA,"2018","12","20",NA,NA,"71","71",NA,"-43.379996","-4.319997",NA
"41","2019-11-01 15:10:46-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","Pennington","Alves-Araújo, A","Sousa, CA","IFN-3596801.8","2017","08","29","Southern America","Brasil","Maranhão",NA,NA,"Conglomerado MA-359. Subunidade 1. Subparcela 8. Indivíduo 31. F6; Árvore com 9,0 m de altura e 14,8 cm de DAP. Base reta. Casca escura, grossa e estriada, internamente bege","UB0126614","UB0126614","Aldeias Altas","-43.200025","-4.499986",NA,"2018","12","20",NA,NA,NA,NA,NA,"-43.200025","-4.499986",NA
"42","2021-01-04 10:58:51-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","Pennington","Alves-Araújo, A","Almeida, AB","IFN-1772142.1","2018","08","27","Southern America","Brasil","Maranhão",NA,NA,"Conglomerado MA-177. Subunidade 2. Subparcela 1. Indivíduo 1. F8; Arbusto, 2.1m de altura. Látex branco, pouco abundante, viscoso, ausência de odor. Base reta. Casca cor externa marrom-cobre, cor interna pardo e creme, fina, odor do corte pouco aromá",NA,NA,"Urbano Santos","-43.38","-3.24",NA,"2018","12","20",NA,NA,NA,NA,NA,"-43.38","-3.24",NA
"43","2019-11-01 15:10:46-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","Pennington","Alves-Araújo, A","Santos, RS","IFN-2785192.7","2018","04","23","Southern America","Brasil","Maranhão","Povoado Betânia",NA,"Conglomerado MA-278. Subunidade 2. Subparcela 7. indivíduo 54. F6; Árvore; DAP em cm: 10,0; altura em m: 13,00; exsudado aquoso, branco, pouco abundante, viscoso, com odor; base sapopemas; casca amarronzado por fora, avermelhado por dentro, grossa, f",NA,NA,"Vargem Grande","-43.920009","-3.959991",NA,"2018","12","20",NA,NA,"81","81",NA,"-43.920009","-3.959991",NA
"44","2019-11-01 15:10:46-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","Pennington","Alves-Araújo, A","Sousa, CA","IFN-3587934.1","2017","09","15","Southern America","Brasil","Maranhão","Povoado Conceição",NA,"Conglomerado MA-358. Subunidade 4. Subparcela 1. indivíduo 6. F8; Arbusto; altura em m: 1,80; látex branco, pouco abundante, líquido, com odor; base reta; Mata regenerante, argissolo pedregoso",NA,NA,"Aldeias Altas","-43.380002","-4.499992",NA,"2018","12","20",NA,NA,"121","121",NA,"-43.380002","-4.499992",NA
"45","2019-11-01 15:10:46-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","Pennington","Alves-Araújo, A","Marinho, MAO","IFN-2315012.1","2018","05","21","Southern America","Brasil","Maranhão","Riachão dos Vieiras",NA,"Conglomerado MA-231. Subunidade 2. Subparcela 1. indivíduo 5. F8; Arbusto; altura em m: 2,50; látex branco, pouco abundante, pegajoso, com odor; base reta; casca marrom por fora, amarelo por dentro, fina, fissurada, odor doce; Floresta úmida, solo ar",NA,NA,"Mata Roma","-43.380001","-3.599998",NA,"2018","12","20",NA,NA,"68","68",NA,"-43.380001","-3.599998",NA
"46","2019-11-01 15:10:46-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Sapotaceae","Pouteria","furcata","Pouteria furcata","Pennington","Alves-Araújo, A","Marinho, MAO","IFN-2807332.9","2018","06","13","Southern America","Brasil","Maranhão","Reserva Extrativista Chapada Limpa",NA,"Conglomerado MA-280. Subunidade 2. Subparcela 9. indivíduo 32. F6; Árvore; DAP em cm: 10,2; altura em m: 6,50; casca cinza por fora, salmão claro por dentro, fina, laminada amargo; Floresta, solo argiloso",NA,NA,"Chapadinha","-43.559998","-3.960002",NA,"2018","12","20",NA,NA,"95","95",NA,"-43.559998","-3.960002",NA
