"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","locality","decimalLongitude","decimalLatitude","individualCount","yearIdentified","monthIdentified","county","verbatimLongitude","verbatimLatitude","dayIdentified","class","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","01212552","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","latianthera","Pouteria latianthera","T.D.Penn.","M. H. Nee","J. M. Pires","50942","1961","09","14","South America","Brazil","Amapá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1462100' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212552","NY01212552_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01212562","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","latianthera","Pouteria latianthera","T.D.Penn.","M. H. Nee","J. M. Pires","50942","1961","09","14","South America","Brazil","Amapá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1462145' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212562","NY01212562_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01212012","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","latianthera","Pouteria latianthera","T.D.Penn.","T. D. Pennington","W. A. Egler","47767","1960","08","23","South America","Brazil","Amapá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460090' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212012","NY01212012_01 NY01212012_02","Rio Oiapoque. Near confluence of Rio Iaue with Rio Oiapoque.","-52.37","2.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-08-05 12:38:00-03","MO","MOBOT","100837258","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","latianthera","Pouteria latianthera","T.D. Penn.","T.D. Pennington","W. Egler|João Murça Pires","Egler 47767","1960","8","23","South America","Brazil","Amapá",NA,NA,NA,NA,"Confluence of Rio Aaue with Rio Oiapoque.","-52.3666667","2.8833333","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-10 20:43:18-03","INPA","INPA","179346","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","latianthera","Pouteria latianthera","T.D.Penn.","Pennington, TD","Vicentini, A","688","1994","09","13","Southern America","Brasil","Amazonas",NA,NA,"INPA0179346","INPA0179346 INPA0179346_e","Reserva Florestal Adolfo Ducke, Igarapé do Acará, próximo ao acampamento.","-59.966667","-2.883333",NA,"1998","03","Manaus","-59.966667","-2.883333",NA,NA,NA,NA
"6","2021-01-10 20:43:18-03","INPA","INPA","191580","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","latianthera","Pouteria latianthera","T.D.Penn.","Pennington, TD","Assunção, PACL","732","1997","12","02","Southern America","Brasil","Amazonas",NA,NA,"INPA0191580","INPA0191580 INPA0191580_e","Reserva Florestal Adolfo Ducke","-59.966667","-2.883333",NA,"1998","03","Manaus","-59.966667","-2.883333",NA,NA,NA,NA
"7","2020-08-31 08:54:55-03","INPA","INPA","278906","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","latianthera","Pouteria latianthera","T.D.Penn.","Terra-Araujo, MH","Campos, P","1375","2016","09","08","Southern America","Brasil","Amazonas",NA,NA,"INPA0278906",NA,"Igarapé Tarumã-Mirim, Comunidade Vale do Novo Amanhecer. Sitio Do Sr Laranja. Parcela Pc24. Subparcela 94.","-60.216018","-2.872643",NA,"2016","12","Manaus","-60.216018","-2.872643","15",NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","3327398","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","latianthera","Pouteria latianthera","T.D. Penn.",NA,"J. M. Pires, W. A. Rodrigues & G. Irvine","50942","1961","9","14","South America - Neotropics","Brazil","Amapá",NA,NA,"US02702128","US02702128_01","Rio Araguari, 40 minutes up Falcina River from Camp 8","-51.48","0.95","1",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA
"9","2020-09-12 05:00:02-03","US","US","1876443","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","latianthera","Pouteria latianthera","T.D. Penn.","Pennington, T. D., (K)","Ll. Williams","15816","1942","6","6","South America - Neotropics","Venezuela","Amazonas",NA,NA,"US00838102","US00838102_01","Capihuara, Alto Casiquiare","-66.31","2.63","1",NA,NA,NA,NA,NA,NA,"Dicotyledonae","120",NA
"10","2020-09-02 16:39:43-03","Cenargen","CEN","83317","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","cf. latianthera","Pouteria cf. latianthera","T.D.Penn.","A. Alves-Araújo","Aécio Amaral-Santos","3600","2012","06","17",NA,"Brasil","RO","Exsicatas","Botões florais verde.","CEN00083317","CEN00083317","BR -364, entrada da linha de transmissão (LT) 22.2 na direção de Nova Mutum Paraná.","-64.456388","-9.2697222","8","2018","12","PORTO VELHO","-64.456388","-9.2697222",NA,NA,"93","93"
"11","2020-09-02 16:39:43-03","Cenargen","CEN","84211","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","cf. latianthera","Pouteria cf. latianthera","T.D.Penn.","A. Alves-Araújo","Glocimar Pereira-Silva","16356","2012","08","23",NA,"Brasil","RO","Exsicatas","Botões florais ferrugíneo. Monitoramento arbóreo, placa 5538. Área de influência indireta.","CEN00084211","CEN00084211","Módulo Caiçara, parcela 4 (margem direita do rio Madeira).","-64.8025","-9.445","8","2018","12","PORTO VELHO","-64.8025","-9.445",NA,NA,"100","100"
