"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","imagecode","infraspecificEpithet","identifiedBy","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2020-09-23 10:43:26-03","E","E","277719","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","reticulata","Pouteria reticulata","Croat, T.B.","19237","1972","08","17","W. Tropical South America","PE","Departamento Loreto","Provincia Alto Amazonas","Rio Amazonas, SE of Iquitos.","herbarium specimen of unspecif","BGBASE:327257","<a href=http://data.rbge.org.uk/herb/E00277719 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277719",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:26-03","E","E","132564","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","reticulata","Pouteria reticulata","Blanchet, J.S.","2812",NA,NA,NA,"E. Tropical South America","BR","Bahia",NA,"Serra Acurua","herbarium specimen of unspecif","BGBASE:140938","<a href=http://data.rbge.org.uk/herb/E00132564 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00132564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","273494","PreservedSpecimen","Plantae","Sapotaceae","Lucuma","anibifolia","Lucuma anibifolia","B. A. Krukoff","1447","1931","11","25","South America","Brazil","Rondônia",NA,"Near Tabajara, upper Machado River region.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598561' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273494","Magnoliophyta","Ericales","A.C.Sm.","holotype","NY00273494_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1039807","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","reticulata","Pouteria reticulata reticulata","J. S. Blanchet","2812",NA,NA,NA,"South America","Brazil","Bahia",NA,"Serra de Acurua","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1497253' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039807","Magnoliophyta","Ericales","(Engl.) Eyma",NA,"NY01039807_01","reticulata","T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00860174","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","reticulata","Pouteria reticulata reticulata","R. de Lemos Fróes","11581","1939","02",NA,"South America","Brazil","Maranhão","São Luís","Island of Sao Luiz. Estrada do Sacavem","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965753' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860174","Magnoliophyta","Ericales","(Engl.) Eyma",NA,"NY00860174_01","reticulata",NA,"-44.3028","-2.5297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","866856","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","reticulata","Pouteria reticulata reticulata","B. A. Krukoff","5595",NA,NA,NA,"South America","Brazil","Acre",NA,"Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=43820' target='other'> <mi>dwc_moreinfo</mi></a>","NY00866856","Magnoliophyta","Ericales","(Engl.) Eyma",NA,"NY00866856_01 NY00866856_02","reticulata","T. D. Pennington","-69","-9.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00860172","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","reticulata","Pouteria reticulata reticulata","Collector unknown","20","1948","10","27","South America","Brazil","Maranhão","São Luís","Sao Luiz, Granja do Fomento Agricola, viveiros de aves","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965735' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860172","Magnoliophyta","Ericales","(Engl.) Eyma",NA,"NY00860172_01","reticulata","T. D. Pennington","-44.3028","-2.5297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","375539","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","reticulata","Pouteria reticulata","S. A. Mori","13833","1981","04","29","South America","Brazil","Bahia","Una","Maruim, border of the Fazendas Maruim and Dois de Julho, 33 km SW of Olivença on the road from Olivença to Buerarema. Point 40-D","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=422896' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375539","Magnoliophyta","Ericales","(Engl.) Eyma",NA,"NY00375539_01",NA,"T. D. Pennington","-39.1202492","-15.1148921","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02858877","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","reticulata","Pouteria reticulata","D. da Silva Costa","343","2013","11","27","South America","Brazil","Acre","Bujari","As encostas do Riozinho do Andirá.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2711947' target='other'> <mi>dwc_moreinfo</mi></a>","NY02858877","Magnoliophyta","Ericales","(Engl.) Eyma",NA,"NY02858877_01",NA,"T. D. Pennington","-68.142933","-9.732678",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00860173","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","reticulata","Pouteria reticulata reticulata","R. de Lemos Fróes","11556","1939","02",NA,"South America","Brazil","Maranhão","São Luís","Island of São Luiz. Estrada do Tirical","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965743' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860173","Magnoliophyta","Ericales","(Engl.) Eyma",NA,"NY00860173_01","reticulata","T. D. Pennington","-44.3028","-2.5297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
