"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relatedCatalogItem","monthIdentified","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","01212903","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D.Penn.","J. M. Pires","51454","1961","10","02","South America","Brazil","Amapá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1466076' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212903","NY01212903_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01212904","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D.Penn.","H. S. Irwin","48893","1960","10","21","South America","Brazil","Amapá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1466078' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212904","NY01212904_01","T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01212902","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D.Penn.","B. Maguire","47097","1960","07","21","South America","Brazil","Amapá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1466075' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212902","NY01212902_01","T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:49:35-03","EAO","IAN","153496","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D. Penn.","Cordeiro, MR","1050","1973","12","24","Southern America","Brasil","Amapá",NA,"Árvore de 15m e 80cm de circ.","IAN153496",NA,"Pennington, TD","1990","Estrada Perimetral Norte KM 100, mata de várzea.","-52.916667","-0.916667","-52.916667","-0.916667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:49:35-03","EAO","IAN","121075","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D. Penn.","Pires, JM","7723","1960","08",NA,"Southern America","Brasil","Amapá",NA,"Árvore de casca grossa e mole (como mandioqueira); 0,79m de circ. x 11m; 0,42 x 12; 1,78 x 25; 1,16 x 20 (4 árvores).","IAN121075",NA,"Pennington, TD","1990",NA,NA,NA,NA,NA,"Clevelândia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:49:35-03","EAO","IAN","122145","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D. Penn.","Steyermark, JA","89788","1961","10","20","Southern America","Venezuela","Aragua",NA,"Tree 18m tall; leaves coriaceus, dark green above, dull brown with gray bellow, surface wavy, margins revolute; fruit tawny brown with green or gray; latex milky.","IAN122145",NA,"Pennington, TD","1990","Parque Nacional Henry Pittier, cloud forest on summit of knite-edge ridge above Rancho Grande Biological Station, towards Pico Guacamayo.",NA,NA,NA,NA,NA,"1500","1500",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:49:35-03","EAO","IAN","164012","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D. Penn.","Cordeiro, MR","2204",NA,NA,NA,"Southern America","Brasil","Maranhão",NA,NA,"IAN164012",NA,NA,NA,NA,"-46.4011001586914","-4.34582996368408",NA,NA,"Buriticupu",NA,NA,"73814","auto",NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:49:35-03","EAO","IAN","164010","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D. Penn.","Cordeiro, MR","2202",NA,NA,NA,"Southern America","Brasil","Maranhão",NA,NA,"IAN164010",NA,NA,NA,NA,"-46.4011001586914","-4.34582996368408",NA,NA,"Buriticupu",NA,NA,"73814","auto",NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:04:40-03","NBC","NL-BOTANY","U.1593319","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D.Penn.","Maguire B; Pires JM; Maguire CK",NA,"1960","07","21","Southern America","Brazil","Amapá",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1593319 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1593319","NL-U1593319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0159624",NA,NA,NA,NA
"10","2020-02-08 09:04:40-03","NBC","NL-BOTANY","U.1593321","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D.Penn.","Pires JM; Rodrigues Wm; Irvine GC",NA,"1961","10","02","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1593321 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1593321","NL-U1593321",NA,NA,"Territorio amapa, brasil, rio araguari, vicinity camp 12.","-52.133333","1.183333","-52.133333","1.183333",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"11","2019-02-22 16:42:06-03","UNEMAT","HERBAM","4004","S","Plantae",NA,NA,"Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D.Penn.","Soares, C.R.A.; Piva, J.H.; Rocha Filho, J.A.; Rodrigues, L.; Melo, J.A.M. & Cabral, F.F.","961","2008","06","16",NA,"Brasil","Mato Grosso",NA,NA,"HERBAM004004",NA,"Soares, CRA; Lobato, LC; Silva, CA","2008","UHE São Manoel, Morro.","-57.010278","-9.225556","-57.010278","-9.225556","Paranaíta",NA,NA,NA,NA,NA,NA,"07",NA,NA,NA
"12","2013-04-01 09:19:21-03","IPT","BCTW","16447","S","Plantae","Magnoliophyta",NA,NA,"Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D. Penn.",NA,NA,NA,NA,NA,NA,"Brasil","Pará",NA,NA,NA,NA,NA,NA,"Jari",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
