"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","county","coordinatePrecision","geoFlag","class","minimumElevationInMeters","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01212958","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","tarumanensis","Pouteria tarumanensis","Pires","T. D. Pennington","W. C. Steward","20243","1974","02","13","South America","Brazil","Amazonas","Manaus-Caracarai Road, Km 130.5.","-60.086031","-1.8595815","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1329922' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212958","NY01212958_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01212959","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","tarumanensis","Pouteria tarumanensis","Pires","T. D. Pennington","R. de Lemos Fróes","24957","1949","08","10","South America","Brazil","Amazonas",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1467147' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212959","NY01212959_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01212960","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","tarumanensis","Pouteria tarumanensis","Pires","T. D. Pennington","J. Chagas Rodrigues","1196","1955","06","15","South America","Brazil","Amazonas",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1467152' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212960","NY01212960_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01212957","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","tarumanensis","Pouteria tarumanensis","Pires","T. D. Pennington","J. C. Ongley","P21781","1974","04","01","South America","Brazil","Amazonas","Rio Cuieiras, 50 Km upstream","-60.3236344","-2.6235947","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1467143' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212957","NY01212957_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:49:37-03","EAO","IAN","113096","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","tarumanensis","Pouteria tarumanensis","Pires","Pennington, TD","Chagas, JC","1196","1955","06","15","Southern America","Brasil","Amazonas","Cachoeira Baixa do Tarumã. Terra firme; mata virgem.","-60.0250015258789","-3.10193991661072",NA,"Árvore de 15m de altura; flores amarelas. Látex branco.","IAN113096",NA,"1994","06","Manaus","138090","auto",NA,NA,NA,NA,NA
"6","2021-03-30 12:49:37-03","EAO","IAN","132678","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","tarumanensis","Pouteria tarumanensis","Pires",NA,"Coêlho, DF","s.n.","1956","08","23","Southern America","Brasil","Amazonas","Igarapé do Buião. Mata de terra firme. Solo argiloso.","-60.0250015258789","-3.10193991661072",NA,"Árvore de 15m de altura; flores amarelas.","IAN132678",NA,NA,NA,"Manaus","138090","auto",NA,NA,NA,NA,NA
"7","2021-03-30 12:49:37-03","EAO","IAN","110825","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","tarumanensis","Pouteria tarumanensis","Pires","Pennington, TD","Ducke, A","24939","1933","07","08","Southern America","Brasil","Amazonas","Mata da terra firme, arenosa, humosa, húmida além da cachoeira alta do Tarumã.","-60.0250015258789","-3.10193991661072",NA,"Árvore bastante grande; flores cim cálice verde e corola branca, tem estaminoides.","IAN110825",NA,"1994","06","Manaus","138090","auto",NA,NA,NA,NA,NA
"8","2021-03-30 12:49:37-03","EAO","IAN","110353","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","tarumanensis","Pouteria tarumanensis","Pires","Pennington, TD","Ducke, A","53265","1941","06","27","Southern America","Brasil","Amazonas","Rio Tatumã. Cachoeira baixa; mata da terra firme.","-60.0250015258789","-3.10193991661072",NA,"Árvore pequena; flor branca.","IAN110353",NA,"1994","06","Manaus","138090","auto",NA,NA,NA,NA,NA
"9","2020-02-08 09:04:40-03","NBC","NL-BOTANY","U.1593192","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pouteria","tarumanensis","Pouteria tarumanensis","Pires",NA,"Steward WC; Ramos JF; Monteiro OP",NA,"1974","02","13","Southern America","Brazil",NA,"Plants of Brazilian Amazonia. State of Amazonas. Manaus-Caracarai Highway. Manaus-Caracarai Road, Km. 130.5. Forest on terra firme.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1593192 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1593192","NL-U1593192",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"10","2020-02-08 09:04:40-03","NBC","NL-BOTANY","U.1593193","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pouteria","tarumanensis","Pouteria tarumanensis","Pires",NA,"Ongley JC; Ramos JF",NA,"1974","04","01","Southern America","Brazil",NA,"Plants of Brazilian Amazonia. State of Amazonas. Rio Cuieiras, 50km upstream.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1593193 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1593193","NL-U1593193",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"11","2008-05-27 22:02:00-03","MO","MOBOT","3386716","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","tarumanensis","Pouteria tarumanensis","Pires","T. D. Pennington","ONGLEY","ONGLEY P21781","1974","4","1","South America","Brazil","Amazonas","Rio Cuieiras, 50km. upstream. Terra firme; primary forest.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
