"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","imagecode","class","relatedCatalogItem","dayIdentified","individualCount","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","01168533","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","decipiens","Pradosia decipiens","Ducke","T. D. Pennington","M. J. G. Hopkins","1499","1994","10","28","South America","Brazil","Amazonas","Manaus. Reserva Florestal Ducke-Igarapé do Acará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1329800' target='other'> <mi>dwc_moreinfo</mi></a>","NY01168533",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01168532","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","decipiens","Pradosia decipiens","Ducke","T. D. Pennington","P. A. C. L. Assunção","833","1998","04","09","South America","Brazil","Amazonas","Reserva Florestal Ducke, Manaus-Itacoatiara, Km 26. Floresta de Vertente.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1328236' target='other'> <mi>dwc_moreinfo</mi></a>","NY01168532","Manaus","-60.0250015258789","-3.10193991661072","138090","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:49:38-03","EAO","IAN","171555","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pradosia","decipiens","Pradosia decipiens","Ducke","Ribeiro, JELS","Souza, MAD de; Pereira, EC","474","1997","12","02","Southern America","Brasil","Amazonas","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Próximo ao Acará. Planta fichada: 4838-05.",NA,"Árvore, aproximadamente 15m x 16cm DAP. Pedicelo verde-claro; cálice amarelado, pétalas e estames branco. Cheiro azedo.","IAN171555","Manaus","-59.966667","-2.883333",NA,NA,"1997","12","-59.966667","-2.883333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:49:38-03","EAO","IAN","171646","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pradosia","decipiens","Pradosia decipiens","Ducke","Pennington, TD","Ribeiro, JELS; Assunção, PACL","1579","1995","03","23","Southern America","Brasil","Amazonas","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Igarapé do Acará. Floresta de Baixio. Baixio, argiloso. Planta fichada: 910-05.",NA,"Árvore. Dossel. Tronco DAP=50cm, aspecto circular. Raíz superficial e sapopema convexa, assimétrica, A>C (1,7m-1m), ramificada. Ritidoma marrom-esbranquiçado, com cicatrizes alaranjadas, rígido, liso, desprendimento em placas circulare","IAN171646","Manaus","-59.966667","-2.883333",NA,NA,"1998","02","-59.966667","-2.883333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:49:38-03","EAO","IAN","171666","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pradosia","decipiens","Pradosia decipiens","Ducke","Pennington, TD","Ribeiro, JELS; Pereira, EC","1950","1997","11","19","Southern America","Brasil","Amazonas","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Floresta de Baixio. Planta fichada: 4843-05.",NA,"Árvore de 18m de altura. Botões verdes.","IAN171666","Manaus","-59.966667","-2.883333",NA,NA,"1998","03","-59.966667","-2.883333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:49:38-03","EAO","IAN","167015","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pradosia","decipiens","Pradosia decipiens","Ducke","Pennington, TD","Brito, JM de; Ribeiro, JELS","31","1997","09","09","Southern America","Brasil","Amazonas","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Acará. Floresta de Baixio. Solo argiloso.",NA,"Árvore. Dossel. Tronco DAP=50cm, aspecto circular. Raiz superficial e sapopema convexa, assimétrica, A>C (1,7m, 1m), ramificada. Ritidoma marron-esbranquiçado, com cicatrizes alaranjadas, rígido, liso, desprendimento em placas circular","IAN167015","Itacoatiara","-59.966667","-2.883333",NA,NA,"1998","02","-59.966667","-2.883333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 17:44:12-03","EAO","IAN","XILO7189X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pradosia","decipiens","Pradosia decipiens","Ducke",NA,"Ferreira, AM; Ferreira, GC","s.n","2002","10","23","Southern America","Brasil","Pará","Área de exploração 2002.",NA,"Árvore, 32m alt. x 2,20m CAP; base com sapopemas tabulares, até 2,5m do solo; fuste tortuoso, 22m alt.; ritidoma marrom-avermelhado, áspero, escamoso, desprendimento de pequenas placas papiráceas; lenticelas elípticas em linhas vert","IANXILO7189X","Moju","-48.7689018249512","-1.88389003276825","186920","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-08 17:44:12-03","EAO","IAN",NA,"PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pradosia","decipiens","Pradosia decipiens","Ducke",NA,"Ferreira, AM; Ferreira, GC","s.n","2002","10","23","Southern America","Brasil","Pará","Área de exploração 2002.",NA,"Árvore, 32m alt. x 2,20m CAP; base com sapopemas tabulares, até 2,5m do solo; fuste tortuoso, 22m alt.; ritidoma marrom-avermelhado, áspero, escamoso, desprendimento de pequenas placas papiráceas; lenticelas elípticas em linhas verticais, alaranjadas",NA,"Moju","-48.7689018249512","-1.88389003276825","186920","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-08 17:44:12-03","EAO","IAN",NA,"PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pradosia","decipiens","Pradosia decipiens","Ducke",NA,"Ferreira, AM; Ferreira, GC","s.n.","2002","10","23","Southern America","Brasil","Pará","Área de exploração 2002.",NA,"Árvore, 32m alt. x 2,20m CAP; base com sapopemas tabulares, até 2,5m do solo; fuste tortuoso, 22m alt.; ritidoma marrom-avermelhado, áspero, escamoso, desprendimento de pequenas placas papiráceas; lenticelas elípticas em linhas verticais, alaranjadas",NA,"Moju","-48.7689018249512","-1.88389003276825","186920","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:44:12-03","EAO","IAN","7189","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pradosia","decipiens","Pradosia decipiens","Ducke",NA,"Ferreira, AM; Ferreira, GC","s.n.","2002","10","23","Southern America","Brasil","Pará","Área de exploração 2002.",NA,"Árvore, 32m alt. x 2,20m CAP; base com sapopemas tabulares, até 2,5m do solo; fuste tortuoso, 22m alt.; ritidoma marrom-avermelhado, áspero, escamoso, desprendimento de pequenas placas papiráceas; lenticelas elípticas em linhas vertica","IAN007189","Moju","-48.7689018249512","-1.88389003276825","186920","auto",NA,NA,NA,NA,"IAN007189_f",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-08 17:44:12-03","EAO","IAN","XILO7189X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pradosia","decipiens","Pradosia decipiens","Ducke",NA,"Ferreira, AM; Ferreira, GC","s.n","2002","10","23","Southern America","Brasil","Pará","Área de exploração 2002.",NA,"Árvore, 32m alt. x 2,20m CAP; base com sapopemas tabulares, até 2,5m do solo; fuste tortuoso, 22m alt.; ritidoma marrom-avermelhado, áspero, escamoso, desprendimento de pequenas placas papiráceas; lenticelas elípticas em linhas vert","IANXILO7189X","Moju","-48.7689018249512","-1.88389003276825","186920","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 09:04:46-03","NBC","NL-BOTANY","U.1592798","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pradosia","decipiens","Pradosia decipiens","Ducke","Pennington TD","Assunção PACL",NA,"1998","04","09","Southern America","Brazil","Amazonas",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1592798 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1592798",NA,"-59.966667","-2.883333",NA,NA,NA,NA,"-59.966667","-2.883333","NL-U1592798","Magnoliopsidae","U 0132938",NA,NA,NA,NA,NA,NA
"13","2020-02-08 09:04:46-03","NBC","NL-BOTANY","U.1592799","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pradosia","decipiens","Pradosia decipiens","Ducke","Pennington TD","Hopkins MJG",NA,"1994","10","28","Southern America","Brazil","Amazonas",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1592799 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1592799",NA,"-59.966667","-2.883333",NA,NA,"1998","02","-59.966667","-2.883333","NL-U1592799","Magnoliopsidae","U 0131485","01",NA,NA,NA,NA,NA
"14","2014-10-02 12:41:13-03","FEMACT","MIRR","9431","S","Plantae",NA,NA,"Sapotaceae","Pradosia","decipiens","Pradosia decipiens","Ducke",NA,"Farias H.L.S.","96","2011","03","26",NA,"Brasil","Roraima","Igarapé Traíra, Mata de Galeria,, 2°75°57.04N e 7°32°64.08O",NA,"Espécime de hábito arbóreo, base reta, fuste cilíndrico, casca com aparência fendida com desprendimento de placas lenhosas, folhas concolor com venação eucampdódroma, consistência cartácea sem flores e sem frutos, ambiente de mata de galeria.",NA,"Mucajaí","-60.978722","2.39325",NA,NA,NA,NA,"-60.978722","2.39325",NA,NA,NA,NA,NA,NA,NA,NA,NA
