"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","individualCount","typeStatus"
"1","2021-04-05 14:33:13-03","UNESC","CRI","12458","PreservedSpecimen","Plantae","Acanthaceae","Pseuderanthemum","riedelianum","Pseuderanthemum riedelianum","(Nees) Radlk.","Peterson T. Padilha & Renato Colares","2017","07","17","Alexandre Medeiros","98","2017","04","19","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.593333","-27.006944","48º35'36''W","27º0'25''S","Habito: subarbustiva","CRI010665",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:46-03","UNESC","CRI","13299","PreservedSpecimen","Plantae","Acanthaceae","Pseuderanthemum","riedelianum","Pseuderanthemum riedelianum","(Nees) Radlk.","Alexandre Medeiros","2018","03","17","Alexandre Medeiros","867","2018","03","17","Brasil","Santa Catarina","Balneário Camboriú","Barra.","-48.595556","-27.006111","48º35'44''W","27º0'22''S","Flores brancas. Habitat: Terrestre Habito: Subarbustivo","CRI011906","CRI011906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","492235","PreservedSpecimen","Plantae","Acanthaceae","Pseuderanthemum","riedelianum","Pseuderanthemum riedelianum","(Nees) Radlk.","D. C. Wasshausen",NA,NA,NA,"G. G. Hatschbach","23933","1970","02","27","Brazil","Paraná","Morretes","Serra Marumbi.","-48.8342","-25.4769",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272115' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492235","NY00492235_01","Magnoliophyta","Lamiales","South America","800","900","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","778349","PreservedSpecimen","Plantae","Acanthaceae","Pseuderanthemum","riedelianum","Pseuderanthemum riedelianum","(Nees) Radlk.","C. Kameyama",NA,NA,NA,"F. O. Souza","9","2000","07","17","Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Nucleo Caraguatatuba, Nova Trilha dos Tropeiros","-45.4097","-23.6203",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272117' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778349","NY00778349_01","Magnoliophyta","Lamiales","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","492236","PreservedSpecimen","Plantae","Acanthaceae","Pseuderanthemum","riedelianum","Pseuderanthemum riedelianum","(Nees) Radlk.","E. C. Leonard",NA,NA,NA,"R. Reitz","6249","1958","01","21","Brazil","Santa Catarina","Garuva","Pôrto do Palmital, Garuva, S. Francisco do Sul.","-48.8547","-26.0269",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272116' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492236","NY00492236_01","Magnoliophyta","Lamiales","South America","10","10","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:18:43-03","UFRJ","RFA","10395","PreservedSpecimen","Plantae","Acanthaceae","Pseuderanthemum","riedelianum","Pseuderanthemum riedelianum","(Nees) Radlk.","D. Wasshausen","1970",NA,NA,"G.G. Hatschbach","23933","1970","02","27","Brasil","Paraná","Morretes","Serra Marumbi","-48.834400177002","-25.476900100708",NA,NA,"Erva, flor alvacente","RFA10252",NA,NA,NA,NA,NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA
"7","2020-08-11 00:15:25-03","UFBA","ALCB","022806","PreservedSpecimen","Plantae","Acanthaceae","Pseuderanthemum","riedelianum","Pseuderanthemum riedelianum","(Nees) Radlk.","Barroso, GM","1983","06",NA,"Almeida, EF","184","1982","05","18","Brasil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce.","-42.616667","-19.783333","-42.616667","-19.783333","5-20 cm alt. Folhas com as nervuras prateadas (argiro-neura). Raque da inflorescência e frutos arroxeados. Raiz tuberosa. Muito frequente na sub-mata.; solo argiloso, vermelho.",NA,NA,"Dicotyledon",NA,"Southern America","200","200",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:29:38-03","NBC","NL-BOTANY","L.2836319","PreservedSpecimen","Plantae","Acanthaceae","Pseuderanthemum","riedelianum","Pseuderanthemum riedelianum","Nees",NA,NA,NA,NA,"Hatschbach GG",NA,"1961","03","05","Brazil",NA,NA,"Est. Parana, Mun. Morretes, Pilão de Pedra.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2836319 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2836319","NL-L2836319",NA,"Lamiales","Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"9","2020-02-08 09:29:50-03","NBC","NL-BOTANY","U.1057090","PreservedSpecimen","Plantae","Acanthaceae","Schaueria","paniculata","Schaueria paniculata","Nees",NA,NA,NA,NA,"Hatschbach GG; Lideman J; Haas H",NA,"1966","01","20","Brazil",NA,NA,"Rio Cotia (mun. Antonina) PR.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1057090 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1057090","NL-U1057090",NA,"Lamiales","Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"10","2020-11-04 10:54:31-03","ESALQ","ESA","136222","PreservedSpecimen","Plantae","Acanthaceae","Pseuderanthemum","riedelianum","Pseuderanthemum riedelianum","(Ness.) Radlk.","D.C. Wasshausen","1968",NA,NA,"R.M. Klein","7164.0","1967","02","14","Brasil","Santa Catarina","Florianópolis",NA,"-48.5491981506348","-27.596700668335",NA,NA,NA,"ESA136222",NA,NA,NA,NA,NA,NA,NA,"27000","auto",NA,NA,NA,NA,NA
