"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","decimalLongitude","decimalLatitude","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","phylum","class","order","relatedCatalogItem"
"1","2021-02-11 17:21:02-03","UFPR","UPCB","70609","PreservedSpecimen","Plantae","Orchidaceae","Pseudolaelia","pavopolitana","Pseudolaelia pavopolitana","M.Frey","Fontana, A.P.","2008","02","18","Fontana, A.P.","4831","2008","02","18","Brasil","Espírito Santo","Nova Venécia","BLOQUEADO","9999","9999","420","587","Rupestre em paredões íngremes e verticais, no sol. Flores com sépalas e pétalas verdes-amareladas, labelo verde e as vezes com margens lilás. Material prensado em alcool..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-07-10 09:48:34-03","MBML","MBML-HERBARIO","43202",NA,"Plantae","Orchidaceae","Pseudolaelia","aff. citrina","Pseudolaelia aff. citrina","Pabst","A.P. Fontana/III-2009",NA,NA,NA,"A. P. Fontana; F. Fadini, C. Esgario & L.N. Lima","1379","2005","04","23","Brasil","Espírito Santo","Itaguaçu","(divisa com Baixo Guandú) Serra do Sobreiro, Pedra do Caparaó, vegetação herbácea arbustiva","40W58'50","19S44'29","1000","1000","Rupestre, heliófila. Floresceu em cultivo. Flores com sépalas e pétalas rosadas e labelo lilás com calosidade branca","-40.980556","-19.741389","MBML043202",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-07-10 09:48:34-03","MBML","MBML-HERBARIO","25454",NA,"Plantae","Orchidaceae","Pseudolaelia","citrina","Pseudolaelia citrina","Pabst","L. Menini Neto/10-VIII-2010",NA,NA,NA,"A. P. Fontana; et al","1557","2005","07","16","Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso","40W46'31","19S47'49",NA,NA,"Herbácea, heliófila, rupestre, flores amarelas esverdeadas com dorso avermelhado.","-40.775278","-19.796944","MBML025454",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-07-10 09:48:34-03","MBML","MBML-HERBARIO","23691",NA,"Plantae","Orchidaceae","Pseudolaelia","citrina","Pseudolaelia citrina","Pabst","A.P.Fontana & L.Kollmann/2004",NA,NA,NA,"A. P. Fontana; et al","883","2004","04","10","Brasil","Espírito Santo","Itaguaçu","Pedra do Caparaó","40W58'52","19S44'29",NA,NA,"Heliófila, rupestre, pseudobulbosa, lilás, folhas verdes c/ margens lilás, inflorescência vináceo, ovário lilás. Sépala dorsal c/ parte vende c/ base c/ três nervuras vináceo e ápice com cinco nervuras vináceo e ventre verde amarelado","-40.981111","-19.741389","MBML023691",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-07-10 09:48:34-03","MBML","MBML-HERBARIO","24005",NA,"Plantae","Orchidaceae","Pseudolaelia","citrina","Pseudolaelia citrina","Pabst",NA,NA,NA,NA,"M. Frey; et al","514","2003","06","13","Brasil","Minas Gerais","Mutum","Imbiruçu, Pedra Santa","41W26'22","19S48'53",NA,NA,"Folhas arroxeadas e flores amarelas com dorso roxo. Ocorre num inselberg granítico de altitude aproximada de 1200 metros, evitando áreas muito vegetalizadas, consorciado com vellozias e bromélias que crescem no litosolo.","-41.439444","-19.814722","MBML024005",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-07-10 09:48:34-03","MBML","MBML-HERBARIO","24344",NA,"Plantae","Orchidaceae","Pseudolaelia","citrina","Pseudolaelia citrina","Pabst","L. Menini Neto/10-VIII-2010",NA,NA,NA,"A. P. Fontana; et al","1243","2005","03","09","Brasil","Espírito Santo","Santa Leopoldina","Luxemburgo, Pedra Preta","40W36'52","20S10'23",NA,NA,"Rupestre, heliófila. Folhas verdes com base roxa; pseudobulbos verdes c/ bainha paleáceas, multisulcados; inflorescência marrom com bainhas paleáceas, 3 nós, flores c/ sépalas amarelas carenadas no dorso, pétalas amarelas c/ carena na","-40.614444","-20.173056","MBML024344",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-07-10 09:48:34-03","MBML","MBML-HERBARIO","26772",NA,"Plantae","Orchidaceae","Pseudolaelia","citrina","Pseudolaelia citrina","Pabst","L. Menini Neto/10-VIII-2010",NA,NA,NA,"V. Demuner; L.F.S. Magnago, M. Belizário, Elias Bausen","1623","2006","01","18","Brasil","Espírito Santo","Marilândia","Liberdade (Água.Viva, Pedra do Cruzeiro), Prop.: Aguilar A. Lovucini","40W33'4","19S20'54","150","150","Rupícola, botões florais, flores com pétalas amarelas e labelo rosa, (CULTIVO). Solo raso, sobre rocha, (Cruzeiro a gruta).","-40.551111","-19.348333","MBML026772",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-07-10 09:48:34-03","MBML","MBML-HERBARIO","27402",NA,"Plantae","Orchidaceae","Pseudolaelia","citrina","Pseudolaelia citrina","Pabst","L. Menini Neto/10-VIII-2010",NA,NA,NA,"V. Demuner; L.F.S. Magnago, T. Cruz, Elias Bausen","2940","2006","10","18","Brasil","Espírito Santo","Águia Branca","Santa Luzia, prop.: Ciro Ferreira","40W39'56","18S58'40","170","170","Herbácea, botões florais, pétalas amarelas, labelo lilás. Vegetação rupestre.","-40.665556","-18.977778","MBML027402",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-07-10 09:48:34-03","MBML","MBML-HERBARIO","27872",NA,"Plantae","Orchidaceae","Pseudolaelia","citrina","Pseudolaelia citrina","Pabst","L. Menini Neto/10-VIII-2010",NA,NA,NA,"L. F. S. Magnago; V. Demuner, T. Cruz e Elias Bausen","862","2006","04","18","Brasil","Espírito Santo","Marilândia","Alto Liberdade, Pedra do Cruzeiro, propr.: Aguilar.","40W33'3","19S20'53","150","150","Flores amarelas, labelo vináceo. Rupícula ao sol (Cruzeiro a gruta).","-40.550833","-19.348056","MBML027872",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:48:34-03","MBML","MBML-HERBARIO","29563",NA,"Plantae","Orchidaceae","Pseudolaelia","citrina","Pseudolaelia citrina","Pabst","L. Menini Neto/10-VIII-2010",NA,NA,NA,"V. Demuner; T. Cruz, M. Belizário e Elias Bausen.","3459","2007","04","03","Brasil","Espírito Santo","Águia Branca","Santa Luzia, propr.: Ciro Ferreira","40W39'44","18S58'46","250","250","Herbácea flores com pétalas verdes, labelo lilás e frutos verdes. Afloramento rochoso.","-40.662222","-18.979444","MBML029563",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-07-10 09:48:34-03","MBML","MBML-HERBARIO","30204",NA,"Plantae","Orchidaceae","Pseudolaelia","citrina","Pseudolaelia citrina","Pabst","L. Menini Neto/10-VIII-2010",NA,NA,NA,"V. Demuner; T. Cruz, R. R. Vervloet e Elias Bausen.","3998","2007","05","18","Brasil","Espírito Santo","Águia Branca","Santa Luzia, propr.: Ciro Ferreira (proprriedade vendida)","40W39'46","18S58'19","450","450","Herbácea pétalas amarelas, labelo lilás, fruto verde. Afloramento rochoso.","-40.662778","-18.971944","MBML030204",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-07-10 09:48:34-03","MBML","MBML-HERBARIO","30305",NA,"Plantae","Orchidaceae","Pseudolaelia","citrina","Pseudolaelia citrina","Pabst","L. Menini Neto/10-VIII-2010",NA,NA,NA,"V. Demuner; R. R. Vervloet, T. Cruz e Elias Bausen.","4234","2007","06","13","Brasil","Espírito Santo","Marilândia","Liberdade (Água Viva, Pedra do Cruzeiro), propr.: Aguilar A. Lorenccini","40W33'4","19S20'54","630","630","Rupícola flores amarelas, coluna do labelo vinho. Afloramento rochoso.","-40.551111","-19.348333","MBML030305",NA,NA,NA,NA,NA,NA,NA,NA
