"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2020-09-23 10:41:54-03","E","E","167524","PreservedSpecimen","Plantae","Myrtaceae","Psidium","australe","Psidium australe","Fiebrig, K.","5012","1905","03","22","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:175924","<a href=http://data.rbge.org.uk/herb/E00167524 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00167524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:54-03","E","E","9575","PreservedSpecimen","Plantae","Myrtaceae","Psidium","australe","Psidium australe","Ratter, J.A.; Pott, A.; Bridgewater, S.; Filho, Fonsêca J.; Cardoso, C.F.R. & Dos Santos, G.B.",NA,"1996","09","26","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:47883","<a href=http://data.rbge.org.uk/herb/E00009575 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00009575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:54-03","E","E","167519","PreservedSpecimen","Plantae","Myrtaceae","Psidium","australe","Psidium australe","Ratter, J.A.; Gouvêa, L.K.; Semir, J.; Shepherd, G.; Ribeiro, F. & Sousa Silva, J.C.","4302","1978","11","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:175909","<a href=http://data.rbge.org.uk/herb/E00167519 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00167519","Sao Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1017400","PreservedSpecimen","Plantae","Myrtaceae","Psidium","australe","Psidium australe argenteum","L. B. Smith","14555","1965","01","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1206487' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017400","Paraná","Magnoliophyta","Myrtales","argenteum","(O.Berg) Landrum","L. R. Landrum","Piraí do Sul","Near Pirai do Sul","-50.17","-24.33","1000","1100","NY01017400_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1182417","PreservedSpecimen","Plantae","Myrtaceae","Psidium","australe","Psidium australe australe","J. C. Lindeman","4834","1967","03","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1402480' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182417","Paraná","Magnoliophyta","Myrtales","australe","Cambess.","L. R. Landrum",NA,"Fazenda Reserva, ca. 85 km SW of Guarapuava. Campo near Rio Reserva.","-52.0758963","-25.9309469","800","1050","NY01182417_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1182374","PreservedSpecimen","Plantae","Myrtaceae","Psidium","australe","Psidium australe argenteum","H. S. Irwin","25247a","1970","01","23","South America","Brazil","sheet",NA,"Label probably wrong. Plant description does not match specimen. Other collection of Irwin 25247 is Tibouchina. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401166' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182374","Goiás","Magnoliophyta","Myrtales","argenteum","(O.Berg) Landrum","L. R. Landrum","Catalão","Contraforte Central, ca. 27 km N.E. of Catalão","-47.76956","-17.99421","875","875","NY01182374_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","616962","PreservedSpecimen","Plantae","Myrtaceae","Psidium","australe","Psidium australe","A. Uhlmann","109","1994","11","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=536735' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616962","Paraná","Magnoliophyta","Myrtales",NA,"Cambess.","S. M. Silva","Jaguariaíva","Parque Estadual do Cerrado, Jaguariaíva","-49.68","-24.23",NA,NA,"NY00616962_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00958046","PreservedSpecimen","Plantae","Myrtaceae","Psidium","australe","Psidium australe argenteum","H. S. Irwin","14393","1966","04","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021056' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958046","Goiás","Magnoliophyta","Myrtales","argenteum","(O.Berg) Landrum","L. R. Landrum","Posse","Serra Geral de Goiás, Rio da Prata, ca. 6 km S. of Posse","-46.37","-14.13","800","800","NY00958046_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","617033","PreservedSpecimen","Plantae","Myrtaceae","Psidium","australe","Psidium australe argenteum","J. A. Ratter","R4864","1983","11","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=46530' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617033","São Paulo","Magnoliophyta","Myrtales","argenteum","(O.Berg) Landrum","C. E. B. Proença",NA,"Floresta de Angatuba; Instituto Florestal de SP","-48.42","-23.45",NA,NA,"NY00617033_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00958058","PreservedSpecimen","Plantae","Myrtaceae","Psidium","australe","Psidium australe suffruticosum","G. T. Prance","19225","1973","10","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021114' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958058","Mato Grosso","Magnoliophyta","Myrtales","suffruticosum","(O.Berg) Landrum","L. R. Landrum",NA,"Between Buriti and Chapada dos Guimarães.","-55.7608333","-15.4436","720","720","NY00958058_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","617061","PreservedSpecimen","Plantae","Myrtaceae","Psidium","australe","Psidium australe","J. A. Ratter","R4302","1978","11","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=375035' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617061","São Paulo","Magnoliophyta","Myrtales",NA,"Cambess.","C. E. B. Proença",NA,"St° Antonio da Posse, ± 20 km from Campinas on the road to Moji-Mirim",NA,NA,NA,NA,"NY00617061_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00958047","PreservedSpecimen","Plantae","Myrtaceae","Psidium","australe","Psidium australe argenteum","H. S. Irwin","12220","1966","02","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021057' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958047","Distrito Federal","Magnoliophyta","Myrtales","argenteum","(O.Berg) Landrum","L. R. Landrum","Brasília",NA,"-47.9167","-15.7833","950","950","NY00958047_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00958045","PreservedSpecimen","Plantae","Myrtaceae","Psidium","australe","Psidium australe argenteum","H. S. Irwin","25224","1970","01","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021053' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958045","Goiás","Magnoliophyta","Myrtales","argenteum","(O.Berg) Landrum","L. R. Landrum","Catalão","Contraforte Central, ca. 26 km N.E. of Catalão","-47.77624","-18.0006","875","875","NY00958045_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00958048","PreservedSpecimen","Plantae","Myrtaceae","Psidium","australe","Psidium australe argenteum","H. S. Irwin","7432","1964","10","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021058' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958048","Goiás","Magnoliophyta","Myrtales","argenteum","(O.Berg) Landrum","L. R. Landrum","Jataí","Ca. 60 km. S. of Caiapônia on rd. to Jataí. Serra do Caiapó.","-51.75","-17.4","800","1000","NY00958048_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1182320","PreservedSpecimen","Plantae","Myrtaceae","Psidium","australe","Psidium australe australe","G. G. Hatschbach","42641","1979","12","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399685' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182320","Paraná","Magnoliophyta","Myrtales","australe","Cambess.","L. R. Landrum","Balsa Nova","S. Luis do Puruna","-49.6356","-25.5842",NA,NA,"NY01182320_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1182379","PreservedSpecimen","Plantae","Myrtaceae","Psidium","australe","Psidium australe australe","H. S. Irwin","26707","1970","02","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401173' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182379","Distrito Federal","Magnoliophyta","Myrtales","australe","Cambess.","L. R. Landrum","Brasília","Ca. 1 km N. of Barragem Paranoá, DF-9.","-47.7843","-15.7977","1000","1000","NY01182379_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1182325","PreservedSpecimen","Plantae","Myrtaceae","Psidium","australe","Psidium australe australe","E. P. Heringer","702","1978","11","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401081' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182325","Distrito Federal","Magnoliophyta","Myrtales","australe","Cambess.","L. R. Landrum","Brasília","A 500 m da margem do lago Paranoá","-47.9294","-15.7797",NA,NA,"NY01182325_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00958057","PreservedSpecimen","Plantae","Myrtaceae","Psidium","australe","Psidium australe suffruticosum","H. S. Irwin","25885","1970","02","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021112' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958057","Minas Gerais","Magnoliophyta","Myrtales","suffruticosum","(O.Berg) Landrum","L. R. Landrum","Paracatú","Serra da Anta, summit of chapada, ca. 10 km N.W. of Paracatú","-46.93505","-17.16625","900","900","NY00958057_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
