"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","imagecode","identifiedBy","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","individualCount","eventTime","fieldNumber","sex"
"1","2020-09-23 10:41:54-03","E","E","112726","PreservedSpecimen","Plantae","Myrtaceae","Psidium","guineense","Psidium guineense","Pedersen, Troels M.","2952","1954","10","24","Temperate South America","AR","Prov. de Corrientes","Dept. Ituzaingó","Estancia Puerto Valle.","herbarium specimen of unspecif","BGBASE:133894","<a href=http://data.rbge.org.uk/herb/E00112726 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00112726",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:54-03","E","E","55783","PreservedSpecimen","Plantae","Myrtaceae","Psidium","guineense","Psidium guineense","Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca",NA,"1997","11","05","E. Tropical South America","BR",NA,NA,NA,"herbarium specimen of unspecif","BGBASE:62915","<a href=http://data.rbge.org.uk/herb/E00055783 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00055783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:54-03","E","E","9561","PreservedSpecimen","Plantae","Myrtaceae","Psidium","guineense","Psidium guineense","Ratter, J.A.; Pott, A.; Bridgewater, S.; Filho, Fonsêca J.; Cardoso, C.F.R. & Dos Santos, G.B.",NA,"1996","09","27","E. Tropical South America","BR",NA,NA,NA,"herbarium specimen of unspecif","BGBASE:47884","<a href=http://data.rbge.org.uk/herb/E00009561 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00009561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:54-03","E","E","100471","PreservedSpecimen","Plantae","Myrtaceae","Psidium","guineense","Psidium guineense","Bridgewater, S., Ratter, J.A., Filho, J.F. & Dias, T.",NA,"1999","08","24","E. Tropical South America","BR",NA,NA,NA,"herbarium specimen of unspecif","BGBASE:109867","<a href=http://data.rbge.org.uk/herb/E00100471 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:54-03","E","E","57670","PreservedSpecimen","Plantae","Myrtaceae","Psidium","guineense","Psidium guineense","Dubs, B.","1932","1995","11","04","E. Tropical South America","BR",NA,NA,NA,"herbarium specimen of unspecif","BGBASE:65996","<a href=http://data.rbge.org.uk/herb/E00057670 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00057670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:54-03","E","E","167520","PreservedSpecimen","Plantae","Myrtaceae","Psidium","guineense","Psidium guineense","Ratter, J.A.","3539","1976","09","04","E. Tropical South America","BR","Goias",NA,NA,"herbarium specimen of unspecif","BGBASE:175922","<a href=http://data.rbge.org.uk/herb/E00167520 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00167520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:41:54-03","E","E","15394","PreservedSpecimen","Plantae","Myrtaceae","Psidium","guineense","Psidium guineense","Nascimento, Marcelo T.","19",NA,NA,NA,"E. Tropical South America","BR",NA,NA,NA,"herbarium specimen of unspecif","BGBASE:22654","<a href=http://data.rbge.org.uk/herb/E00015394 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00015394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:41:54-03","E","E","167535","PreservedSpecimen","Plantae","Myrtaceae","Psidium","guineense","Psidium guineense","Cuming, Hugh","1273",NA,NA,NA,"W. Tropical South America","CO",NA,NA,"North coast of Colombia and Panama","herbarium specimen of unspecif","BGBASE:176114","<a href=http://data.rbge.org.uk/herb/E00167535 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00167535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:41:54-03","E","E","232302","PreservedSpecimen","Plantae","Myrtaceae","Psidium","guineense","Psidium guineense","Bridgewater, S., Ratter, J.A., Filho, J.F. & Dias, T.",NA,"1999","08","24","E. Tropical South America","BR",NA,NA,NA,"herbarium specimen of unspecif","BGBASE:244199","<a href=http://data.rbge.org.uk/herb/E00232302 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00232302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","405530","PreservedSpecimen","Plantae","Myrtaceae","Myrtus","hauthalii","Myrtus hauthalii","R. Hauthal","s.n.","1892","10",NA,"South America","Paraguay",NA,NA,"Ibitimi","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=703589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405530","Magnoliophyta","Myrtales","Kuntze","holotype","NY00405530_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
