"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","geoFlag","phylum","imagecode","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","continentOcean","class","order","relatedCatalogItem"
"1","2020-06-29 11:29:43-03","UFRJ","RFA","43481","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","juengeri","Rhipsalis juengeri","Barthlott & N.P.Taylor","W.C. Cardoso","2017","L. Kollmann; E.Bausen","5384","2002","01","29","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi. Trilha da Cachoeira, sede nova.","-40.6002998352051","-19.9356002807617","23813","800","800","Epífita. Frutos verdes.","RFA52893","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:04:12-03","ESALQ","ESA","107438","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","juengeri","Rhipsalis juengeri",NA,"Zappi","2006","Medeiros, E.V.S.S.","370.0","2004","11","10","Brasil","Minas Gerais","Lima Duarte",NA,"-43.793098449707","-21.8425006866455","30417",NA,NA,NA,"ESA107438","auto","Magnoliophyta","ESA107438",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:04:12-03","ESALQ","ESA","85412","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","juengeri","Rhipsalis juengeri","Barthlott & N.P. Taylor","Zappi, D.C.","2005","Paula-Souza, J.; Souza, V.C.; Mello-Silva, R.","3624.0","2003","11","06","Brasil","São Paulo","Caraguatatuba","Estrada da Petrobrás (descendo em direção a Caraguatatuba), km 42. Subida para o morro à esquerda da estrada","-454.032","-233.831",NA,NA,NA,"Epífita, flores alvas","ESA085412",NA,"Magnoliophyta","ESA085412","01","01","-454,032","-233,831",NA,NA,NA,NA
"4","2020-11-04 10:55:10-03","ESALQ","ESA","140503","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","juengeri","Rhipsalis juengeri","Barthlott & N.P.Taylor","Gibau, A.",NA,"Gibau, A.; Silva-Filho, A.A. ; Brito, T.R.O. ; Santos, P.M.L.A.","138.0","2016","12","13","Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina - Pedra da Macela - Transição entre campo de altitude e floresta","-44.7131004333496","-23.2178001403809","34470",NA,NA,"Epífita. Flores alvas. Fruto vermelho","ESA140503","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:04:12-03","ESALQ","ESA","34177","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","juengerii","Rhipsalis juengerii","Barthlott & N.T.Taylor","Aona, L.Y.S.",NA,"Bertoncini, A.P. et al.","786.0","1996","12","16","Brasil","São Paulo","Cunha",NA,"-44.9599990844727","-23.0699996948242","38855",NA,NA,NA,"ESA034177","auto","Magnoliophyta","ESA034177",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 10:55:10-03","ESALQ","ESA","141784","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","juengeri","Rhipsalis juengeri","Barthlott & N.P.Taylor","Gibau, A.","2016","T.B. Flores, P.E. Antonio, P.M.L.A. Santos, C.H. Almeida","2169.0","2015","11","27","Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina - Pedra da Macela - Campo de altitude, próximo a torre de transmissão.","-44.7131004333496","-23.2178001403809","34470",NA,NA,"Epífita com frutos avermelhados.","ESA141784","auto",NA,NA,"05","20",NA,NA,NA,NA,NA,NA
"7","2020-11-04 10:55:10-03","ESALQ","ESA","140383","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","juengeri","Rhipsalis juengeri","Barthlott & N.P.Taylor","Gibau, A.",NA,"Gibau, A.; Silva-Filho, A.A. ; Brito, T.R.O. ; Santos, P.M.L.A.","18.0","2016","12","12","Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina - Pedra da Macela - Transição entre campo de altitude e floresta, próx. ao pico.","-44.7131004333496","-23.2178001403809","34470",NA,NA,"Epífita. Flores cremes","ESA140383","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:26:43-03","MN","R","218939","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","juengeri","Rhipsalis juengeri","Barthlott & N.P. Taylor",NA,NA,"Almeida, M.C. ; Costa, L.M. & Santos, F.B.","12","2013","02","23","Brasil","Minas Gerais","Conceição do Ibitipoca",NA,"-43.89745","-21.696683",NA,"1656","1656",NA,"R010028934",NA,NA,NA,NA,NA,"-43.897450","-21.696683",NA,NA,NA,NA
"9","2020-06-30 18:32:06-03","UFJF","CESJ","8594","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","juengeri","Rhipsalis juengeri","Barthlott & N.P. Taylor","D.R. Gonzaga","2014","L. Krieger","CESJ8594","1970","05","12","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca","-43.793098449707","-21.8425006866455","30417",NA,NA,"Epífita, pendente, flores róseas.","CESJ008594","auto","Angiosperma",NA,"01","21",NA,NA,"América do Sul",NA,NA,NA
"10","2020-06-30 18:32:06-03","UFJF","CESJ","60842","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","juengeri","Rhipsalis juengeri","Barthlott & N.P. Taylor","D.R. Gonzaga","2012","D.R. Gonzaga; L. Menini Neto; S.G. Furtado","50","2012","10","28","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Mata da entrada da Gruta do Fugitivo.","-43.793098449707","-21.8425006866455","30417",NA,NA,"Epífita ou rupícola facultativa a ca. 3m; flores alvas e frutos róseos imaturos. Flores e frutos terminais.","CESJ060842","auto","Angiosperma",NA,"10","28",NA,NA,"América do Sul",NA,NA,NA
