"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","previousCatalogNumber","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:22-03","UNESC","CRI","11472","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","pachyptera","Rhipsalis pachyptera","Pfeiff.","M. F. Freitas","2010","07","01","T.J. Cadorin; H. F. Uller & C. P. L. Oliveira","938","2009","12","10","Brasil","Santa Catarina","Joinville","Serra Dona Francisca.","-49.047778","-26.1925","49º2'52''W","26º11'33''S","576","576","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: epífita","CRI006353","CRI006353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:06-03","UNESC","CRI","11228","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","pachyptera","Rhipsalis pachyptera","Pfeiff.","M. F. Freitas","2010","07","29","T.J. Cadorin; B. Grosch & C.P. Lopes","1152","2010","02","02","Brasil","Santa Catarina","Joinville","Rio Manso.","-49.14","-26.28","49º8'24''W","26º16'48''S","770","770","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: epífita","CRI006348","CRI006348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:22-03","UNESC","CRI","11409","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","pachyptera","Rhipsalis pachyptera","Pfeiff.","M. F. Freitas","2010","07","01","T.J. Cadorin; H.F. Uller & C.P.L. Oliveira","831","2009","12","10","Brasil","Santa Catarina","Joinville","Serra Dona Francisca.","-49.047778","-26.1925","49º2'52''W","26º11'33''S","576","576","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: epífita","CRI006352","CRI006352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:22-03","UNESC","CRI","11827","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","pachyptera","Rhipsalis pachyptera","Pfeiff.","Guilherme Lodetti",NA,NA,NA,"Guilherme Alves Elias; Robson dos Santos, Peterson T. Padilha & Guilherme Lodetti",NA,"2016","04","04","Brasil","Santa Catarina","Grão Pará","Parque Estadual Serra Furada.","-49.389167","-28.188889","49º23'21''W","28º11'20''S","502","502","Floresta Ombrófila Densa Montana Habito: epífita","CRI006350","CRI006350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:06-03","UNESC","CRI","11582","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","pachyptera","Rhipsalis pachyptera","Pfeiff.","M.J. Rigon-Junior","2010","08","24","J.L. Schmitt; T.J. Cadorin & A.L. de Gasper","51","2009","09","14","Brasil","Santa Catarina","Blumenau","Parque Nacional da Serra do Itajaí - Spitzkopf.","-49.118056","-27.006944","49º7'5''W","27º0'25''S","249","249","Floresta Ombrófila Densa","CRI008615","CRI008615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:06-03","UNESC","CRI","11642","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","pachyptera","Rhipsalis pachyptera","Pfeiff.","M.J. Rigon-Junior","2010","08","24","M. Verdi; N.L. de Souza, G. Klemz & D.H. Klettenberg","4401","2010","04","13","Brasil",NA,"São","SC - 431.","-49.030278","-28.116389","49º1'49''W","28º6'59''S","210","210","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: rupícola","CRI006351","CRI006351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:22-03","UNESC","CRI","1602","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","platycarpa","Rhipsalis platycarpa","Pfeiff.","J. L. Waechter",NA,NA,NA,"V. Citadini-Zanette; robson dos Santos & J. l. Waechter",NA,"1993","08","06","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habito: epífita","CRI006354","CRI006354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:06-03","UNESC","CRI","3293","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","platycarpa","Rhipsalis platycarpa","Pfeiff.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Robson dos Santos & Clair Maria Martinello","1906","1994","03","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI006346","CRI006346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:22-03","UNESC","CRI","1624","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","platycarpa","Rhipsalis platycarpa","Pfeiff.","J. L. Waechter","1993","07","26","V. Citadini-Zanette; R. R. B. Negrelli & C. M. Martinello","1669","1992","02","10","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habito: epífita","CRI006345","CRI006345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:22-03","UNESC","CRI","1625","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","platycarpa","Rhipsalis platycarpa","Pfeiff.","J. L. Waechter","1993","07","26","V. Citadini-Zanette; a. j. de Aguiar & J. J. Soares","1670","1992","10","22","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habito: epífita","CRI006347","CRI006347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:33:22-03","UNESC","CRI","4826","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","platycarpa","Rhipsalis platycarpa","Pfeiff.",NA,NA,NA,NA,"R. dos Santos; C. M. Martinello",NA,"1996","06","04","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.288056","-28.358611","49º17'17''W","28º21'31''S",NA,NA,NA,"CRI006344","CRI006344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","645698","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","pachyptera","Rhipsalis pachyptera","Pfeiff.","N. P. Taylor; D. C. Zappi",NA,NA,NA,"R. Reitz","1847","1954","05","14","Brazil","Santa Catarina","Itajaí","Morro da Fazenda, Itajaí","-48.6617","-26.9081",NA,NA,"70","70","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396592' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645698","NY00645698_01 NY00645698_02","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","645693","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","pachyptera","Rhipsalis pachyptera","Pfeiff.",NA,NA,NA,NA,"J. N. Rose","20332","1915","07","22","Brazil","Rio de Janeiro",NA,"Ilha Grande, Distrito Federal, Rio de Janeiro","-44.234582","-23.150897",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396601' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645693","NY00645693_01","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
