"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","relatedCatalogItem","verbatimLongitude","verbatimLatitude","relationshipType","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","626266","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","K. S. Edwards","P. K. H. Dusén","11984","1911","07","28","South America","Brazil","Paraná","Volta Grande.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485749' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626266","NY00626266_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","626269","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","K. S. Edwards","A. C. Brade","14908","1935","06","29","South America","Brazil","Rio de Janeiro",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485750' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626269","NY00626269_01","Angra dos Reis","-44.3181","-23.0069","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","626264","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","K. S. Edwards","P. K. H. Dusén","5019","1904","06","25","South America","Brazil","Rio de Janeiro","Tijuca.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485748' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626264","NY00626264_01",NA,"-43.274528","-22.95583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","626265","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","K. S. Edwards","G. G. Hatschbach","HH-18185","1967","12","27","South America","Brazil","Paraná","Sitio do Belizrio.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485751' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626265","NY00626265_01","Campina Grande do Sul","-49.0553","-25.3058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","626267","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","K. S. Edwards","G. G. Hatschbach","20199","1968","11","05","South America","Brazil","Paraná","Col. Floresta.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485752' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626267","NY00626267_01","Morretes","-48.8342","-25.4769","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02674919","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","D. Piotto","D. Piotto","2324","2010","06","10","South America","Brazil","Bahia","Parque Est. Serra do Conduru","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3671239' target='other'> <mi>dwc_moreinfo</mi></a>","NY02674919","NY02674919_01","Uruçuca","-39.08","-14.42","120","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","626263","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","K. S. Edwards","L. B. Smith","7388","1956","11","08","South America","Brazil","Santa Catarina","Lower slopes of Morro Iquererim.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485747' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626263","NY00626263_01","Campo Alegre","-49.2656","-26.1925","1000","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","626268","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","K. S. Edwards","A. P. Duarte","9876","1961","09","06","South America","Brazil","Rio de Janeiro","Guanabara, Bom Retiro, Tijuca.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485753' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626268","NY00626268_01",NA,"-43.286923","-22.958882",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","626262","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","consimilis","Roupala consimilis","Mez",NA,"G. Martinelli","12256","1987","10","05","South America","Brazil","Rio de Janeiro","Reserva Ecológica Municipal de Macaé de Cima, Nascente do Rio das Flores.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485754' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626262","NY00626262_01","Nova Friburgo","-42.05","-22","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:20:46-03","UFRJ","RFA","8769","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Roupala","consimilis","Roupala consimilis","Mez","H. Sleumer","G.G. Hatschbach","18185","1967","12","27",NA,"Brasil","Paraná","Sítio do Belizário",NA,"Árvore de 10m","RFA27726",NA,"Campina Grande do Sul","-49.0553016662598","-25.3055992126465",NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
