"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","infraspecificEpithet","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","437981","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Schinus","engleri","Schinus engleri","F.A.Barkley","L. P. de Queiroz","2683","1990","10","06","South America","Brazil","São Paulo","Campos do Jordao","Reserva do Instituto Florestal. Caminho da Cachoeira, ao longo do rio das Trutas.","-45.57","-22.72","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=48157' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437981","NY00437981_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02423619","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Schinus","engleri","Schinus engleri","F.A.Barkley","C. L. Silva-Luz","259","2014","03","07","South America","Brazil","Santa Catarina","Urubici","Parque Nacional de São Joaquim. Trilha próxima ao alojamento do parque em direção à cachoeira. Beira da trilha, lado direito.","-49.62581","-28.14164","1382",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2669412' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423619","NY02423619_01","C. L. Silva-Luz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","438032","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Schinus","engleri","Schinus engleri","F.A.Barkley","D. J. Carriao","s.n.",NA,NA,NA,"South America","Brazil","Paraná","Curitiba","Parque Barigui.","-49.22","-25.37",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478602' target='other'> <mi>dwc_moreinfo</mi></a>","NY00438032","NY00438032_01","C. L. Silva-Luz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02423618","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Schinus","engleri","Schinus engleri","F.A.Barkley","C. L. Silva-Luz","225","2013","11","30","South America","Brazil","Rio Grande do Sul","Cambará do Sul","Parque Nacional Aparados da Serra. Trilha do Cotovelo. Lado esquerdo da trilha.","-50.08986","-29.16047","926",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2669407' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423618","NY02423618_01","C. L. Silva-Luz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","437974","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Schinus","engleri","Schinus engleri","F.A.Barkley","L. B. Smith","7865","1956","11","22","South America","Brazil","Santa Catarina","Bom Retiro","Falls of Rio Canoas, Campo dos Padres.","-49.4892","-27.7972","1300","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=48153' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437974","NY00437974_01","L. B. Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","777963","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Schinus","engleri","Schinus engleri","F.A.Barkley","A. C. Cervi","6758","1999","08","26","South America","Brazil","Paraná","Curitiba","UFPR, Centro Politécnico","-49.22","-25.27",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=48150' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777963","NY00777963_01","A. C. Cervi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","437982","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Schinus","engleri","Schinus engleri","F.A.Barkley","L. P. de Queiroz","2663","1990","10","06","South America","Brazil","São Paulo","Campos do Jordao","Reserva do Instituto Florestal. Caminho da Cachoeira, ao longo do rio das Trutas. Campo de altitude.","-45.57","-22.72","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=48158' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437982","NY00437982_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02702142","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Schinus","engleri","Schinus engleri","F.A.Barkley","C. L. Silva-Luz","161","2011","08","27","South America","Brazil","São Paulo","Campos do Jordao","Parque Estadual de Campos do Jordão. Caminho para a trilha do rio Sapucaí, beira da trilha. Proximo ao centro de visitantes.","-45.48061","-22.68867","1393",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2997363' target='other'> <mi>dwc_moreinfo</mi></a>","NY02702142","NY02702142_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1017210","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Schinus","engleri","Schinus engleri","F.A.Barkley","J. Cordeiro","126","1985","08","22","South America","Brazil","Paraná","Curitiba","Guabirotuba.","-49.2731","-25.4281",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1200901' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017210","NY01017210_01","C. L. Silva-Luz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02702141","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Schinus","engleri","Schinus engleri","F.A.Barkley","C. L. Silva-Luz","165","2011","08","27","South America","Brazil","São Paulo","Campos do Jordao","Parque Estadual de Campos do Jordão. Trilha da cachoeira, beira da trilha. Margem do rio Sapucaí.","-45.47533","-22.69056","1516",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2997362' target='other'> <mi>dwc_moreinfo</mi></a>","NY02702141","NY02702141_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","437978","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Schinus","engleri","Schinus engleri","F.A.Barkley","J. C. Lindeman","2428","1966","11","08","South America","Brazil","Paraná","Curitiba","10 km W of Curitiba.","-49.2731","-25.4281","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=48156' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437978","NY00437978_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","437980","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Schinus","engleri","Schinus engleri","F.A.Barkley","G. Jönsson","s.n.","1914","09","10","South America","Brazil","Paraná","Curitiba","In campo.","-49.2731","-25.4281",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=48154' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437980",NA,"F. A. Barkley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","437975","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Schinus","engleri","Schinus engleri","F.A.Barkley","L. B. Smith","13473","1964","12","03","South America","Brazil","Santa Catarina","Agua Doce","Campos de Palmas, 28.5 km SE of Horizonte (Paraná).","-51.42","-26.75","1000","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=48152' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437975","NY00437975_01","L. B. Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","437979","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Schinus","engleri","Schinus engleri","F.A.Barkley","G. G. Hatschbach","14990","1966","10","18","South America","Brazil","Paraná","General Carneiro","Cab. Rio Iratim.","-51.3156","-26.4275",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=48149' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437979","NY00437979_01","J. de D. Muñoz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","437977","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Schinus","engleri","Schinus engleri","F.A.Barkley","J. C. Lindeman","2429","1966","11","08","South America","Brazil","Paraná","Curitiba","10 km W of Curitiba.","-49.2731","-25.4281",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=48155' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437977","NY00437977_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","437976","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Schinus","engleri","Schinus engleri","F.A.Barkley","R. Reitz","9704","1960","08","11","South America","Brazil","Santa Catarina","Sao José","Serra da Boa Vista, Sao José","-48.6272","-27.6156","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=48151' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437976",NA,"L. B. Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-06-29 11:28:45-03","UFRJ","RFA","9669","PreservedSpecimen","Plantae",NA,NA,"Anacardiaceae","Schinus","engleri","Schinus engleri uruguayensis","F.A.Barkley",NA,NA,NA,NA,NA,NA,"Uruguai",NA,"Uruguai",NA,NA,NA,NA,NA,NA,NA,"RFA28408",NA,NA,"uruguayensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
