"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","typeStatus","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","geoFlag","monthIdentified","continentOcean","verbatimLongitude","verbatimLatitude","individualCount","dayIdentified","fieldNumber"
"1","2019-08-27 13:27:56-03","IAP","PACA-AGP","84871","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Asterales","Compositae","Senecio","promatensis","Senecio promatensis","Matzenbacher","N. I. Matzenbacher","1995","Isotipo","N. I. Matzenbacher","2123","1995","09","30","Brasil","RS","São Francisco de Paula","Centro de Pesquisas e Conservação da Natureza (Pro-Mata/PUC-RS); 1km a SW da sede","-50.5835990905762","-29.4480991363525","76715","940","940","Associado a Sphagnum sp e Senecio juergensii Mattf.&nf;ISOTYPUS. Habitat: em turfeira","PACA084871","PACA084871","auto",NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:27:56-03","IAP","PACA-AGP","92271","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Asterales","Compositae","Senecio","promatensis","Senecio promatensis","Matzenbacher","C. Mondin","2001",NA,"Mondin, C.","2390","2001","10","29","Brasil","RS","São Francisco de Paula","Pró-Mata PUC","-50.5835990905762","-29.4480991363525","76715",NA,NA,"erva ca. 80 cm alt. Capítulos amarelos&nf;HASU 15650 Habitat: turfeira Hábito: erva","PACA092271",NA,"auto","10",NA,NA,NA,NA,NA,NA
"3","2019-01-17 11:24:41-02","PUCRS","MPUC","9696","S","Plantae",NA,"Magnoliopsida","Asterales","Asteraceae","Senecio","promatensis","Senecio promatensis","Matzenbacher","N.I. Matzenbacher",NA,NA,NA,NA,"2000","10","21","Brasil","RS","São Francisco de Paula","CPCN Pró-Mata","-50.1744444","-29.4808333",NA,NA,NA,"Coleta em turfeira",NA,NA,NA,NA,"South America","-50.1744444000","-29.4808333000","1",NA,NA
"4","2019-01-17 11:24:41-02","PUCRS","MPUC","7453","S","Plantae",NA,"Magnoliopsida","Asterales","Asteraceae","Senecio","promatensis","Senecio promatensis","Matzenbacher","N.I. Matzenbacher","2011","ISOTYPUS","et.al.",NA,"1995","09","30","Brasil","RS","São Francisco de Paula","CPCN Pró-Mata","-50.1744444","-29.4808333",NA,NA,NA,"Coletada em turfeira, 1 km a Sw da sede do Pró-Mata, associada com Sphagnum sp. e Senecio Jurgensii Mattf. 940 msm.",NA,NA,NA,"01","South America","-50.1744444000","-29.4808333000","6","01","23/10/1905"
"5","2019-01-17 11:24:41-02","PUCRS","MPUC","20944","S","Plantae",NA,"Magnoliopsida","Asterales","Asteraceae","Senecio","promatensis","Senecio promatensis","Matzenbacher","C.A. Mondin",NA,NA,NA,NA,"2009","11","07","Brasil","RS","São Francisco de Paula","Pró-Mata","-50.5835990905762","-29.4480991363525","76715",NA,NA,"Na turfeira",NA,NA,"auto",NA,"South America",NA,NA,"1",NA,"3440"
"6","2019-01-17 11:24:41-02","PUCRS","MPUC","9612","S","Plantae",NA,"Magnoliopsida","Asterales","Asteraceae","Senecio","promatensis","Senecio promatensis","Matzenbacher","N.I. Matzenbacher","2010",NA,NA,NA,"1996","10","12","Brasil","RS","São Francisco de Paula","CPCN Pró-Mata","-50.1744444","-29.4808333",NA,NA,NA,NA,NA,NA,NA,"01","South America","-50.1744444000","-29.4808333000","1","01",NA
"7","2021-01-28 13:24:37-03","PUCRS","MPUC","8654","S","Plantae",NA,"Magnoliopsida","Asterales","Asteraceae","Senecio","promatensis","Senecio promatensis","Matzenbacher","W. Maier",NA,NA,NA,NA,NA,NA,NA,"Brasil","RS","São Francisco de Paula",".","-50.5835990905762","-29.4480991363525","76715",NA,NA,NA,NA,NA,"auto",NA,"South America",NA,NA,"1",NA,NA
"8","2020-12-21 16:17:13-03","MBM","MBM","212651","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Senecio","promatensis","Senecio promatensis","Matzenb.","Matzenbacher, N.I.",NA,"ISOTYPE","Matzenbacher, N.I.; et al.; et al.","2123","1995","09","30","Brazil","Rio Grande do Sul","São Francisco de Paula","Centro de Pesq. e Cons. da Natureza Pró-Mata, 1 km a SW da sede do Pró-Mata","-50.5835990905762","-29.4480991363525","76715","940","940","Em turfeira; Em turfeira, associado com Sphagnum sp. e Senecio jürgensii Mattf.","MBM212651","MBM212651 MBM212651_1 MBM212651_2","auto",NA,"Southern America",NA,NA,NA,NA,NA
"9","2019-11-07 11:43:57-03","FUVATES","HVAT","1687","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Senecio","promatensis","Senecio promatensis","Matzenb.","E. Freitas","2004",NA,"E. Freitas","s.n.","2004","12","01","Brasil","Rio Grande do Sul","São Francisco de Paula","Pró Mata.","-50.583611","-29.448056",NA,NA,NA,"8 flores liguladas amarelas.; Planta endêmica de uma turfeira (microendemismo) a sudoeste da estação Pró-mata.","HVAT00001687",NA,NA,"12",NA,"-50º35'1''W","-29º26'53''S",NA,"01",NA
"10","2020-11-12 16:58:29-03","UEL","FUEL","20373","PreservedSpecimen","Plantae","Tracheophyta",NA,"Asterales","Asteraceae","Senecio","promatensis","Senecio promatensis","Matzenbacher","Matzenbacher, NI","1996",NA,"Matzenbacher, NI; Campani, DM","2184","1996","10","12","Brasil","Rio Grande do Sul","São Francisco de Paula","Centro de Pesquisas e Conservaçao da Natureza Pro-, Mata","-50.5835990905762","-29.4480991363525","76715",NA,NA,NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA
