"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","recordNumber","continentOcean","imagecode","locality","class","order","coordinatePrecision","geoFlag","preparationType","fieldNumber","minimumElevationInMeters","maximumElevationInMeters","individualCount","typeStatus","relatedCatalogItem"
"1","2021-02-08 11:10:14-03","UNESP-IBB","BOTU","29540","PreservedSpecimen","Plantae","Sapindaceae","Serjania","deflexa","Serjania deflexa","Gardner","Mantovani, W.","2013","08","15","Galhego, A.A.","1994","07","25","Brasil","São Paulo","Botucatu","-48.434167","-22.872222","48°26'3w","22°52'20s","Jardim Botânico UNESP Botucatu","BOTU029540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:43:47-03","EAO","IAN","21999","PreservedSpecimen","Plantae","Sapindaceae","Serjania","deflexa","Serjania deflexa","Gardner",NA,NA,NA,NA,"Lhotsky",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN021999","Dicotiledônea","s.n.","Southern America","IAN021999_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:33:33-03","MN","R","8263","PreservedSpecimen","Plantae","Sapindaceae","Serjania","deflexa","Serjania deflexa","Gardner","Acevedo-Rdgz, P.","2005",NA,NA,"Glaziou, A.F.M.","1863","05","12","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000008263",NA,"141",NA,"R000008263_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-07-02 14:04:13-03","JBP","HPL","7574","S","Plantae","Sapindaceae","Serjania","deflexa","Serjania deflexa",NA,"M.S. Ferrucci","2005","01","10","G.F. Arbocz","1996","08","03","Brasil","MG","Mimoso",NA,NA,NA,NA,NA,NA,NA,"1685",NA,NA,"Coletado nas proximidades do município de Mimoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:32:46-03","IAP","PACA-AGP","96406","PreservedSpecimen","Plantae","Sapindaceae","Serjania","deflexa","Serjania deflexa","Gard.","Azeveda","1990",NA,NA,"Nat Luiz Emygdio","1942","08","14","Brasil","RJ","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"HASU 15243","PACA096406","Magnoliophyta",NA,NA,NA,"Faz. Boa Fé, Teresopólis","Magnoliatae","Santalales","57442","auto",NA,NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:44:59-03","UFJF","CESJ","42351","PreservedSpecimen","Plantae","Sapindaceae","Serjania","deflexa","Serjania deflexa","Gardn.",NA,"2007",NA,NA,"K. Antunes; C.N. Matozinhos; O.J. Bastos Neto; F.R.G. Salimena; P.H. Nobre","2004","05","21","Brasil","Minas Gerais","Rio Preto","-43.8278007507324","-22.0891990661621",NA,NA,"Liana, borda de mata. Cálice verde claro, corola branca. Anteras e gineceu brancos, estigma amarelo.","CESJ042351","Angiosperma","133","América do Sul",NA,"Serra Negra, Estrada do Vilarejo do Funil.",NA,NA,"20815","auto",NA,NA,NA,NA,NA,NA,NA
"7","2019-08-20 10:25:56-03","UNICAMP","UEC","14427","S","Plantae","Sapindaceae","Serjania","deflexa","Serjania deflexa","Gardner",NA,NA,NA,NA,"Kuhlmann, M","1950","06","12","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"UEC047865","Magnoliopsida","2502",NA,"UEC047865","São Francisco dos Campos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-20 10:25:56-03","UNICAMP","UEC","14428","S","Plantae","Sapindaceae","Serjania","deflexa","Serjania deflexa","Gardner",NA,NA,NA,NA,"Kuhlmann, M","1950","06","12","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"UEC081206","Magnoliopsida","2502",NA,"UEC081206","São Francisco dos Campos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:40:56-03","UNICAMP","UEC","75729","S","Plantae","Sapindaceae","Serjania","deflexa","Serjania deflexa","Gardner","Ferrucci, MS","1997",NA,NA,"Sugiyama, M; Proença, SL; Kiyama, CY; Catharino, ELM","1995","05","11","Brazil","São Paulo","Bananal","-44.416667","-22.816667","-44.416667","-22.816667","Trepadeira. Flores brancas.","UEC047866","Magnoliopsida","1354",NA,"UEC047866","Estrada para Sede da Pró-Bocaina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:40:56-03","UNICAMP","UEC","77175","S","Plantae","Sapindaceae","Serjania","deflexa","Serjania deflexa","Gardner","Ferrucci, MS","1997",NA,NA,"Gianotti, E","1992","06","08","Brazil","São Paulo","Campos do Jordão","-45.5900001525879","-22.7299995422363",NA,NA,"Liana, frutos com alas alaranjados nas margens das linhas de deiscência; beira de mata.","UEC047864","Magnoliopsida","26666",NA,"UEC047864","Praia São josé dos Alpes.",NA,NA,"21048","auto",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-01 16:40:56-03","UNICAMP","UEC","84500","S","Plantae","Sapindaceae","Serjania","deflexa","Serjania deflexa","Gardner","Somner, GV","1997","03","27","Kawasaki, ML; Franco, GADC","1994","08","17","Brazil","São Paulo","Cunha","-44.9599990844727","-23.0699996948242",NA,NA,"Trepadeira, frutos verde amarelodos","UEC081205","Magnoliopsida","566",NA,"UEC081205","Parque Estadual da Serra do Mar, picada do rio Bonito",NA,NA,"38855","auto",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-01 16:40:56-03","UNICAMP","UEC","83826","S","Plantae","Sapindaceae","Serjania","deflexa","Serjania deflexa","Gardner","Ferrucci, MS","1997",NA,NA,"Árbocz, GF; Macias, L; Goldenberg, R; Koch, I; Belinello, R","1996","05","25","Brazil","São Paulo","Piquete","-45.1699981689453","-22.6100006103516",NA,NA,"Liana herbácea, Liana herbácea, flores brancas e anteras amarelas.; Mata de altitude, alternando com campo montano","UEC047863","Magnoliopsida","2814",NA,"UEC047863","Margem da estrada para São Francisco dos Campos",NA,NA,"13434","auto",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:40:56-03","UNICAMP","UEC","113059","S","Plantae","Sapindaceae","Serjania","deflexa","Serjania deflexa","Gardner","Ferrucci, MS","2003",NA,NA,"Freitas, L; Kinoshita, LS","2000","05","29","Brazil","São Paulo","São José do Barreiro","-44.5699996948242","-22.6399993896484",NA,NA,"Trepadeira. Flores: Corola branco amarelado; Ombrófila Densa Montana.","UEC081203","Magnoliopsida","855",NA,"UEC081203","SP 221, KM 17",NA,NA,"30784","auto",NA,NA,NA,NA,NA,NA,NA
"14","2019-11-06 09:57:36-03","UFOP","OUPR","22623","PreservedSpecimen","Plantae","Sapindaceae","Serjania","deflexa","Serjania deflexa","Gardner","Azevedo, P.","1986",NA,NA,"s.col.",NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,"Terreno pedregoso. Trepadeira. Flores pálidas",NA,NA,"s.n.",NA,NA,"Serra de Antônio Pereira",NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA,NA
"15","2020-06-29 09:32:24-03","UFRRJ","RBR","29959","S","Plantae","Sapindaceae","Serjania","deflexa","Serjania deflexa","Gardner","M.S. Ferrucci","2013",NA,NA,"H.C. Lima","1978","06","19","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,NA,"RBR00029959",NA,"573",NA,NA,"divisa Rio de Janeiro e São Paulo, estrada Parati- Cunha. Elevação 600-1100m",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA
"16","2020-06-29 09:32:24-03","UFRRJ","RBR","32208","S","Plantae","Sapindaceae","Serjania","deflexa","Serjania deflexa","Gardner","M.S. Ferrucci","2013",NA,NA,"H. Monteiro","1958","07","15","Brasil","Rio de Janeiro","Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,NA,"RBR00032208",NA,"s.n.",NA,NA,"parque Nacional de Itatiaia",NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA
"17","2020-06-29 09:32:24-03","UFRRJ","RBR","32403","S","Plantae","Sapindaceae","Serjania","deflexa","Serjania deflexa","Gardner","G.V. Somner","1992","07","13","P.L. Krieger","1970","06","13","Brasil","Minas Gerais","Bicas","-43.059398651123","-21.7252998352051",NA,NA,NA,"RBR00032403",NA,"8731",NA,NA,NA,NA,NA,"12772","auto",NA,NA,NA,NA,NA,NA,NA
"18","2020-06-29 09:32:24-03","UFRRJ","RBR","29960","S","Plantae","Sapindaceae","Serjania","deflexa","Serjania deflexa","Gardner","G.V. Somner","1997","10","31","M. Barbosa","1995","05","15","Brasil","Minas Gerais","Ritápolis","-44.3180999755859","-21.021900177002",NA,NA,NA,"RBR00029960",NA,"2361",NA,NA,NA,NA,NA,"18703","auto",NA,NA,NA,NA,NA,NA,NA
"19","2020-06-29 09:32:24-03","UFRRJ","RBR","32402","S","Plantae","Sapindaceae","Serjania","deflexa","Serjania deflexa","Gardner",NA,NA,NA,NA,"G.V. Somner","1990","09","17","Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,NA,"RBR00032402",NA,"587",NA,NA,"Parque do Museu de Biologia Mello Leitão",NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA
"20","2020-06-29 09:32:24-03","UFRRJ","RBR","34595","S","Plantae","Sapindaceae","Serjania","deflexa","Serjania deflexa","Gardner","G.V. Somner","2010","05","21","G.V. Somner","2010","05","21","Brasil","Rio de Janeiro","Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,NA,"RBR00034595",NA,"1515",NA,NA,"parque Nacional de Itatiaia",NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA
"21","2020-06-29 09:32:24-03","UFRRJ","RBR","33979","S","Plantae","Sapindaceae","Serjania","deflexa","Serjania deflexa","Gardner","M.S. Ferrucci","2013",NA,NA,"G.V. Somner","2009","08","27","Brasil","Rio de Janeiro","Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,NA,"RBR00033979",NA,"1453",NA,NA,"parque Nacional de Itatiaia, Borda da estrada par ao Hotel Donati. S 22°26#?#53.2' W 044°36#?#17.6'",NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA
"22","2020-06-29 09:32:24-03","UFRRJ","RBR","9016","S","Plantae","Sapindaceae","Serjania","deflexa","Serjania deflexa","Gardner","M.S. Ferrucci","2013",NA,NA,"R. Guedes","1994","09","14","Brasil","Rio de Janeiro","Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,NA,"RBR00009016",NA,"2441",NA,NA,"parque Nacional de Itatiaia, Estrada próximaa Ponte do Maromba",NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA
"23","2020-06-29 09:32:24-03","UFRRJ","RBR","32404","S","Plantae","Sapindaceae","Serjania","deflexa","Serjania deflexa","Gardner","G.V. Somner","1992","07","13","M. Fernandes","1985","03","29","Brasil","Minas Gerais","Juiz de Fora","-43.3502998352051","-21.7642002105713",NA,NA,NA,"RBR00032404",NA,"20525",NA,NA,"Reserva Biológica Poço D#?#Anta",NA,NA,"36144","auto",NA,NA,NA,NA,NA,NA,NA
"24","2020-06-29 09:32:24-03","UFRRJ","RBR","32616","S","Plantae","Sapindaceae","Serjania","deflexa","Serjania deflexa","Gardner","M.S. Ferrucci","2013",NA,NA,"H.C. Lima","1990","06","01","Brasil","Rio de Janeiro","Nova Friburgo","-42.5311012268066","-22.2819004058838",NA,NA,NA,"RBR00032616",NA,"3772",NA,NA,"Reserva Ecológica Municipal de Macaé de Cima, Sítio Sophronies. Coord. 22°00S, 042°03W.Alt. 1100m",NA,NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA
"25","2020-12-21 16:44:37-03","MBM","MBM","181223","PreservedSpecimen","Plantae","Sapindaceae","Serjania","deflexa","Serjania deflexa","Gardn.","Ferrucci, M.S.",NA,NA,NA,"Hatschbach, G.; Hatschbach, M.; Motta, J.T.; Hatschbach, M.; Motta, J.T.",NA,NA,NA,"Brazil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,"MBM181223",NA,"62930","Southern America","MBM181223","Rod. BR-262, próximo a Pedra Azul",NA,NA,"48150","auto",NA,NA,NA,NA,NA,NA,NA
"26","2020-12-21 16:44:37-03","MBM","MBM","195302","PreservedSpecimen","Plantae","Sapindaceae","Serjania","deflexa","Serjania deflexa","Gardn.","Ferrucci, M.S.",NA,NA,NA,"Ribas, O.S.",NA,NA,NA,"Brazil","Minas Gerais","Santa Rita do Sapucaí","-45.7033004760742","-22.2521991729736",NA,NA,NA,"MBM195302",NA,"1415","Southern America","MBM195302","Serra da Bela Vista",NA,NA,"18540","auto",NA,NA,NA,NA,NA,NA,NA
