"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","625446","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Smilacaceae","Smilax","subsessiliflora","Smilax subsessiliflora","Duhamel","G. G. Hatschbach","53268","1989","08","16","South America","Brazil","Paraná","Guaratuba","Morro das Caieiras.","-48.5744","-25.8831","10","30","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=108448' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625446","NY00625446_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","320013","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Smilacaceae","Smilax","subsessiliflora","Smilax subsessiliflora acuminata","Kuntze","C. E. O. Kuntze","s.n.","1892","07",NA,"South America","Brazil","Mato Grosso","Cáceres","Villa Maria.","-57.6789","-16.0708",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608189' target='other'> <mi>dwc_moreinfo</mi></a>","NY00320013","NY00320013_01","acuminata","holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","320013","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Smilacaceae","Smilax","subsessiliflora","Smilax subsessiliflora acuminata","Kuntze","C. E. O. Kuntze","s.n.","1892","07",NA,"South America","Brazil","Mato Grosso","Cáceres","Villa Maria.","-57.6789","-16.0708",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608189' target='other'> <mi>dwc_moreinfo</mi></a>","NY00320013","NY00320013_01","acuminata","holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:37:35-03","NBC","NL-BOTANY","U.1737126","PreservedSpecimen","Plantae",NA,"Liliales","Liliaceae","Smilax","odontoloma","Smilax odontoloma","Griseb.","Wessels Boer JG",NA,"1967","08","01","Southern America","Venezuela",NA,NA,"Venezuela, Terr. Amazonas, hill near Puerto Ayacucho.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1737126 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1737126","NL-U1737126",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 12:16:09-03","ESALQ","ESA","136626","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","odontoloma","Smilax odontoloma","Griseb.","R. Andreata","673.0","1985","04","17",NA,"Brasil","Rio de Janeiro","Itaipuaçu",NA,NA,NA,NA,NA,NA,NA,"ESA136626",NA,NA,NA,NA,"R. Andreata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 12:16:09-03","ESALQ","ESA","136592","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","odontoloma","Smilax odontoloma","Griseb","R.H.P. Andreata","95.0","1981","08","26",NA,"Brasil","Rio de Janeiro","Itaipuaçú",NA,NA,NA,NA,NA,NA,NA,"ESA136592",NA,NA,NA,NA,"R. Andreata","1981",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 12:16:09-03","ESALQ","ESA","137389","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","salutaris","Smilax salutaris","Kunth.","R. Andreata","672.0","1985","04","17",NA,"Brasil","Rio de Janeiro","Itaipuaçu","Mariane",NA,NA,NA,NA,NA,NA,"ESA137389",NA,NA,NA,NA,"R. Andreata","1985","04","17",NA,NA,NA,NA,NA,NA
"8","2016-02-02 14:38:30-02","BGBM","B","B 10 0247553","S","Plantae",NA,NA,"Liliaceae","Smilax","salutaris","Smilax salutaris","Kunth","C. Gaudichaud ?",NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,"Rio de Janeiro.",NA,NA,NA,NA,NA,"Gaudichaud misit 1835; Smilax officinalis <a href=http://herbarium.bgbm.org/object/B100247553 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100247553","B100247553",NA,"type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:19:27-03","UFV","VIC","019268","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","subsessiliflora","Smilax subsessiliflora","Duham","Bovini, M.G.; et al.","1327","1998","03","20",NA,"Brasil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce, Estrada do restaurante.","-42.7322006225586","-19.7122001647949",NA,NA,NA,"Escandente ,umbrofilo, folhas cartáceas concolores, as mais adultas manchadas.","VIC019268","VIC019268",NA,NA,NA,NA,NA,NA,NA,"28215","auto",NA,NA,NA,NA
"10","2020-12-21 16:45:16-03","MBM","MBM","135144","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","salutaris","Smilax salutaris","Kunth","Hatschbach, G.; Silva, J.M.; Silva, J.M.","53268",NA,NA,NA,"Southern America","Brazil","Paraná","Guaratuba","Morro das Caieiras","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"MBM135144","MBM135144",NA,NA,NA,"Guaglianone; Gattuso",NA,NA,NA,"41937","auto",NA,NA,NA,NA
"11","2020-12-21 16:45:16-03","MBM","MBM","125596","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","salutaris","Smilax salutaris","Kunth","Kummrow, R.; Pringle, G.; Ribas, O.S.; Pringle, G.; Ribas, O.S.","3056",NA,NA,NA,"Southern America","Brazil","Paraná","Mandirituba","Areia Branca dos Assis","-49.326099395752","-25.7789001464844",NA,NA,NA,NA,"MBM125596","MBM125596",NA,NA,NA,"Guaglianone; Gattuso",NA,NA,NA,"20385","auto",NA,NA,NA,NA
