"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","dayIdentified","barcode","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class","order","relatedCatalogItem"
"1","2019-10-09 11:11:55-03","UFBA","ALCB","105605","PreservedSpecimen","Plantae","Dicotyledon","Bignoniaceae","Sparattosperma","catingae","Sparattosperma catingae","A.H.Gentry","Miranda, AM","2012","01","Miranda, AM; Ferraz, J","6471","2011","02","11","Southern America","Brasil","Bahia","Wanderley","Fazenda Terra Nova","-43.8875007629395","-12.1199998855591","85323","ca de 4 m de altura. Caule marrom, jovem verde-arroxeado. Folhas membranáceas. Flores com cálice e corola magenta, fauce alvacenta.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-15 11:35:06-02","IPA","IPA","88220","S","Plantae","Plantae","Bignoniaceae","Sparattosperma","catingae","Sparattosperma catingae","A.H. Gentry","Miranda, A.M.","2012","01","Miranda, A.M.; Ferraz, J.; Ferraz, J.","6471","2011","12","01","Southern America","Brasil","Bahia","Wanderley","Fazenda Terra Nova.","-43.8875007629395","-12.1199998855591","85323","Arvoreta ca. 4 m de altura; caule adulto marrom, jovem verde-arroxeado; folhas membranáceas; flores com cálice e corola magenta, fauce alvacenta. Ocasional.; Mata estacional decidual.","auto","11","IPA0088220",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-19 14:05:07-03","UFRPE","PEUFR","48828","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Sparattosperma","catingae","Sparattosperma catingae","A.H. Gentry","M. Assis","2006","02","G. E. L. Macedo; Nenê","853","2004","04","30",NA,"Brasil","Bahia","Jequié","Fazenda Brejo Novo, a 10,5 km da Avenida Otávio Mangabeira pela Exupério Miranda no Bairro do Mandacaru","-40.0835990905762","-13.8575000762939","49443","Ramos escandentes, caule amarronzado, com folhas sub-cartáceas, frutos imaturos verdes.","auto","22","PEUFR048828",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-21 19:33:13-03","UFC","EAC","51681","PreservedSpecimen","Plantae","Dicotyledon","Bignoniaceae","Sparattosperma","catingae","Sparattosperma catingae","A.H.Gentry","Miranda, A.M.","2012","01","Miranda, A.M.; Ferraz, J.","6471","2011","12","01","Southern America","Brasil","Bahia","Wanderley","Fazenda Terra Nova","-43.8875007629395","-12.1199998855591","85323","Arvoreta ca. 4m alt.; caule adulto marrom, jovem verde-arroxeado; folhas membranáceas; flores com cálice e corola magenta, fauce alvacenta. Ocasional.; Mata estacional decidual","auto","11","EAC0051681","EAC0051681",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:18:31-03","MBM","MBM","401556","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Sparattosperma","catingae","Sparattosperma catingae","A.H. Gentry","Espírito-Santo, F.S.","2011","03","Espírito-Santo, F.S.","163","2011","03","24","Southern America","Brazil","Bahia","Jequié","Topo do Morro da Torre, lado esquerdo das torres","-40.122778","-13.892222",NA,"Arvoreta ca. 4,5m alt. Folíolos concolores. Corola branca, com estrias vináceas na fauce. Cápsulas lisas.",NA,NA,"MBM401556","MBM401556","-40.122778","-13.892222","668","668",NA,NA,NA,NA
"6","2020-12-11 11:34:03-03","UFMG","BHCB","163745","PreservedSpecimen","Plantae","Dicotyledon","Bignoniaceae","Sparattosperma","catingae","Sparattosperma catingae","A.H.Gentry",NA,NA,NA,"Miranda, AM; Ferraz, J","6471","2011","12","01","Southern America","Brasil","Bahia","Wanderley","Fazenda Terra Nova","-43.8875007629395","-12.1199998855591","85323","Arvoreta, 4m, caule adulto marrom, jovem verde aroxeado, folhas membranáceas, flores com cálice e corola magenta, face alvacenta, ocasional","auto",NA,"BHCB007544",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2012-04-26 05:08:00-03","MO","MOBOT","1048246","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Sparattosperma","catingae","Sparattosperma catingae","A.H. Gentry","Alwyn Gentry",NA,NA,"André M. de Carvalho|et al.","Carvalho 1867","1983","4","20","South America","Brazil","Bahia",NA,"Maracas, 26 km na estrada Maracas/Tamburi.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type",NA,NA,NA
"8","2021-02-08 13:25:22-03","UFBA-IMS","HVC","1687","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Sparattosperma","catingae","Sparattosperma catingae","A.H.Gentry",NA,NA,NA,"M.S. Gonçalves; M.M.C. Barbosa, A.F.P. Machado & A.K.A. Santos","238","2017","11","01",NA,"Brasil","Bahia","Vitória da Conquista","Serra do Periperi, entorno dos condominios. Serra do Periperi, entorno dos condominios.","-40.794722","-14.851389",NA,"Botoes pequenos amarronzados. Habitat: Mata de Cipó Habito: Trepadeira",NA,NA,"HVC00001687",NA,"40º47'41''W","14º51'5''S","990","990",NA,NA,NA,NA
"9","2021-02-08 13:25:23-03","UFBA-IMS","HVC","1897","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Sparattosperma","catingae","Sparattosperma catingae","A.H.Gentry",NA,NA,NA,"M. Carmo; A.K.A. Santos","334","2017","11","22",NA,"Brasil","Bahia","Boa Nova","Lajedo dos Beija-Flores. Lajedo dos Beija-Flores.","-40.215","-14.332222",NA,"Folhas verdes discolores brilhosas.",NA,NA,"HVC00001897",NA,"40º12'54''W","14º19'56''S","880","880",NA,NA,NA,NA
"10","2021-02-08 13:25:23-03","UFBA-IMS","HVC","1866","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Sparattosperma","catingae","Sparattosperma catingae","A.H.Gentry",NA,NA,NA,"M. Carmo; A.K.A. Santos","301","2017","11","22",NA,"Brasil","Bahia","Boa Nova","Lajedo dos Beija-Flores. Lajedo dos Beija-Flores.","-40.215","-14.332222",NA,"Folhas verdes discolores. Flores brancas rajadas de roxo, estames negros. Habitat: Caatinga - vegetação de afloramento rochoso, rodeado por mata de cipó. Habito: Arbóreo",NA,NA,"HVC00001866",NA,"40º12'54''W","14º19'56''S","880","880",NA,NA,NA,NA
"11","2020-06-15 15:29:13-03","UNESP-RC","HRCB","43480","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Sparattosperma","catingae","Sparattosperma catingae","A.H.Gentry","Assis, M.A.","2006","02","Macedo, G.E.L.","853","2004","04","30",NA,"Brasil","Bahia","Jequié","Fazenda Brejo Novo","-40.109417","-13.944722",NA,"Ramos escandentes, caule amarronzado, com folhas sub-cartáceas, frutos imaturos verdes.",NA,NA,NA,NA,"40º06'33.9W","13º56'41S","750","750",NA,NA,NA,NA
"12","2021-01-26 13:52:42-03","IMA","MAC","32414","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Sparattosperma","catingae","Sparattosperma catingae","A.H.Gentry",NA,NA,NA,"R.P.Lyra-Lemos; S.P.Gomes; G.B.Araujo","11045","2008","04","05",NA,"Brasil","Alagoas","Palmeira dos Índios","Fazenda Boa Sorte.","-36.633142","-9.406106",NA,"Arvoreta ca. de 2,5m de altura, coletada no interior da mata. Frutos secos presos nos ramos.; Mata serrana de brejo de altitude.",NA,NA,"MAC0032414","MAC0032414","-36.633142","-9.406106",NA,NA,NA,NA,NA,NA
"13","2021-01-26 13:52:42-03","IMA","MAC","53829","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Sparattosperma","catingae","Sparattosperma catingae","A.H.Gentry","A.M.Miranda","2011","12","A.M.Miranda; J.Ferraz","6471","2011","12","01",NA,"Brasil","Bahia","Wanderley.","Fazenda Terra Nova.","-44.4875","-12.2",NA,"Arvoreta ca. 4 m. Caule adulto marrom; jovem verde-arroxeado; folhas membranáceas. Flores com cálice e corola magenta, fauce alvacenta.; Mata estacional decidual.",NA,"11","MAC0053829","MAC0053829","-44.4875","-12.2",NA,NA,NA,NA,NA,NA
"14","2021-02-04 10:26:43-03","UFRPE","HST","19239","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Sparattosperma","catingae","Sparattosperma catingae","A.H.Gentry","A.M.Miranda","2012","01","A.M.Miranda; J.Ferraz","6471","2011","12","01",NA,"Brasil","Bahia","Wanderley","Fazenda Terra Nova","-43.8875007629395","-12.1199998855591","85323","Arvoreta ca. 4 m alt.; caule adulto marrom, jovem verde-arroxeado; folhas membranáceas; flores com cálice e corola magenta, fauce alvacenta. Ocasional.","auto","11","HST019239",NA,NA,NA,NA,NA,NA,NA,NA,NA
