"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","month","stateProvince","county","minimumElevationInMeters","day","maximumElevationInMeters","decimalLongitude","decimalLatitude","identifiedBy","imagecode","infraspecificEpithet","typeStatus","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","4032291","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","leprieurii","Thelypteris leprieurii","(Hook.) R.M.Tryon","G. S. Jenman","s.n.","1897","South America","Guyana","Demerara, British Guiana.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336337' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4032335","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","leprieurii","Thelypteris leprieurii","(Hook.) R.M.Tryon","H. H. Rusby","437A","1886","South America","Bolivia","Mapiri","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336382' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032335","05","La Paz","Larecaja","10000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4032340","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","leprieurii","Thelypteris leprieurii","(Hook.) R.M.Tryon","E. P. Killip","5588","1922","South America","Colombia","Department of El Valle. La Cumbre. Cordillera Occidental. Above.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336387' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032340","05",NA,NA,"1800","14","2200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4032296","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","leprieurii","Thelypteris leprieurii","(Hook.) R.M.Tryon","B. M. Boom","7504","1987","South America","Guyana","Upper Mazaruni River region, Karowtipu Mountain. Slopes of eastern peak, between camp and peak.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336342' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032296","04",NA,NA,"920","19","1080","-60.58","5.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4032290","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","leprieurii","Thelypteris leprieurii","(Hook.) R.M.Tryon","G. S. Jenman","s.n.","1895","South America","Guyana","Demerara, British Guyana. Barima River.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336336' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4032306","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","leprieurii","Thelypteris leprieurii","(Hook.) R.M.Tryon","Collector unknown","6702","1899","South America","Trinidad and Tobago","Trinidad. Saut d'Eau","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336352' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032306","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4032305","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","leprieurii","Thelypteris leprieurii","(Hook.) R.M.Tryon","Collector unknown","6458",NA,"South America","Trinidad and Tobago","Trinidad.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336351' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4032332","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","leprieurii","Thelypteris leprieurii","(Hook.) R.M.Tryon","A. D. A. Fay","4208","1993","South America","Ecuador","Along road east from Sevilla (5 km south of Gualaquiza) along Bomboiza River.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336379' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032332","07","Morona-Santiago","Gualaquiza","800","31",NA,"-78.52","-3.43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","04032281","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","leprieurii","Thelypteris leprieurii","(Hook.) R.M.Tryon","S. A. Mori","8260","1976","South America","Guyana","Northwest District, vicinity of Matthew's Ridge. Forest Dept. Camp at White Creek. 8 kms. SSW of Matthew's Ridge.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336327' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032281","08",NA,NA,NA,"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4032314","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","leprieurii","Thelypteris leprieurii","(Hook.) R.M.Tryon","J. A. Steyermark","74838","1953","South America","Venezuela","Chimantá Massif. Estado Bolívar. Forested slopes, along trail between camp 2 and camp 3, northwestern part of Abácapa-tepuí.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336360' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032314","04","Bolívar",NA,"750","05","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","4032327","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","leprieurii","Thelypteris leprieurii","(Hook.) R.M.Tryon","E. P. Killip","24566","1929","South America","Peru","Schunke Hacienda, above San Ramón","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4336373' target='other'> <mi>dwc_moreinfo</mi></a>","NY04032327","06","Junín","Chanchamayo","1400","08","1700","-75.399968","-11.153572",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
